 	n	g	ó	o	á	b	έ	r	i	w	a	t	s	í	n	a	w	a	a	d	í	l	o	t	é	m	a	</S>
sa	0.265333	0.0934826	0.0401767	0.0498833	0.0187504	0.0118171	0.0168886	0.00579318	0.0156202	0.0126503	0.0171714	0.0334736	0.0332447	0.0415292	0.021337	0.017414	0.0144873	0.0180307	0.0304585	0.032337	0.0317875	0.0285152	0.0351831	0.0247177	0.0287979	0.0292282	0.0216234	0.0102682
mère	0.354507	0.152447	0.0955428	0.0385367	0.0683676	0.14232	0.046917	0.0466955	0.0130716	0.0157945	0.00456237	0.00148879	0.000963979	0.00192622	0.00115754	0.000551395	0.0020792	0.00247798	0.00100978	0.00184641	0.00160456	0.00198748	0.0010386	0.000791537	0.000898993	0.000915434	0.000366341	0.000133504
l'	0.0138996	0.0233125	0.0418488	0.0346828	0.0290604	0.0221932	0.0273717	0.017447	0.0173928	0.0402084	0.0323508	0.0312317	0.0485929	0.0522429	0.0365034	0.0679478	0.0456293	0.0526407	0.0610636	0.0464419	0.0461836	0.0465073	0.0458767	0.0339116	0.0363877	0.0193527	0.0226297	0.00708838
a	0.00879257	0.0108609	0.0162553	0.017603	0.0505177	0.0450611	0.0742052	0.0541945	0.068885	0.101118	0.107483	0.102758	0.0752285	0.0469133	0.0419722	0.0159769	0.0125357	0.0362389	0.0185445	0.0184141	0.014289	0.0108214	0.00785464	0.00672978	0.00968118	0.00898583	0.00701265	0.0110667
tapé	0.0186267	0.0152946	0.0173558	0.0208949	0.0137586	0.0224272	0.0361344	0.0460079	0.0421099	0.043125	0.0244128	0.0239374	0.0220438	0.0301968	0.0440991	0.0434108	0.0487528	0.0585336	0.0408342	0.0518575	0.0531143	0.046192	0.0421446	0.0366818	0.0392435	0.0403286	0.0387422	0.039739
parce	0.096257	0.0415242	0.0435703	0.0429823	0.0540483	0.0604515	0.0729725	0.0614355	0.0501107	0.0433785	0.0335356	0.0310848	0.0206624	0.0219237	0.0196875	0.0116948	0.00820069	0.0108285	0.00610795	0.0106693	0.0112564	0.0184721	0.0256053	0.028543	0.0388184	0.0352888	0.0294619	0.071428
qu'	0.0331907	0.0226712	0.0230871	0.0234777	0.0259824	0.0281683	0.036214	0.0288198	0.0270181	0.0320589	0.0196393	0.021687	0.0201756	0.0202778	0.0241623	0.0277568	0.0225282	0.0353385	0.0121973	0.038383	0.0279014	0.0425123	0.052294	0.0393629	0.0588551	0.0819588	0.0775402	0.0967412
il	0.0265814	0.015611	0.0261657	0.0293199	0.0409107	0.0540415	0.102171	0.0662759	0.0546109	0.0487102	0.0341405	0.0215274	0.0139909	0.0162843	0.0202427	0.00887487	0.00822798	0.0133072	0.00661201	0.0164642	0.0181787	0.0184565	0.0337273	0.0256524	0.0488212	0.0645983	0.0634857	0.10301
est	0.0874072	0.0488664	0.0698888	0.0698436	0.0665989	0.0481496	0.0878645	0.0472894	0.0287213	0.0386709	0.013121	0.00675954	0.00722913	0.0117819	0.0225355	0.0169645	0.0173859	0.0138764	0.0115453	0.0188064	0.0149163	0.025479	0.0322111	0.0228746	0.0340212	0.0365477	0.0166719	0.0839721
mendiant	0.068279	0.0484808	0.0368763	0.0373679	0.0370187	0.0440184	0.0394194	0.0346301	0.0191412	0.0217447	0.00882383	0.00550471	0.00661039	0.0209925	0.0329839	0.0157775	0.0206756	0.0257812	0.0202506	0.0384282	0.0333334	0.0204407	0.023995	0.0182714	0.026702	0.0515438	0.0316854	0.211223
</S>	0.0599752	0.0484768	0.036656	0.0345089	0.0291374	0.0221503	0.0162843	0.0159013	0.0101145	0.00720014	0.00498512	0.00554131	0.00618989	0.00743942	0.0141062	0.00612401	0.0113384	0.0223404	0.0131285	0.0265057	0.0225963	0.0209298	0.0334916	0.0228008	0.0622692	0.104219	0.0674534	0.268137
