 	i	n	g	o	b	h	a	l	á	a	b	h	i	n	á	b	á	n	a	b	á	a	b	i	a	t	s	í	n	a	w	a	a	d	í	e	n	g	o	m	b	a	</S>
ingobha	0.0286588	0.0149695	0.0164597	0.00909672	0.0107827	0.0105175	0.0284151	0.037083	0.037375	0.0375614	0.0391129	0.0434273	0.0396874	0.0460937	0.0380648	0.043653	0.0469526	0.0509893	0.0420584	0.0273908	0.0173576	0.0183788	0.0183334	0.0166012	0.0160684	0.0106437	0.0135537	0.0154982	0.0138541	0.0163898	0.0126065	0.0142411	0.0139051	0.0106789	0.0143505	0.0181023	0.0219919	0.0272223	0.01645	0.0107983	0.0113383	0.0151159	0.00817032
haït	0.0631852	0.0358512	0.034035	0.0282958	0.0289907	0.0350113	0.033847	0.0484209	0.0538487	0.0861759	0.0440402	0.0233531	0.02145	0.0214247	0.025425	0.0196589	0.0182314	0.0226826	0.0294705	0.0150437	0.0174391	0.0168955	0.0120778	0.0160294	0.00968153	0.0101037	0.0106132	0.00472276	0.00573083	0.0115243	0.002629	0.00324271	0.011697	0.00710561	0.00911636	0.0104459	0.00961154	0.010672	0.0102808	0.0117249	0.0123007	0.0286338	0.06928
les	0.0130894	0.0221215	0.0272382	0.0285515	0.0208544	0.024197	0.0259661	0.029681	0.0384512	0.0425321	0.0496476	0.058486	0.0431359	0.0432253	0.0340835	0.0410141	0.0278821	0.0323682	0.0242145	0.0135829	0.0108416	0.0115556	0.0166942	0.0158795	0.0214287	0.013838	0.0149999	0.00974009	0.0131615	0.0147893	0.00690839	0.00861219	0.013616	0.00908341	0.0118362	0.0162234	0.0178122	0.0256373	0.0174028	0.0210927	0.0203345	0.0274522	0.020738
enfants	0.015372	0.0200127	0.0187638	0.0184179	0.0234059	0.0144301	0.0190481	0.0162543	0.0278117	0.0194028	0.0227574	0.0361442	0.0345013	0.0366073	0.0527402	0.046253	0.0478407	0.0466558	0.0440963	0.0292143	0.0542002	0.0401243	0.0251293	0.0334488	0.0206144	0.0353564	0.0313072	0.0219602	0.0170658	0.00711761	0.0163313	0.0140497	0.0152304	0.0093998	0.0116009	0.00609852	0.00515856	0.00482485	0.00445136	0.00511553	0.00708693	0.00589168	0.0187064
des	0.019858	0.0186947	0.0204764	0.0259371	0.0267425	0.0383182	0.0519917	0.0406979	0.0526632	0.0371714	0.0407868	0.0439782	0.0380042	0.0353478	0.0373509	0.0247486	0.016228	0.0112685	0.0137098	0.0105845	0.013203	0.0145164	0.0195985	0.0186843	0.0183073	0.0170346	0.0276677	0.0141699	0.0122628	0.0119274	0.00811043	0.00868791	0.00938985	0.00571255	0.0130867	0.019191	0.0173874	0.0154657	0.0155261	0.019084	0.0264222	0.0228607	0.0471455
autres	0.0425707	0.0298759	0.0240094	0.0253191	0.0391741	0.0302348	0.018168	0.0147321	0.0114322	0.0189963	0.0162278	0.0155265	0.0181821	0.0183498	0.0190532	0.017171	0.0172919	0.0185695	0.0307169	0.0323571	0.027358	0.0339247	0.0272623	0.0384209	0.0305026	0.0251087	0.0257589	0.0269369	0.0203982	0.0127701	0.0164166	0.00670317	0.0047962	0.0056805	0.00496841	0.00700339	0.0104917	0.0122791	0.0144806	0.0155947	0.02916	0.0449543	0.101072
parce	0.0459138	0.0349336	0.0231891	0.0266507	0.0316219	0.0402642	0.0352651	0.0324755	0.0304604	0.035542	0.034172	0.0387259	0.0410004	0.0393573	0.0369716	0.0327881	0.0336754	0.0215201	0.0258029	0.0233434	0.0291992	0.0217462	0.0145656	0.0173382	0.0155922	0.0254475	0.030394	0.0170381	0.0108634	0.00779781	0.00870285	0.00411074	0.00502527	0.00624281	0.00674402	0.0104397	0.0103123	0.0098452	0.0107968	0.0113805	0.0128284	0.0135143	0.0364017
qu'	0.0251144	0.0291982	0.0243323	0.0223157	0.0303621	0.0375927	0.0266641	0.0166657	0.0193891	0.0253051	0.0476616	0.0890533	0.0849523	0.0605399	0.100055	0.0687614	0.0497934	0.0304782	0.0262962	0.0186	0.0106039	0.0077706	0.00586942	0.00428094	0.00415467	0.00725124	0.00603073	0.0036636	0.00322787	0.0027903	0.00185654	0.00181046	0.00208466	0.00235278	0.00354358	0.0067937	0.00808139	0.0063736	0.00885597	0.01096	0.0085707	0.0113862	0.0385561
elle	0.0657565	0.0673761	0.0437881	0.0432029	0.0365202	0.0465646	0.0418672	0.0174577	0.0176426	0.0178366	0.0224805	0.0426004	0.0404974	0.0343336	0.0531163	0.0342097	0.0197942	0.0123173	0.0111967	0.0090697	0.0128442	0.00801413	0.00841081	0.00786788	0.0140864	0.0182328	0.0141855	0.0101447	0.00861635	0.00766841	0.00499595	0.00574468	0.00468628	0.00404467	0.00731075	0.0184255	0.0173057	0.0162762	0.0164323	0.0164699	0.025782	0.0209847	0.0538418
est	0.0821913	0.0629225	0.0430085	0.0406757	0.03224	0.0206609	0.0160956	0.0139366	0.0116665	0.0122011	0.0109867	0.0119469	0.0136039	0.014283	0.0147991	0.0135438	0.0124794	0.0126302	0.0119371	0.0125048	0.0220577	0.0170819	0.0249508	0.018619	0.0369722	0.0294543	0.024549	0.023554	0.0257233	0.0227095	0.0083869	0.00673023	0.00517994	0.00281333	0.00523306	0.0118354	0.0178446	0.0231982	0.0293119	0.0267338	0.0428652	0.0333999	0.076482
