 	á	k	a	n	i	e	k	u	y	á	n	d	é	e	y	é	o	b	é	y	í	a	y	é	e	k	ú	m	á	n	d	z	ó	r	o	</S>
la	0.245873	0.195528	0.0508905	0.027236	0.0108053	0.0123656	0.0186811	0.0149422	0.0135245	0.0158942	0.0170803	0.0204163	0.0227924	0.0267018	0.0290334	0.0255339	0.0188353	0.0212895	0.0164732	0.0161966	0.0161769	0.0178038	0.0178265	0.0152397	0.0116398	0.00928007	0.00987403	0.0101665	0.0103645	0.00819377	0.00821385	0.00764745	0.0075165	0.00733696	0.00915185	0.0134741
porte	0.0517658	0.0117538	0.0157022	0.0174577	0.0480982	0.131106	0.041458	0.0364621	0.0101035	0.00612967	0.00248271	0.00497148	0.00388279	0.00401923	0.00380823	0.0052792	0.0057247	0.00756776	0.0118438	0.0125038	0.018235	0.0151955	0.00917696	0.0187171	0.0222897	0.0356467	0.0432324	0.080286	0.0628027	0.0865247	0.056055	0.0545506	0.0394292	0.0174931	0.0044317	0.00381329
de	0.0312694	0.0133607	0.0193344	0.015451	0.0155975	0.0153522	0.0102242	0.0151138	0.0339656	0.0278384	0.0276027	0.0206134	0.0151163	0.0193123	0.0196906	0.0252431	0.0373311	0.0423132	0.0390918	0.0388788	0.0508669	0.0339461	0.0431859	0.0537743	0.0599722	0.0379318	0.0437807	0.0507687	0.0422312	0.0314061	0.0247023	0.0158991	0.00861418	0.00679165	0.00775337	0.00567523
la	0.0201428	0.0138071	0.0151754	0.0146526	0.0202441	0.0158362	0.015116	0.0183853	0.0242172	0.0198284	0.0207619	0.01728	0.0120403	0.0111376	0.00965034	0.0165724	0.0284484	0.0274921	0.0477778	0.0425928	0.0478356	0.0556348	0.0444918	0.0295981	0.0278787	0.0265031	0.0220132	0.0220086	0.0187428	0.018711	0.0235147	0.031748	0.0416465	0.046833	0.0685699	0.0631115
case	0.0167242	0.0220678	0.0219059	0.0249804	0.0308213	0.0304211	0.0183779	0.0162009	0.0164936	0.013475	0.0139709	0.0109837	0.0118564	0.0192471	0.0171816	0.0233496	0.0300699	0.0154857	0.019671	0.0181288	0.0198965	0.0248188	0.016586	0.0181683	0.0167646	0.0242104	0.0366561	0.0460063	0.0444364	0.055005	0.0744977	0.0658011	0.0521249	0.0429205	0.0260111	0.0446838
est	0.0461608	0.0206453	0.0241025	0.0257807	0.031416	0.0310045	0.0400577	0.0374566	0.0482039	0.0481395	0.047385	0.0477267	0.0311029	0.0280459	0.0240417	0.0288593	0.0466011	0.0240329	0.0260966	0.0330276	0.0163347	0.0185196	0.0133694	0.0116416	0.0150548	0.0183078	0.0133343	0.0115812	0.0128269	0.00966498	0.0123587	0.0127784	0.0186576	0.0317847	0.0317641	0.0621343
mal	0.0382349	0.0250515	0.0367146	0.035404	0.0434307	0.0267633	0.0260743	0.0226508	0.0131417	0.0210372	0.0175415	0.0097273	0.00744269	0.00549194	0.00577346	0.0109462	0.018121	0.0138031	0.0160985	0.0212893	0.0170475	0.0198316	0.0142307	0.0194613	0.0169316	0.0279812	0.037906	0.0540334	0.0468063	0.0710423	0.0602409	0.0693337	0.0428021	0.0357108	0.0138638	0.0380387
ajustée	0.0276535	0.0154863	0.0228643	0.0283571	0.0381631	0.0208888	0.0237366	0.0246868	0.0273626	0.0186959	0.0128115	0.00780846	0.00946834	0.0148926	0.0171736	0.021496	0.0167129	0.020417	0.0187166	0.0369825	0.02338	0.0277744	0.0241571	0.0331276	0.0386398	0.0414475	0.0659964	0.0394772	0.0394229	0.0375622	0.0226518	0.0422573	0.0216892	0.0304921	0.0243081	0.0632421
elle	0.0218591	0.00877541	0.0118317	0.00941621	0.0100968	0.00862591	0.00733836	0.00837225	0.00841809	0.00705828	0.00463718	0.00379201	0.00468522	0.00545133	0.00697819	0.0102127	0.0145205	0.025229	0.0251357	0.0346983	0.0283529	0.0325481	0.0348585	0.0562528	0.0695431	0.0860932	0.089392	0.0659009	0.060606	0.0488818	0.0353829	0.0369109	0.0270289	0.0256452	0.0274011	0.0380695
baille	0.0771365	0.0351574	0.0283552	0.0240616	0.0237298	0.0100281	0.00699419	0.00742135	0.00569504	0.0043902	0.00410356	0.00400355	0.00593634	0.0110881	0.012643	0.026664	0.0221043	0.0271253	0.0240011	0.0260143	0.018855	0.0213191	0.0207087	0.0235426	0.0253298	0.0311879	0.0442262	0.029499	0.0400742	0.038328	0.0395145	0.0432309	0.0519854	0.0388691	0.068908	0.0777686
</S>	0.0409335	0.0238449	0.0214847	0.0253584	0.0286707	0.0219785	0.023596	0.0242642	0.0223087	0.0138331	0.00916412	0.00685769	0.00780427	0.00974516	0.0109132	0.0110187	0.0106487	0.0105651	0.0149461	0.0199096	0.0175988	0.0240993	0.0249363	0.02606	0.0319893	0.0353069	0.0484914	0.0370024	0.0422734	0.0344894	0.0280289	0.0369882	0.0355248	0.0390753	0.0652562	0.115034
