 	n	g	á	l	í	i	l	á	m	b	á	n	y	a	m	a	s	é	m	b	ώ	t	ώ	</S>
je	0.0941625	0.157297	0.440704	0.130116	0.0953119	0.0244056	0.00331204	0.00134278	0.00137227	0.00144468	0.00141133	0.00154585	0.00224641	0.00439835	0.00606405	0.00767382	0.00410702	0.00386504	0.00382202	0.00381829	0.00358718	0.00336999	0.00236305	0.00225878
prépare	0.00700536	0.00423483	0.00417696	0.00628188	0.00805361	0.0174461	0.075293	0.114732	0.115652	0.132713	0.11726	0.114133	0.109834	0.0774472	0.0329151	0.0221292	0.0142995	0.0072309	0.00363039	0.0038477	0.00202202	0.00195121	0.00277271	0.00493905
la	0.0271537	0.0457537	0.0245788	0.0211836	0.0345087	0.0160077	0.021703	0.0252001	0.0419852	0.02552	0.0186079	0.0250364	0.0257828	0.0454511	0.046446	0.0564103	0.0591668	0.0691973	0.0677606	0.0551412	0.0504727	0.0556224	0.0904822	0.0508278
viande	0.00754897	0.00799181	0.00980168	0.0173143	0.0232854	0.0239031	0.0305399	0.0304957	0.0437131	0.0590239	0.0476866	0.0302829	0.0309543	0.0294568	0.0339725	0.0429663	0.0568803	0.0648606	0.0643853	0.0601322	0.0693483	0.0755658	0.0744552	0.0654352
à	0.0199947	0.0142787	0.00844983	0.0114409	0.00723018	0.0382977	0.0273444	0.0260933	0.0378908	0.0507711	0.0522005	0.0378825	0.0267511	0.0208963	0.0144392	0.0169444	0.0267602	0.0528667	0.0601863	0.0692234	0.0978541	0.0835765	0.0859127	0.112715
la	0.061498	0.0336581	0.0257405	0.0215015	0.0186038	0.0247189	0.0239749	0.0237071	0.0244455	0.0335742	0.0435982	0.0584714	0.0420296	0.0411703	0.0264948	0.036043	0.0437006	0.0442824	0.0447324	0.0570482	0.0473727	0.0459799	0.0690066	0.108647
sauce	0.00743696	0.00585567	0.00583823	0.00554619	0.00848234	0.0104659	0.00909773	0.0111519	0.0216691	0.0397447	0.0497898	0.0668239	0.0453688	0.0396851	0.027132	0.0340471	0.0560424	0.063946	0.0592447	0.0589877	0.069829	0.0747342	0.0878932	0.141188
d'	0.0450814	0.0323021	0.0245858	0.0164652	0.0182501	0.0195064	0.0210683	0.0234668	0.0310142	0.0377596	0.0432124	0.0480829	0.0374565	0.0343333	0.0212747	0.0224721	0.0345751	0.0422478	0.0450258	0.05529	0.0604893	0.0595771	0.0907901	0.135673
arachide	0.0344214	0.0368965	0.0255805	0.0216692	0.0229749	0.0156638	0.0120978	0.0103253	0.0104916	0.0126385	0.0158202	0.0195066	0.0154797	0.0267091	0.0262187	0.0407659	0.0492027	0.0662323	0.07581	0.0803279	0.0895046	0.0938741	0.0965993	0.101189
</S>	0.0295452	0.0291811	0.0338244	0.0238924	0.0127709	0.0101718	0.0156691	0.0180486	0.0241253	0.029811	0.0296836	0.0306816	0.0243172	0.0255156	0.0153779	0.0134853	0.020989	0.037495	0.0524516	0.0577501	0.0682588	0.0736002	0.117923	0.205431
