 	i	d	u	n	ú	b	á	p	o	o	á	m	i	t	έ	n	έ	m	ó	ω	l	έ	b	h	έ	</S>
les	0.08201	0.0324674	0.0291792	0.0140656	0.0174155	0.016727	0.0430806	0.0816167	0.0637702	0.0611723	0.0669126	0.0707239	0.0574292	0.0409176	0.0285893	0.0311205	0.0199926	0.0258597	0.023142	0.0376551	0.0358351	0.040318	0.0307612	0.018917	0.0170237	0.0132983
anciens	0.0416559	0.0355169	0.0424763	0.0856164	0.0872207	0.0770815	0.0461833	0.0350899	0.0531181	0.0656581	0.0520881	0.0862935	0.0814071	0.0450327	0.024331	0.0241755	0.0206511	0.0226395	0.016931	0.014586	0.0133128	0.00843679	0.00849968	0.00857276	0.00196129	0.00146412
du	0.0488522	0.0493205	0.0502894	0.0791486	0.066229	0.0645553	0.0463054	0.0373564	0.0369698	0.0504304	0.0623612	0.0503545	0.0558851	0.0261117	0.0311066	0.0280786	0.0246604	0.0186375	0.0201402	0.0184926	0.0300658	0.0142727	0.0165297	0.0203426	0.0261426	0.0273611
villages	0.0443589	0.0453744	0.0686522	0.0986062	0.0914017	0.102579	0.0896499	0.10624	0.072901	0.0682798	0.0517895	0.0264032	0.0319678	0.00726122	0.004509	0.00350602	0.00405268	0.0045308	0.00711486	0.00806466	0.0147842	0.00889092	0.00779758	0.00692742	0.00507288	0.019284
se	0.0355026	0.0331147	0.0264694	0.0301998	0.0324338	0.0472409	0.0428705	0.0444064	0.0499698	0.0416882	0.0319287	0.0227406	0.0280624	0.0290273	0.0436667	0.0489347	0.0492866	0.0305987	0.0301138	0.0204781	0.0213558	0.0120064	0.0194679	0.0425117	0.0569673	0.128957
sont	0.0467188	0.0443806	0.0306734	0.0308847	0.0255472	0.0244809	0.0224322	0.0204082	0.0254715	0.0308749	0.0348539	0.0330723	0.044648	0.0608715	0.0853595	0.0665181	0.0575113	0.0359719	0.0347504	0.0305691	0.0348015	0.0280627	0.0279053	0.0363234	0.0312828	0.0556259
réunis	0.0708169	0.0693376	0.0482304	0.0454433	0.0451753	0.047874	0.0448636	0.0433376	0.0614512	0.0623199	0.0598074	0.051227	0.0502478	0.0309931	0.0283969	0.0223336	0.0255619	0.0174764	0.0172422	0.01563	0.0224035	0.0150604	0.0137565	0.0196561	0.0249487	0.0464086
pour	0.0783192	0.125073	0.09648	0.0904012	0.0789331	0.0747987	0.0693647	0.065685	0.0828238	0.0453037	0.0226909	0.0187081	0.0150024	0.0170768	0.0182018	0.00965466	0.00812908	0.00596046	0.00489848	0.00426901	0.0080307	0.0049162	0.00499579	0.00689932	0.00735319	0.0360307
la	0.0269648	0.0254571	0.0239554	0.0239982	0.0240893	0.0240746	0.0241768	0.0248359	0.0245381	0.0220287	0.0218534	0.0225569	0.0180133	0.017253	0.0208365	0.026053	0.0304485	0.0346411	0.0499149	0.0454171	0.0570284	0.0585559	0.068176	0.0834499	0.100615	0.101068
palabre	0.053821	0.0415813	0.0281012	0.0318098	0.0259442	0.0197521	0.00980678	0.00767376	0.00757112	0.00665091	0.00620146	0.00764312	0.0098979	0.0142736	0.0261029	0.0379539	0.0525508	0.0453478	0.0285214	0.0189611	0.0277849	0.0234512	0.0380925	0.0818169	0.182136	0.166553
</S>	0.0550021	0.0350582	0.026468	0.0285334	0.0243262	0.0238256	0.022021	0.0216626	0.0186247	0.0137725	0.013118	0.0120044	0.0194225	0.022865	0.0237721	0.0177794	0.017984	0.0180925	0.0299561	0.0226608	0.0385557	0.0329246	0.0574929	0.0978928	0.121081	0.185104
