 	m	w	á	n	a	w	ó	a	b	h	i	d	i	n	g	a	o	b	v	ú	r	á	o	b	έ	r	ε	k	a	á	t	s	í	n	a	á	m	i	b	έ	r	έ	w	a	e	s	ú	l	u	</S>
cet	0.00587897	0.00631123	0.00528008	0.00543196	0.0032185	0.00120804	0.00237761	0.00180715	0.00220904	0.00432413	0.00608223	0.0126077	0.00663927	0.169336	0.14214	0.0697294	0.0483763	0.0539499	0.0337668	0.0718156	0.0674419	0.0198257	0.027301	0.0132246	0.0109263	0.00468932	0.00474755	0.00483338	0.00910053	0.00976929	0.00654967	0.00622021	0.00674001	0.00631049	0.0075401	0.00742338	0.0083481	0.00707487	0.00559099	0.00939263	0.00723361	0.00699693	0.005425	0.00700588	0.0106669	0.00704211	0.0131828	0.016813	0.0149733	0.0151211
enfant	0.0499331	0.0532515	0.0495529	0.0697568	0.17983	0.148861	0.111324	0.101421	0.0794797	0.0283912	0.0326543	0.0214203	0.0184959	0.00297519	0.00100187	0.000644165	0.00126577	0.000879516	0.000782192	0.00025484	0.000213455	0.000366609	0.000293853	0.000220317	0.000611029	0.00478497	0.00071149	0.000702538	0.00186176	0.00202759	0.00186556	0.000619063	0.00282709	0.00267837	0.0030576	0.00276088	0.00141554	0.00268109	0.0029312	0.0043063	0.00167761	0.00094718	0.000153032	0.00146961	0.000829343	0.000794992	0.00269899	0.00113376	0.00077542	0.000408017
ne	0.0290491	0.0553616	0.0754111	0.0422175	0.120269	0.0809312	0.0751926	0.0297666	0.0550876	0.0398365	0.0487395	0.0282823	0.0514482	0.00985815	0.0139611	0.0129466	0.0155195	0.0126585	0.0179105	0.0167762	0.0140611	0.00958415	0.0108805	0.0105332	0.00707872	0.00618953	0.0056433	0.00397225	0.00514356	0.00445959	0.00586415	0.00411253	0.0044274	0.00389336	0.00379946	0.00746297	0.00322624	0.0044198	0.00461845	0.0046876	0.00448273	0.00311278	0.00288266	0.00258503	0.00473685	0.00238657	0.0068451	0.00515019	0.0088698	0.00366741
peut	0.0324916	0.0322302	0.0189973	0.0129074	0.0307043	0.0150788	0.0166316	0.0175066	0.0148349	0.0140167	0.018751	0.0265035	0.0294936	0.029662	0.0246202	0.0252452	0.0338718	0.0167595	0.0351201	0.0248159	0.0211047	0.0340015	0.0339533	0.0220221	0.0386545	0.030123	0.0270428	0.0306094	0.0172117	0.0215596	0.0197096	0.0219048	0.0269712	0.0174613	0.013742	0.023478	0.0136364	0.0179563	0.0197416	0.0113237	0.00609112	0.00463575	0.0042499	0.00352404	0.00695401	0.00688423	0.00873741	0.00681622	0.0107182	0.00893933
plus	0.0258636	0.014679	0.0133171	0.0103606	0.00887776	0.00723618	0.00657446	0.00684789	0.00809157	0.00770515	0.00709129	0.00929038	0.0118706	0.0107238	0.0101533	0.0166256	0.0315434	0.0150672	0.0241966	0.0184975	0.0175926	0.024796	0.0254892	0.0310718	0.0433112	0.0568848	0.0525702	0.0658058	0.0615969	0.0623967	0.0697978	0.0370152	0.0354292	0.0178893	0.0118211	0.00681803	0.00897851	0.00789689	0.00519417	0.00803065	0.004283	0.00482589	0.00539917	0.00524018	0.00508104	0.00530327	0.00686658	0.00589047	0.0153017	0.0268099
jouer	0.0191887	0.00982756	0.0129589	0.00862707	0.00733562	0.00464806	0.00442775	0.0054281	0.00649057	0.00780268	0.00885213	0.0101289	0.0181642	0.0123102	0.0140122	0.0144468	0.0267395	0.0124743	0.0305321	0.0276476	0.0277276	0.0236957	0.0237829	0.0278216	0.03426	0.0381777	0.039333	0.0431185	0.0517129	0.0592155	0.0573985	0.0430097	0.0558789	0.0329622	0.0315919	0.0131638	0.0160526	0.0123525	0.00678084	0.00885263	0.00625752	0.00695527	0.00681157	0.00632431	0.00730443	0.00696839	0.00781244	0.00675166	0.00982424	0.026058
au	0.0535321	0.0184941	0.0298526	0.0195141	0.0203853	0.0147114	0.0153518	0.00811487	0.012618	0.0208082	0.0317868	0.0204483	0.0425488	0.0121929	0.0217222	0.0234616	0.0454812	0.0220734	0.0480139	0.0233028	0.0227342	0.0193976	0.0132249	0.0164499	0.0146919	0.0217005	0.0157811	0.017762	0.0272179	0.0281744	0.030511	0.0151404	0.0205402	0.0135025	0.012744	0.00756254	0.00874102	0.00724072	0.00378849	0.0188045	0.00659198	0.00974191	0.00173868	0.00943585	0.0127768	0.00990341	0.0158546	0.0161566	0.0247766	0.0528995
ballon	0.0228407	0.0115685	0.0138945	0.0109219	0.01419	0.011582	0.0144795	0.00557488	0.00908077	0.0218812	0.0209718	0.0154397	0.0342749	0.00931546	0.0182688	0.0373238	0.0416598	0.0279825	0.0313786	0.0266523	0.021086	0.0286683	0.0189587	0.0221917	0.0208544	0.0224803	0.0196752	0.0221863	0.028483	0.0281061	0.026141	0.0179276	0.0182778	0.0154307	0.0146169	0.00614046	0.00896084	0.00359514	0.00308082	0.0138058	0.00201092	0.00254749	0.000975612	0.00281639	0.00373495	0.00373773	0.0112315	0.016273	0.0417314	0.154992
parce	0.0511222	0.019809	0.0246421	0.0161359	0.0134755	0.00895696	0.00697819	0.0112636	0.0105579	0.00985014	0.0137148	0.0156634	0.0199602	0.0101158	0.00932332	0.00855144	0.0175003	0.00760061	0.0146174	0.0172526	0.0129195	0.0149094	0.014853	0.0137257	0.0394965	0.0328011	0.0415651	0.0349187	0.0623398	0.0589224	0.0593034	0.0563842	0.0569311	0.0296714	0.0175144	0.01074	0.0143645	0.0100018	0.00483499	0.0112763	0.00453166	0.00491272	0.00167124	0.00290379	0.00472361	0.00438971	0.0083261	0.0076263	0.0192667	0.0370837
qu'	0.0528758	0.024248	0.0181261	0.0172802	0.033387	0.0254405	0.0176014	0.0164866	0.0191582	0.0149942	0.0135184	0.0127415	0.0189313	0.0141185	0.0158128	0.0175366	0.0274319	0.0135201	0.0233339	0.0256863	0.0153973	0.0190322	0.0146403	0.0124012	0.0249603	0.0113291	0.0146772	0.0146234	0.0143799	0.0116886	0.0122445	0.0164105	0.022765	0.0149266	0.0103798	0.0101994	0.0110005	0.0192397	0.0106301	0.0286453	0.0124636	0.0145688	0.0151412	0.0127731	0.0166847	0.0142971	0.0274781	0.0512894	0.0559964	0.0475072
il	0.0579697	0.052994	0.0391368	0.0392605	0.0548296	0.0210395	0.0182756	0.0132813	0.0201667	0.0125417	0.00917515	0.00974072	0.0169269	0.00829428	0.00901024	0.0207347	0.0224328	0.0107838	0.0188974	0.0174982	0.0118862	0.0218117	0.0165584	0.0177104	0.0284634	0.0227722	0.0209571	0.0152099	0.0256003	0.0216661	0.0221811	0.0191137	0.0211291	0.0185008	0.0140368	0.0101985	0.0126986	0.0140596	0.00771053	0.0133065	0.00816513	0.00917937	0.00477988	0.00446182	0.00769036	0.00756979	0.0161326	0.0126632	0.0314367	0.0693607
souffre	0.112834	0.0679151	0.0496771	0.0473984	0.0391526	0.0315891	0.014805	0.0106517	0.0281069	0.0268424	0.0108694	0.0111624	0.0211729	0.00828935	0.0174107	0.0329366	0.0292093	0.0161412	0.0253965	0.0205606	0.00914368	0.0272321	0.0145924	0.0159478	0.0263651	0.02211	0.023589	0.0103139	0.0292675	0.0259982	0.0253271	0.0136693	0.00637644	0.00725628	0.00427749	0.00221953	0.00353351	0.00358377	0.00170505	0.00449793	0.00252659	0.00302115	0.000907312	0.0018449	0.00278069	0.0023123	0.00915568	0.008322	0.0195164	0.0504862
