 	m	b	o	n	d	z	i	á	b	h	i	k	w	e	b	h	é	k	a	á	</S>
dans	0.0106599	0.0103185	0.00808679	0.00682706	0.00893807	0.0123169	0.0183829	0.039852	0.0221811	0.0265155	0.0454813	0.062846	0.0576723	0.0611783	0.0851206	0.104365	0.111013	0.0986278	0.0815772	0.076161	0.0518789
le	0.246962	0.102751	0.0647681	0.0357015	0.0495616	0.0203047	0.0180143	0.0175644	0.0172513	0.0202082	0.0196597	0.0221669	0.0219269	0.020137	0.0239008	0.046327	0.0656727	0.0348731	0.0359772	0.0372759	0.0789956
district	0.107123	0.0624754	0.032166	0.0336972	0.0266056	0.029205	0.0478574	0.081818	0.0592309	0.0673934	0.0385519	0.0533992	0.0335684	0.0504258	0.0597801	0.0479802	0.0765931	0.0205958	0.0206568	0.0212891	0.0295878
de	0.0548862	0.0556253	0.04392	0.0543946	0.0594436	0.0544312	0.0467742	0.06146	0.0400038	0.047967	0.0412519	0.0621942	0.0140757	0.0449621	0.0322606	0.0242757	0.055039	0.0337988	0.0389704	0.0475916	0.0866742
boundji	0.0614116	0.0473644	0.0487368	0.0290873	0.0298205	0.0308665	0.0305548	0.027035	0.0282238	0.028901	0.0252749	0.0251354	0.0389847	0.0512025	0.0817332	0.072939	0.0569649	0.0577842	0.0492085	0.0771449	0.101626
on	0.0765031	0.059409	0.0476096	0.0504631	0.0422734	0.0320293	0.0308435	0.0288219	0.0272955	0.0256334	0.0221061	0.0277824	0.036331	0.0530469	0.0731061	0.0514834	0.0527191	0.0392402	0.0509303	0.0747645	0.0976081
ne	0.20373	0.174014	0.103736	0.0744608	0.0372589	0.0166696	0.0115806	0.00835046	0.00923841	0.00935198	0.00817134	0.00877997	0.0110037	0.00946439	0.0107216	0.0174297	0.0292306	0.046813	0.0492333	0.0722104	0.0885511
trouve	0.128534	0.0970889	0.067831	0.0517367	0.0394615	0.0291041	0.0201362	0.0141859	0.0133956	0.0109763	0.00668457	0.00613685	0.00549453	0.00817401	0.0194615	0.0350802	0.0762015	0.0989971	0.0814425	0.093697	0.0961803
plus	0.214812	0.179028	0.0894763	0.0524396	0.0272907	0.0139335	0.0110312	0.00904551	0.0127991	0.0136072	0.0138033	0.0131996	0.0142427	0.0151626	0.0162468	0.0241402	0.030441	0.039987	0.0397756	0.0705247	0.099013
de	0.0775219	0.0648882	0.0606222	0.0527365	0.0299043	0.0203268	0.0174293	0.0142238	0.0129015	0.0127172	0.00866652	0.00932067	0.0122547	0.0166326	0.0268771	0.0348745	0.0640555	0.0996144	0.102353	0.121808	0.140272
lieu	0.150143	0.0806164	0.038265	0.0265019	0.0146966	0.0119655	0.0123008	0.0100235	0.0105219	0.00735692	0.00530048	0.00502477	0.00860344	0.0190792	0.0325077	0.0452672	0.118102	0.0853695	0.0630685	0.10257	0.152716
sacré	0.0626873	0.0497789	0.0544422	0.0325179	0.0220783	0.0216284	0.0168375	0.0133249	0.013577	0.0140287	0.00949831	0.00936168	0.0113664	0.0169379	0.0432916	0.0755884	0.157358	0.089769	0.0922097	0.090566	0.103152
kwebhe	0.134516	0.105159	0.0912185	0.0720497	0.0255428	0.0199758	0.0168882	0.0123765	0.0126301	0.0124496	0.0078594	0.00896343	0.0133799	0.0200079	0.0376388	0.0441607	0.0615146	0.0371275	0.0451046	0.0749793	0.146457
</S>	0.0550607	0.0448386	0.0522806	0.043558	0.0301672	0.0334591	0.0277375	0.0242241	0.0249571	0.0239807	0.0183984	0.0174254	0.0227995	0.035563	0.0548082	0.0634409	0.103233	0.0743989	0.0781494	0.0757699	0.0957503
