 	o	y	ú	r	u	w	o	b	o	l	á	a	s	w	é	é	n	g	s	t	s	í	n	a	o	l	ó	m	i	á	b	h	e	á	w	a	o	k	a	b	h	a	k	a	á	</S>
cette	0.00614295	0.00508219	0.0049928	0.00416175	0.0062216	0.00844748	0.00530042	0.00675791	0.0103174	0.0106535	0.0150404	0.0162832	0.0453054	0.0263692	0.0285537	0.0283459	0.018694	0.0138891	0.0171132	0.0205919	0.015646	0.0115417	0.0168095	0.00825519	0.00654713	0.0177038	0.00867135	0.0193516	0.0161559	0.0148073	0.0127314	0.0209436	0.0124461	0.0103039	0.0155522	0.0122525	0.0255717	0.0184742	0.0238432	0.0337783	0.046493	0.063043	0.0782304	0.0654414	0.085562	0.0415799
femme	0.0871027	0.255737	0.153672	0.12226	0.0692202	0.0139638	0.0894454	0.0283768	0.0211668	0.0143748	0.025484	0.0149086	0.0245688	0.00246546	0.00568101	0.00417635	0.0113274	0.00250332	0.00313005	0.00533184	0.00832036	0.00457217	0.00778281	0.0015889	0.000433663	0.00164153	0.00247717	0.00117397	0.000563234	0.000286601	0.000127944	0.000221211	0.000631717	0.000218239	0.000668676	0.000776273	0.00136425	0.000430238	0.000342489	0.00258836	0.00306605	0.00210205	0.00208112	0.00102889	0.000356526	0.000259365
est	0.0304054	0.0317416	0.0348414	0.0412012	0.0177226	0.0615617	0.0524397	0.0414033	0.0357747	0.0304906	0.0158274	0.0408593	0.0289209	0.0447209	0.016457	0.0257754	0.0168453	0.016505	0.0164819	0.00613837	0.00559397	0.00488853	0.00812007	0.00913614	0.0119564	0.0107155	0.0072745	0.00799588	0.00745521	0.00949161	0.00797627	0.00761427	0.00674068	0.00824005	0.0140488	0.0251902	0.0537614	0.0370125	0.035639	0.03544	0.0130768	0.019791	0.0141312	0.0184191	0.00994234	0.00423523
en	0.0199189	0.0268897	0.0440338	0.0407659	0.0240479	0.0619297	0.0228141	0.0242661	0.0183071	0.0124893	0.0118006	0.0157394	0.0328103	0.0214129	0.0293334	0.0430204	0.0445996	0.0279817	0.0424588	0.0186172	0.0201817	0.0197651	0.0148571	0.0169013	0.0195564	0.0248245	0.0313922	0.0202817	0.0175639	0.0224674	0.0175106	0.0148103	0.0124559	0.00902159	0.013407	0.012953	0.0215429	0.00643036	0.00376968	0.0103255	0.00762115	0.00955395	0.00968958	0.0167054	0.0177455	0.0254298
train	0.0107347	0.0156443	0.023331	0.019387	0.0117906	0.0093754	0.00726498	0.00687913	0.0111119	0.00989701	0.0135587	0.013094	0.0243985	0.0179725	0.0492702	0.035426	0.0557169	0.0440865	0.0434006	0.0861394	0.0522505	0.046607	0.0440679	0.023847	0.0237197	0.0372033	0.0415916	0.0234464	0.0146725	0.0127065	0.0146843	0.0156821	0.0166783	0.0089764	0.0144698	0.00910881	0.00849555	0.00234084	0.00346864	0.0113343	0.0101226	0.0130873	0.0108349	0.00997578	0.00663987	0.0155088
de	0.043729	0.0383423	0.0408018	0.026794	0.0165918	0.0185762	0.0233725	0.0237717	0.0210871	0.0189584	0.0145558	0.0119776	0.0237861	0.0129782	0.0250908	0.034153	0.0436131	0.0353187	0.0562951	0.0216669	0.0223654	0.0239239	0.0249771	0.0274135	0.0290252	0.0249361	0.0309778	0.0193011	0.0192862	0.0207597	0.0207536	0.0112313	0.0115853	0.0101483	0.00561801	0.00613616	0.0121744	0.00629931	0.00464272	0.00364503	0.00387932	0.00255165	0.00770667	0.00824218	0.0191152	0.0718448
se	0.022798	0.0256203	0.0304917	0.0336934	0.0284249	0.0345079	0.0464519	0.0435316	0.0354074	0.0267418	0.028041	0.0570891	0.0384025	0.0181427	0.0543542	0.0372146	0.0342565	0.0409203	0.0303434	0.0311338	0.0140135	0.0164985	0.0161406	0.0128869	0.00685089	0.0225657	0.0182263	0.0120436	0.0180381	0.0148406	0.0146294	0.00966404	0.0166122	0.0118764	0.00477869	0.00288124	0.00807745	0.00595138	0.00468041	0.00525167	0.00518352	0.00372236	0.00720862	0.00748074	0.0105309	0.0317993
plaindre	0.012084	0.0094201	0.0113217	0.010356	0.00704727	0.00840451	0.00845335	0.00901539	0.0099114	0.0128623	0.0126985	0.027808	0.0219551	0.0627873	0.0265782	0.0378215	0.0527895	0.0419383	0.0332299	0.0277004	0.0331278	0.0328325	0.0438764	0.0329617	0.0328061	0.0453803	0.0346177	0.0465231	0.0360897	0.0301444	0.032711	0.0365856	0.0217302	0.0188608	0.0108666	0.00515416	0.00921707	0.000995432	0.0011863	0.00337023	0.00250493	0.00308663	0.00509177	0.00500434	0.00762017	0.0234722
parce	0.0463958	0.028714	0.0433552	0.0178812	0.00828223	0.00452839	0.00398394	0.00611667	0.00547138	0.00537708	0.00505846	0.00634043	0.00855522	0.0102939	0.0240661	0.0145084	0.0273827	0.0813639	0.0418589	0.0430942	0.0448746	0.0432078	0.0435936	0.0307879	0.0341658	0.0377441	0.0312511	0.0262631	0.0142219	0.0123395	0.0331867	0.0186131	0.0158131	0.0154791	0.00717772	0.00574268	0.0137312	0.00824386	0.00737296	0.0104107	0.0152347	0.0109305	0.0139388	0.0158572	0.0179917	0.0391983
que	0.102049	0.0465297	0.0392834	0.027168	0.0210085	0.0182506	0.0176004	0.0168763	0.0232438	0.0113837	0.0133424	0.0180633	0.00798048	0.0163854	0.0128993	0.00928226	0.0139557	0.0133983	0.0124843	0.00656444	0.0100119	0.00877501	0.00864713	0.00817209	0.0126993	0.0169729	0.014094	0.0191987	0.0288971	0.0212832	0.02822	0.0359052	0.0307104	0.020093	0.0233626	0.0115575	0.0249426	0.0204702	0.0161939	0.0264313	0.0230128	0.0242576	0.0264775	0.0300939	0.0221452	0.0396254
