 	b	e	m	b	a	í	d	í	l	e	b	a	l	á	y	á	t	s	ω	m	ó	k	ω	r	ω	</S>
l'	0.00514078	0.00306827	0.00201729	0.00187897	0.0022952	0.0144627	0.0305799	0.061591	0.103258	0.0892246	0.065771	0.0886775	0.0744839	0.0638473	0.0662797	0.0837668	0.103337	0.0698092	0.0402777	0.00843073	0.00418434	0.00353105	0.00300159	0.00267893	0.00308008	0.00532662
antilope	0.140536	0.149119	0.152683	0.0884765	0.0611416	0.0759388	0.0354089	0.0442143	0.0587293	0.0368768	0.0435689	0.027064	0.0155928	0.00848906	0.0113304	0.00743588	0.0093676	0.00479575	0.00514778	0.00340955	0.00525836	0.00450567	0.00583505	0.00293134	0.00116832	0.000976032
noire	0.0353446	0.0282898	0.0566252	0.139219	0.201937	0.114405	0.0482748	0.0291283	0.0271819	0.0183375	0.027002	0.0209513	0.0220395	0.0237001	0.0442021	0.0334214	0.0300259	0.025595	0.0209385	0.0138016	0.0113687	0.00865689	0.00624339	0.00488845	0.00403596	0.00438608
a	0.035126	0.058504	0.0670363	0.110525	0.110642	0.068361	0.0814863	0.0656494	0.0282429	0.0210165	0.0202054	0.0193159	0.0245795	0.0248469	0.0258459	0.0264905	0.0270455	0.0288059	0.0281778	0.0126133	0.0267105	0.0154181	0.0291184	0.0127177	0.013979	0.0175398
une	0.0462792	0.047752	0.046914	0.0574041	0.0610868	0.0383859	0.0438704	0.0501486	0.0565523	0.043583	0.0309685	0.0179063	0.0252615	0.0235081	0.0173955	0.0207931	0.0207917	0.019811	0.0164083	0.0265443	0.032599	0.0186242	0.0326383	0.0250338	0.0519424	0.127798
tâche	0.033238	0.0261473	0.0114277	0.0108789	0.0200119	0.0226891	0.021081	0.018706	0.0282593	0.0223612	0.0211828	0.0151477	0.0154326	0.0108231	0.0138977	0.0175113	0.0310153	0.0433466	0.0540925	0.0539362	0.0664917	0.0920934	0.0899897	0.0855821	0.074881	0.0997759
jaune	0.0165948	0.0135775	0.011824	0.0106669	0.0146292	0.0120524	0.0121772	0.0147014	0.0244804	0.0288515	0.0234842	0.0217618	0.023091	0.0152808	0.0146721	0.0170092	0.020537	0.0357338	0.0478081	0.0543137	0.0640898	0.0942769	0.0943747	0.102336	0.102671	0.109005
au	0.029407	0.0354994	0.0379408	0.0293236	0.0184468	0.0107224	0.00724456	0.00748628	0.0113988	0.0147034	0.0182072	0.0218106	0.0170428	0.013072	0.0109145	0.00874962	0.0180162	0.0440703	0.0581793	0.0597004	0.0626101	0.0636123	0.0699292	0.0861829	0.0992799	0.14645
niveau	0.0183171	0.0131162	0.0136821	0.00963183	0.00449779	0.00291565	0.00231865	0.00318061	0.00473173	0.00632777	0.00734599	0.00680773	0.0118385	0.0151186	0.0175332	0.0140022	0.0212303	0.0500615	0.0583895	0.0319996	0.041922	0.057885	0.113634	0.146185	0.168307	0.159021
de	0.0671251	0.0604183	0.0878368	0.0609319	0.0424566	0.0203731	0.00474614	0.00495877	0.00463555	0.00468635	0.00632169	0.00636946	0.00387617	0.00301663	0.00506636	0.00398153	0.0105242	0.0210295	0.0281342	0.028082	0.0330431	0.0492422	0.0652894	0.105311	0.112831	0.159712
l'	0.100623	0.0715547	0.0659125	0.0489551	0.0322487	0.0110666	0.00760634	0.00732069	0.00676854	0.00509198	0.00546982	0.00524662	0.00663119	0.00435804	0.00436111	0.00502212	0.00856519	0.0202342	0.0295678	0.0410835	0.0512622	0.0493691	0.0779598	0.0697882	0.0943227	0.16961
échine	0.0437193	0.0202278	0.0285922	0.0136417	0.00722873	0.00418805	0.00434327	0.00457434	0.00489712	0.00540113	0.00625971	0.00852733	0.0138604	0.0143222	0.0150218	0.0185669	0.0201763	0.0430981	0.0441164	0.0483514	0.0436514	0.0489855	0.124247	0.111185	0.123848	0.178969
</S>	0.0661585	0.060918	0.0703231	0.0328592	0.0160582	0.0137496	0.00656345	0.00633739	0.00537842	0.00437187	0.00664927	0.00650203	0.00425111	0.00279106	0.00573917	0.00644594	0.0105099	0.0327406	0.0461278	0.0431604	0.0370123	0.0456598	0.0766826	0.116532	0.1183	0.158178
