 	t	á	á	á	k	y	έ	m	b	i	l	e	k	á	s	i	l	a	m	w	á	n	a	y	é	é	d	i	ó	n	g	y	ε	l	έ	</S>
le	0.0129958	0.0279468	0.0423142	0.0337708	0.0436964	0.0208366	0.016412	0.0239068	0.0239196	0.0338521	0.0355541	0.0316495	0.0440321	0.0375458	0.0643864	0.064151	0.0598605	0.0361317	0.0338937	0.00718911	0.0274176	0.00909134	0.00871401	0.0173296	0.02364	0.0237512	0.021995	0.0261794	0.0234489	0.0216445	0.0187825	0.0221717	0.0156997	0.0175953	0.012577	0.015917
père	0.126405	0.108287	0.133546	0.100897	0.109495	0.0724868	0.0343384	0.0543626	0.0735929	0.0273614	0.0293845	0.0147852	0.0106103	0.00690772	0.00283999	0.00580865	0.00588657	0.00849095	0.00449412	0.00167193	0.00217615	0.00340768	0.00160087	0.00269928	0.00785217	0.013028	0.00907263	0.00566592	0.00666606	0.00487774	0.00437537	0.0022321	0.00192055	0.00158484	0.000697692	0.000489895
a	0.0250614	0.0137797	0.0143335	0.0125688	0.020933	0.0154956	0.0179116	0.0257172	0.0340166	0.0270261	0.0314376	0.0348271	0.0623635	0.0613921	0.0471444	0.0513568	0.0238633	0.0172156	0.00797671	0.0154769	0.0170253	0.0128939	0.0278545	0.0468579	0.0329364	0.0335087	0.0306865	0.0400969	0.0409643	0.0250049	0.0306011	0.0301269	0.0313703	0.0136289	0.0156013	0.0109448
écrit	0.0251343	0.013801	0.0111945	0.0131401	0.0114306	0.0187422	0.0199103	0.0260127	0.0360576	0.0262681	0.0468854	0.0526622	0.0531817	0.0354797	0.0324641	0.0443527	0.0464526	0.0378247	0.0223518	0.0253698	0.00673441	0.00797953	0.0114451	0.0309616	0.0396153	0.0464512	0.0501596	0.0242805	0.0228246	0.023029	0.0249193	0.0174525	0.0169961	0.0203379	0.0233995	0.0346977
une	0.0473277	0.0255874	0.0204292	0.0209329	0.0200522	0.0247956	0.027103	0.0285838	0.0273454	0.0339193	0.0291842	0.0317265	0.0351233	0.0243701	0.0270341	0.023251	0.0175298	0.0146541	0.0170524	0.0307634	0.0234117	0.0231675	0.0365478	0.0527307	0.0316255	0.0265834	0.0291392	0.0175865	0.0181288	0.0181442	0.0205973	0.0186694	0.0275399	0.023056	0.0464416	0.059865
lettre	0.0614164	0.0274404	0.0275783	0.0276098	0.034616	0.0495757	0.0308718	0.0307917	0.0378672	0.0303577	0.0320581	0.0242824	0.0406189	0.0268419	0.021164	0.0334882	0.0354463	0.0236127	0.0226195	0.0162948	0.0194404	0.0200512	0.0271494	0.0153298	0.0263957	0.0179947	0.0147094	0.0132268	0.0133276	0.0199017	0.0183164	0.0179127	0.0195182	0.0359273	0.0290787	0.0571684
à	0.030134	0.0212548	0.0210158	0.0206436	0.0351266	0.0311098	0.034152	0.0524111	0.0425729	0.0529925	0.052128	0.0309716	0.0492071	0.0319339	0.0158508	0.0441995	0.0460935	0.0456684	0.0329917	0.0385065	0.0277436	0.017678	0.0194161	0.0217839	0.0259584	0.0111937	0.00929596	0.00509458	0.0081883	0.00929731	0.00688473	0.00874709	0.0103807	0.0128943	0.0253475	0.0511312
son	0.0499981	0.0286207	0.0233674	0.0216455	0.0229407	0.033192	0.0255734	0.0270623	0.026627	0.0303156	0.0238134	0.0280847	0.0321475	0.0245383	0.0212127	0.0360039	0.0383576	0.0327023	0.0483272	0.0477096	0.0199362	0.02584	0.0233893	0.00908103	0.0134648	0.00988073	0.00778054	0.0115375	0.0173745	0.0244834	0.0127594	0.0197414	0.0281254	0.0325735	0.0481864	0.0736059
fils	0.0650791	0.0328078	0.0264259	0.0220307	0.0291868	0.0279623	0.0285082	0.0411942	0.0325512	0.0465069	0.0407855	0.0291761	0.0329786	0.0187093	0.0211837	0.0292273	0.0206584	0.0160441	0.0206538	0.0140512	0.0124395	0.0203121	0.00800567	0.00428617	0.0110117	0.00622506	0.00597374	0.00452335	0.0124526	0.0119516	0.00808103	0.0157868	0.0283765	0.0344108	0.0713731	0.149069
qui	0.0553901	0.0211582	0.0188546	0.0232607	0.0135868	0.0137025	0.01026	0.00975794	0.0101189	0.0075635	0.00897487	0.00836152	0.0100185	0.0093611	0.00973348	0.0120725	0.0116548	0.011331	0.0218488	0.0173769	0.0117681	0.0103319	0.00685209	0.00287669	0.00817497	0.00645452	0.00823142	0.0128829	0.0398216	0.0431196	0.0159683	0.0566093	0.0713859	0.0965902	0.120173	0.184372
