 	i	b	a	a	i	p	ω	ώ	í	m	i	t	é	m	é	t	ε	ε	ó	s	w	έ	b	h	έ	y	á	k	ó	ó	</S>
un	0.046551	0.0446696	0.0151621	0.0129066	0.0342306	0.0282174	0.0169169	0.0226045	0.0263903	0.0312921	0.0466718	0.0430555	0.0417951	0.0379987	0.0257383	0.0167737	0.0217478	0.0335695	0.0406148	0.0356303	0.0658327	0.050261	0.0506297	0.0427085	0.0234908	0.0228506	0.0277874	0.0173782	0.0216792	0.0232335	0.0316119
homme	0.03402	0.0536964	0.0807328	0.0716765	0.074718	0.0616672	0.147699	0.0624143	0.0831348	0.0941192	0.0825585	0.00986292	0.00474676	0.00478933	0.00450663	0.00719491	0.00827922	0.0123976	0.0133512	0.0139716	0.00800231	0.00844596	0.0151056	0.00765603	0.0114654	0.00863619	0.00692575	0.0041828	0.00159517	0.00109667	0.00135084
s'	0.0270505	0.0285244	0.0357262	0.0267065	0.0231957	0.0489401	0.0819342	0.117146	0.069317	0.0373727	0.0247721	0.0473912	0.0238848	0.0380976	0.0199373	0.0282458	0.0111547	0.0135819	0.0221215	0.0186034	0.0332219	0.0377983	0.0399896	0.0266331	0.0399851	0.0319262	0.0250509	0.00799652	0.00382419	0.00450997	0.00536091
est	0.0225603	0.0461733	0.0373305	0.0259123	0.0151551	0.0216105	0.0375083	0.050578	0.0385666	0.0297336	0.0333696	0.0397064	0.0294967	0.0506976	0.0606661	0.0584312	0.0804009	0.0751077	0.0464734	0.0282962	0.0222456	0.0193235	0.018476	0.0139307	0.00886811	0.0126058	0.0108056	0.0105291	0.00697965	0.0160363	0.0324254
tenu	0.0277124	0.0223782	0.023572	0.0254477	0.0217602	0.0266258	0.0277299	0.029054	0.0257456	0.025642	0.0211786	0.0284412	0.0255399	0.0319957	0.0374357	0.0439468	0.0400572	0.0383321	0.0335433	0.0386771	0.0250669	0.0333425	0.0359839	0.0347319	0.0344665	0.037552	0.0363741	0.0399085	0.0399171	0.0390827	0.0487584
debout	0.0196236	0.0223594	0.0213134	0.0178317	0.0154863	0.0140655	0.0163089	0.0125793	0.0187738	0.0201079	0.017592	0.0154492	0.0163789	0.0148611	0.0219041	0.0375633	0.0289759	0.0287887	0.0237885	0.0275665	0.0158954	0.0174639	0.0396927	0.0239466	0.0508444	0.0389889	0.047936	0.0746913	0.0717574	0.0950424	0.112423
au	0.0178058	0.017035	0.0157285	0.0151698	0.0148843	0.0133433	0.011985	0.00815032	0.0126139	0.0158164	0.0175353	0.0175199	0.0197915	0.0187796	0.0235702	0.0295009	0.0327631	0.0311678	0.027951	0.0287925	0.0190634	0.0191696	0.0480502	0.0323728	0.0569091	0.048564	0.056869	0.0841249	0.078096	0.0779987	0.0888785
milieu	0.0267631	0.0231231	0.0187832	0.0175619	0.0229417	0.0336344	0.0244846	0.0215103	0.0235913	0.0346301	0.0304596	0.0206589	0.0245694	0.0186136	0.0233589	0.0210517	0.0232793	0.023025	0.0262869	0.0234708	0.019457	0.00948239	0.0206806	0.0155212	0.0393622	0.0363792	0.0378537	0.0576297	0.0733412	0.0770698	0.131425
de	0.0204863	0.0189985	0.0148741	0.0128996	0.0172683	0.0251186	0.0248478	0.0309332	0.0305467	0.0315482	0.0312966	0.0314053	0.0282292	0.0185278	0.0209788	0.0255039	0.0251533	0.0248214	0.0232771	0.0279707	0.0162205	0.0132904	0.0181229	0.0124466	0.0156047	0.0181122	0.0220856	0.0536647	0.0673533	0.103364	0.17505
la	0.0452856	0.0304545	0.0221229	0.019798	0.011456	0.00860465	0.00667877	0.00587978	0.00574632	0.00637417	0.00843981	0.00619716	0.00954679	0.00730503	0.0121265	0.0142982	0.0170323	0.0160618	0.0152406	0.01387	0.0207055	0.0267873	0.0353548	0.0521728	0.0423317	0.0597091	0.0548377	0.0753156	0.0863547	0.124412	0.1395
route	0.0399565	0.0296922	0.0188341	0.0149659	0.009065	0.0102123	0.00669665	0.00762364	0.00576835	0.00551989	0.00860495	0.00836682	0.0111053	0.00908918	0.0147801	0.0174653	0.019413	0.024847	0.0202496	0.0207392	0.0327179	0.0152391	0.0349154	0.0494388	0.0397239	0.0588337	0.0586789	0.0812285	0.111673	0.102992	0.111564
</S>	0.0679164	0.0410888	0.0316329	0.0199639	0.0190233	0.0242356	0.0233374	0.0307832	0.0335595	0.0281301	0.0169603	0.0283736	0.0262854	0.0302604	0.0428757	0.0366354	0.0229769	0.0203601	0.0261876	0.020557	0.0406731	0.0292083	0.0195153	0.0222942	0.0198634	0.028559	0.0266237	0.0321366	0.0358237	0.0679437	0.0862153
