 	t	á	á	á	p	έ	n	g	á	a	p	a	é	m	í	b	h	e	r	a	l	á	l	e	k	ώ	ώ	l	i	</S>
mon	0.0105942	0.0389577	0.0556917	0.0384081	0.0320615	0.0398442	0.0304835	0.0309765	0.0200647	0.0190156	0.0291525	0.0325861	0.0343328	0.0807281	0.0779399	0.045967	0.0468772	0.0458438	0.033955	0.0333626	0.0258971	0.0282986	0.0206171	0.0279628	0.0241268	0.0239538	0.0264708	0.0172872	0.01634	0.0122032
père	0.115426	0.0764807	0.0253367	0.0378716	0.0170613	0.0330365	0.0557933	0.0713274	0.0920129	0.0516251	0.0447983	0.0492328	0.0283653	0.0300906	0.0113394	0.00721821	0.00903408	0.0112477	0.0211347	0.0332925	0.0283806	0.0299949	0.0302447	0.0236547	0.0220844	0.0121459	0.0146538	0.0109696	0.0045665	0.00157984
m'	0.0254537	0.0199511	0.0358468	0.0340418	0.0430524	0.0272473	0.0311734	0.0384641	0.0390911	0.0420796	0.0493863	0.0549433	0.05517	0.055859	0.0698098	0.0593892	0.0495025	0.0238248	0.0385436	0.0155746	0.0415178	0.0249546	0.0196377	0.0205512	0.0202844	0.0212926	0.015021	0.00968186	0.0115585	0.00709597
a	0.0575074	0.0361075	0.0215328	0.0220282	0.0203355	0.0183433	0.0200595	0.0248165	0.0183933	0.0153413	0.0279917	0.0163116	0.0482627	0.0471013	0.102525	0.0736785	0.0699669	0.0352208	0.061436	0.0310416	0.0157131	0.0162014	0.0238813	0.0163803	0.0271614	0.020092	0.0314436	0.0309113	0.0254	0.0248143
encouragé	0.0856974	0.0298168	0.0160309	0.0281526	0.0176968	0.0262487	0.0342915	0.0414803	0.0585293	0.0586419	0.058109	0.0492149	0.0561382	0.0398855	0.0422988	0.0263628	0.021592	0.0159402	0.0217837	0.0217911	0.012787	0.0111487	0.0128968	0.0170191	0.0185363	0.0224721	0.0277209	0.0251893	0.0319519	0.0705756
à	0.0236406	0.0142966	0.00964264	0.0104653	0.00811665	0.0199303	0.0258189	0.031075	0.0444215	0.0389906	0.0373006	0.0508928	0.0389888	0.0257291	0.0202388	0.0219435	0.0190484	0.0195114	0.0211714	0.0307852	0.039971	0.057459	0.0707655	0.0512839	0.0456265	0.0536275	0.0466113	0.0423148	0.0356074	0.0447247
réussir	0.0213241	0.0176104	0.0198185	0.0193897	0.0170148	0.0176942	0.0178226	0.0193607	0.0264095	0.0252548	0.0199528	0.0272953	0.0158609	0.0149292	0.0153634	0.0190737	0.0192768	0.0177118	0.0315866	0.0426455	0.0407015	0.0498496	0.0548845	0.0363571	0.0637539	0.0549396	0.0632449	0.0634074	0.0643899	0.0830764
dans	0.0357249	0.0284043	0.0249494	0.036363	0.0294271	0.0241138	0.0256647	0.0263043	0.0222809	0.0299543	0.0199558	0.0219478	0.0178123	0.0148327	0.0176085	0.0184942	0.0169354	0.0137104	0.028919	0.040267	0.0274618	0.0311705	0.0297676	0.0310478	0.0590831	0.0360414	0.0627031	0.0672329	0.0738019	0.0880199
mes	0.0493251	0.0403622	0.0406485	0.0406611	0.0428204	0.0308832	0.0343068	0.0281195	0.0245082	0.0301031	0.0189338	0.0248041	0.0150248	0.00921018	0.00955338	0.00939271	0.00923712	0.00741596	0.012111	0.0192641	0.0142488	0.0129035	0.0258557	0.0241532	0.0285217	0.0451918	0.0583676	0.0862389	0.103333	0.1045
études	0.0809325	0.0481429	0.0514556	0.0563448	0.0439612	0.0262069	0.0266483	0.0203994	0.0190607	0.024641	0.0158046	0.0199313	0.017311	0.0174611	0.0240928	0.0250215	0.0236025	0.017597	0.0205876	0.0315522	0.0102852	0.00994375	0.0157229	0.0184147	0.0222519	0.028319	0.040793	0.0578103	0.078278	0.107426
</S>	0.0822003	0.052188	0.0624228	0.0717526	0.0580147	0.0332511	0.0273086	0.0267627	0.0211871	0.0201074	0.018987	0.0129749	0.0158203	0.0166503	0.0205737	0.0220254	0.0214189	0.0136994	0.0253606	0.0232031	0.0273709	0.0234601	0.0274233	0.0262567	0.0334922	0.0291007	0.0360774	0.0366488	0.049383	0.0648781
