 	p	é	m	b	ώ	n	g	ω	b	a	á	l	é	s	ó	m	b	á	m	u	m	b	a	</S>
donne	0.0158592	0.0165782	0.0138219	0.0146753	0.017824	0.0254686	0.0461557	0.061784	0.0771221	0.0886733	0.0662997	0.0605765	0.0518798	0.0548114	0.0599424	0.0565849	0.0535883	0.0462685	0.0451402	0.0324542	0.0273001	0.0246439	0.0278381	0.0147098
de	0.124129	0.110054	0.0362346	0.0576513	0.0831283	0.0804125	0.0543365	0.104337	0.123176	0.0625917	0.0337213	0.0256106	0.0144761	0.00988715	0.0101986	0.0130355	0.0114567	0.00809305	0.00471533	0.00333562	0.00340983	0.00540558	0.00986666	0.0107379
l'	0.0462638	0.0470728	0.0546017	0.0489356	0.0547161	0.0574154	0.0628573	0.0391	0.0418046	0.0358431	0.033922	0.0283494	0.0333625	0.0395429	0.0342601	0.0455582	0.0516641	0.0450451	0.0452931	0.0416944	0.033862	0.036286	0.0309294	0.01162
argent	0.0374384	0.0252889	0.029166	0.0261266	0.0381654	0.0626535	0.0698925	0.0380053	0.0353705	0.0299221	0.0330887	0.0372804	0.0487793	0.059706	0.0428174	0.0486976	0.0386299	0.0476841	0.0479912	0.0304989	0.0315805	0.0307997	0.0483438	0.0620734
pour	0.115013	0.0600247	0.048672	0.0326041	0.0271768	0.0381814	0.0457967	0.0362182	0.0320825	0.0275093	0.0335817	0.0271352	0.0361679	0.0413068	0.0255483	0.0295731	0.0282191	0.0440343	0.0254693	0.0285857	0.045765	0.0356201	0.0330069	0.102708
que	0.0276979	0.0218752	0.0312587	0.0294679	0.031122	0.0325084	0.0313907	0.0328422	0.0303879	0.0356086	0.0341166	0.0325171	0.0407409	0.0493267	0.0434265	0.0465003	0.0649229	0.0607323	0.0487523	0.050833	0.0625173	0.0707217	0.0403	0.0504329
nous	0.0310066	0.0350992	0.0368138	0.0374664	0.0386249	0.0402717	0.0411713	0.0403018	0.0391827	0.0386823	0.0416192	0.0352078	0.0382152	0.0421964	0.0271006	0.026477	0.024315	0.0296762	0.0333109	0.0309981	0.0392155	0.0561575	0.078088	0.118802
achetions	0.0554189	0.0269455	0.0294612	0.0245687	0.0266685	0.0293155	0.0227981	0.0165145	0.0158735	0.0206356	0.0122504	0.0112082	0.0122051	0.0194335	0.0305714	0.0660681	0.0683594	0.0761611	0.0667649	0.0591487	0.0642361	0.0728811	0.079053	0.0934589
le	0.0588566	0.0391088	0.0395205	0.0404514	0.0438677	0.0251249	0.031155	0.0280104	0.040688	0.0428762	0.0494953	0.0494177	0.0507261	0.0548404	0.0374502	0.0429474	0.0330237	0.0351225	0.0241512	0.0194401	0.0151933	0.0248484	0.0298	0.143884
fil	0.0356183	0.0390318	0.0442227	0.0541351	0.0388598	0.0227313	0.0209965	0.0313392	0.0392895	0.0362619	0.0271775	0.0274979	0.024693	0.0344042	0.0391249	0.0421806	0.0239752	0.0258623	0.012108	0.00944353	0.0114046	0.0208573	0.0350332	0.303751
pour	0.0678777	0.065408	0.0661791	0.0604826	0.051943	0.0306503	0.0210646	0.0183588	0.0190519	0.0216623	0.013993	0.0143838	0.0121669	0.0166378	0.0187399	0.0136213	0.00975063	0.0129361	0.0116789	0.0110231	0.0193105	0.0432528	0.0679695	0.311857
tendre	0.0936281	0.0562733	0.0300261	0.0310972	0.0334629	0.0220902	0.0173308	0.0171025	0.0126049	0.00737495	0.00502069	0.0050948	0.0054548	0.00670638	0.0131114	0.00969145	0.00944163	0.0182471	0.0113667	0.0125495	0.0216107	0.0401044	0.0937419	0.426868
le	0.111708	0.0967198	0.0449594	0.0510256	0.0529802	0.046813	0.0359885	0.0239425	0.0174648	0.00817615	0.00611932	0.00517607	0.00524188	0.00645047	0.0101783	0.00766896	0.00987559	0.0184715	0.0117916	0.0141306	0.0273463	0.0457848	0.0773157	0.264671
filet	0.0539923	0.0407332	0.0338081	0.0523887	0.0699962	0.035446	0.0148231	0.0143093	0.0142386	0.0105754	0.00568724	0.00730642	0.00970236	0.0112425	0.0137669	0.0106663	0.0109827	0.0216233	0.0214855	0.0196862	0.0475117	0.0922814	0.106581	0.281165
</S>	0.10202	0.105806	0.0349625	0.0518268	0.078774	0.0922402	0.111191	0.0327656	0.0179684	0.00757907	0.00534599	0.00442734	0.0045354	0.00369169	0.0052674	0.00530028	0.0064705	0.00658467	0.00383836	0.0062917	0.0134798	0.0236474	0.0628946	0.21309
