 	n	g	á	í	d	z	e	o	b	h	e	r	á	ω	k	y	a	n	d	é	n	g	é	t	s	ú	s	u	k	a	á	i	b	á	r	í	ω	d	z	w	a	</S>
je	0.129344	0.268995	0.167469	0.12342	0.0787361	0.025668	0.00435117	0.00423862	0.00221756	0.00311744	0.00449938	0.00444441	0.00384822	0.00657044	0.00461102	0.00592973	0.00669867	0.0075761	0.00703272	0.00749927	0.00743043	0.00825695	0.00905607	0.00842133	0.00604683	0.00791318	0.00669875	0.00510393	0.00417925	0.00425907	0.0041202	0.00521501	0.00373971	0.00568354	0.00581704	0.00486654	0.00594808	0.00684645	0.00678167	0.00726342	0.00550848	0.00457779
n'	0.0590757	0.0322684	0.117933	0.0722197	0.0604322	0.0267718	0.0145024	0.0277383	0.0275134	0.0191598	0.0282288	0.0222038	0.0216066	0.0203176	0.0124001	0.0132499	0.0116332	0.0200509	0.0265879	0.0241539	0.0212544	0.03306	0.0457436	0.0246182	0.0254042	0.0185973	0.0100746	0.0176598	0.0182171	0.0098106	0.0119283	0.00537923	0.0087973	0.0152603	0.00712664	0.00951837	0.00652851	0.0108633	0.00692934	0.00920628	0.00521495	0.0207599
ai	0.0330013	0.0504558	0.0192612	0.0286507	0.0309167	0.042586	0.0289685	0.0140606	0.0130737	0.0108727	0.00988935	0.0122564	0.0179004	0.0168684	0.0266554	0.0319567	0.0359916	0.0377455	0.0508224	0.0446456	0.0463978	0.0420977	0.0293249	0.0536857	0.0355909	0.0429244	0.0230715	0.0162185	0.0184866	0.013537	0.00998815	0.0118996	0.0099099	0.0119172	0.0155893	0.00588425	0.01071	0.00657694	0.0114056	0.00837421	0.00995296	0.00987824
pas	0.0490768	0.0465991	0.0155948	0.00630906	0.0133947	0.0180661	0.0231053	0.0222086	0.0288341	0.00789395	0.0184362	0.0133134	0.0289276	0.0649538	0.0397304	0.0398327	0.0234982	0.0321473	0.0210268	0.0220113	0.0116618	0.0184256	0.0260421	0.0149975	0.0190038	0.033109	0.0249093	0.0247801	0.0514315	0.0359081	0.0276414	0.0269125	0.0183618	0.0285942	0.0232615	0.0107609	0.0163631	0.00721096	0.00662462	0.00863657	0.012359	0.0180444
pu	0.00860783	0.00416644	0.00226943	0.00256804	0.00298936	0.0112654	0.0137651	0.0191389	0.0250362	0.00853831	0.0137941	0.0122646	0.0151297	0.0255027	0.0159577	0.0183895	0.0203705	0.0267233	0.0277503	0.0294866	0.0299684	0.0361885	0.0263877	0.0328254	0.0326385	0.0376555	0.0389809	0.0378991	0.0431131	0.0365603	0.036878	0.0288786	0.0296838	0.0285035	0.0280741	0.0319775	0.0261852	0.0266452	0.0280977	0.0193692	0.0176107	0.0421651
faire	0.00596884	0.00351924	0.00392078	0.00464345	0.00353765	0.00890952	0.0125091	0.0166837	0.0139808	0.0122478	0.0141643	0.0134925	0.0148096	0.0169395	0.0145973	0.0168913	0.0261353	0.0306409	0.033283	0.0308836	0.0372182	0.0487041	0.0330962	0.0369979	0.0381187	0.0403743	0.0417608	0.0465566	0.047961	0.0349952	0.0336431	0.0267244	0.0283194	0.0230592	0.0278912	0.0246194	0.0239446	0.0142179	0.0178397	0.0155443	0.0139964	0.0466592
autrement	0.0249798	0.00834046	0.0051494	0.00527484	0.00547262	0.0184262	0.018834	0.016011	0.0131941	0.01121	0.0132498	0.0123801	0.0141452	0.0183426	0.0153419	0.018092	0.0235728	0.0271227	0.0269326	0.0287508	0.0291923	0.034311	0.0264349	0.0265064	0.0263638	0.0302035	0.0324531	0.0354004	0.0411574	0.0343022	0.0327154	0.0253716	0.0283322	0.0264989	0.0284512	0.0239261	0.0232104	0.0231352	0.0329528	0.0340024	0.0191256	0.0611306
que	0.0141589	0.0102248	0.0078661	0.0213299	0.014333	0.0169805	0.0125891	0.0148399	0.00997434	0.0104623	0.0117687	0.0118382	0.0124101	0.0124399	0.0106594	0.012138	0.0172804	0.0253104	0.0262073	0.0284061	0.032532	0.0442026	0.0298662	0.034031	0.0335164	0.0348253	0.0327161	0.0329245	0.0358166	0.0286443	0.0249959	0.0165656	0.0203488	0.0264361	0.0298357	0.0297573	0.0255556	0.0234353	0.0293939	0.034492	0.0256257	0.0732661
d'	0.0150241	0.00883712	0.00880441	0.0144694	0.0100937	0.0110707	0.0114749	0.0149647	0.0149163	0.0114222	0.0132001	0.0122228	0.0121932	0.0140048	0.00928744	0.0106733	0.0141635	0.0214743	0.0219354	0.0270682	0.041012	0.0569015	0.0379408	0.0451329	0.0478755	0.0395053	0.0414977	0.035079	0.0398287	0.0290093	0.0226726	0.0156222	0.0185275	0.0189516	0.0257107	0.0225462	0.0243305	0.0237274	0.0355259	0.0260383	0.0253463	0.0499174
y	0.026419	0.0155822	0.014436	0.0159257	0.0150499	0.0141958	0.00943618	0.00753439	0.0072342	0.00692311	0.00757216	0.00839806	0.00808407	0.00727553	0.00718912	0.00734837	0.00864354	0.0114636	0.0153844	0.0167418	0.0196855	0.0235935	0.0251395	0.0303449	0.0348653	0.0276692	0.0321341	0.0290456	0.0436404	0.0369154	0.0255869	0.0200605	0.0274515	0.0347281	0.0302501	0.0410394	0.048748	0.0490485	0.0407635	0.0479094	0.042689	0.0578546
aller	0.0647591	0.0294161	0.0211031	0.0218171	0.0216047	0.0185667	0.0109758	0.00740403	0.0076929	0.00607046	0.00747637	0.00711203	0.00809518	0.0113705	0.0100592	0.0116118	0.0129456	0.0215436	0.0185759	0.0221049	0.0244766	0.0238087	0.0287868	0.0291122	0.0300513	0.0299896	0.0257749	0.0233486	0.0271548	0.0212598	0.0228166	0.01431	0.0179505	0.0289424	0.023606	0.0282808	0.0462134	0.042292	0.0423171	0.0539105	0.0281519	0.0471405
</S>	0.0183607	0.0137164	0.011757	0.0154921	0.0168996	0.0178941	0.0145549	0.0143517	0.0191173	0.0083426	0.0119093	0.0112748	0.0136551	0.0233514	0.0140107	0.0155049	0.0160617	0.0318692	0.018959	0.0304017	0.0297174	0.0315681	0.0225389	0.0243947	0.0246882	0.0233283	0.0191443	0.0161817	0.0193636	0.0186289	0.0164901	0.0101854	0.014299	0.0265208	0.027537	0.027139	0.0390157	0.0385275	0.0540706	0.0589089	0.0430891	0.0771786
