 	n	g	á	í	d	z	é	e	k	u	u	m	ú	s	á	n	d	z	ó	o	</S>
j'	0.125512	0.414831	0.222335	0.0558678	0.0276765	0.0248738	0.0136689	0.00889913	0.00612572	0.00726169	0.00622523	0.00561138	0.00684232	0.00751985	0.0110504	0.00933295	0.00605787	0.00866574	0.00957448	0.0077496	0.0143195
ai	0.213589	0.120473	0.118684	0.0380181	0.0338618	0.0339382	0.0525286	0.0481666	0.0524407	0.0498668	0.0175941	0.00841373	0.0094837	0.0148372	0.0163847	0.0149773	0.0277037	0.0205059	0.0311468	0.0350541	0.0423328
mangé	0.0479244	0.0742501	0.0585192	0.036695	0.060642	0.0425546	0.0581362	0.0521235	0.0669787	0.0517066	0.0482834	0.0335937	0.0599459	0.0509174	0.0381378	0.0177086	0.0263026	0.0320942	0.0475919	0.0645754	0.031319
le	0.0534309	0.0388213	0.0344194	0.0373351	0.0403539	0.0624713	0.0261143	0.0300404	0.0320209	0.0337544	0.0330895	0.0443432	0.0269406	0.0487517	0.0535384	0.039201	0.035921	0.0597079	0.0769434	0.0915904	0.101211
koko	0.0294151	0.0221977	0.0196167	0.0177049	0.0300394	0.0424112	0.0374143	0.0546539	0.0555117	0.058705	0.0488195	0.0571599	0.0600241	0.0621299	0.0581979	0.0479183	0.0348484	0.0446069	0.0530131	0.0611514	0.104461
à	0.0146001	0.0127484	0.00737087	0.00455872	0.00640614	0.00737928	0.0142494	0.0160295	0.024751	0.0305833	0.0401075	0.0633677	0.0567501	0.0889107	0.0897766	0.083988	0.0722194	0.081046	0.0783505	0.0997122	0.107095
la	0.147758	0.0814612	0.0339526	0.0241573	0.0258373	0.0198079	0.018492	0.0212259	0.0252845	0.0307001	0.0314206	0.0431299	0.0387023	0.0504667	0.0513963	0.0497478	0.0497324	0.0550539	0.0592157	0.0613254	0.0811325
sauce	0.0291896	0.024023	0.0244928	0.0210609	0.0225631	0.0181122	0.0197087	0.0449554	0.0401604	0.045801	0.03672	0.062628	0.0607862	0.0701299	0.0672217	0.0600294	0.0541058	0.0710454	0.0680073	0.0831515	0.0761078
d'	0.0692799	0.0407095	0.034373	0.0363292	0.0439018	0.0480035	0.0226453	0.0213086	0.0200046	0.0195914	0.0182685	0.032694	0.0231223	0.0426977	0.0413217	0.0284818	0.0648562	0.0731432	0.0795437	0.0943051	0.145419
arachide	0.0568851	0.0337974	0.020538	0.00978293	0.0155992	0.0100878	0.01453	0.0172385	0.0206914	0.0223124	0.0269607	0.0392652	0.0458429	0.0683197	0.0571696	0.054398	0.0843915	0.0958968	0.100764	0.100051	0.105478
</S>	0.0775027	0.0724308	0.0477724	0.0218331	0.0310861	0.0254586	0.0190466	0.0163596	0.0175487	0.0219172	0.021378	0.0321843	0.0305551	0.043595	0.0535673	0.0415715	0.0705738	0.0749501	0.0843547	0.0912925	0.105022
