 	e	s	ε	l	ε	y	á	l	e	m	b	á	á	é	m	i	k	ó	á	n	g	á	s	ó	s	a	b	h	i	</S>
j'	0.0117471	0.0142804	0.0168771	0.0376189	0.0521133	0.0536252	0.0929185	0.0815637	0.0444681	0.048915	0.0556532	0.0335844	0.0298403	0.0203425	0.0143037	0.0172912	0.0160086	0.014616	0.0154454	0.0157056	0.0183664	0.0244254	0.0250443	0.0328605	0.0460211	0.029447	0.0410176	0.0398957	0.032239	0.0237648
ai	0.119756	0.107071	0.0592721	0.0357613	0.0261157	0.0388563	0.0663476	0.0616123	0.0578555	0.0440639	0.0250963	0.0508483	0.0322944	0.028243	0.018645	0.0170113	0.0166602	0.021107	0.0217618	0.020044	0.00873082	0.0167374	0.0160631	0.0186908	0.0169094	0.0123855	0.0101141	0.00946137	0.00849744	0.013987
reçu	0.116525	0.119086	0.0766062	0.0793479	0.0939939	0.0262507	0.026718	0.0421479	0.0156237	0.0124876	0.00796831	0.0118758	0.0115012	0.0112515	0.0197802	0.0395215	0.055259	0.0262644	0.032766	0.029673	0.0231975	0.0275018	0.0172776	0.0211598	0.014911	0.0101646	0.00859644	0.00822226	0.00601576	0.00830596
une	0.0286007	0.0412918	0.0499693	0.060377	0.0699112	0.0529943	0.0324605	0.0296688	0.0276785	0.0201753	0.0101173	0.0275117	0.0158398	0.0144949	0.0124453	0.0437203	0.0537831	0.0709628	0.0623874	0.0446225	0.024805	0.0196847	0.0173021	0.0201149	0.0234661	0.0154916	0.0270289	0.0200374	0.0301575	0.0328994
écharde	0.0315279	0.0369239	0.0327362	0.0303212	0.0229462	0.00652757	0.0238472	0.0302166	0.0179825	0.02168	0.0183069	0.0264325	0.0258877	0.0288974	0.0476746	0.0957479	0.0862932	0.0751791	0.0281461	0.0241201	0.0297932	0.0217755	0.0266924	0.026812	0.0273472	0.0230653	0.0196119	0.0227664	0.021536	0.0692052
de	0.0531392	0.0449929	0.0480226	0.0561454	0.0727593	0.075057	0.0690975	0.0703775	0.0510945	0.0349977	0.0223656	0.0212483	0.0155497	0.0102917	0.0139124	0.0267428	0.0378418	0.0403455	0.0374773	0.0193424	0.0128059	0.00703084	0.00970817	0.00752251	0.0107215	0.0101451	0.0129614	0.0126221	0.0129342	0.082747
bambou	0.0754804	0.097759	0.0730213	0.0624441	0.0356583	0.0346093	0.0511969	0.0384186	0.0182304	0.0196916	0.0222238	0.0178502	0.0187482	0.0168063	0.0298522	0.0506621	0.0848203	0.0292375	0.0134442	0.00703942	0.0069472	0.00344866	0.00438108	0.00565917	0.00841467	0.0109092	0.0178271	0.0233328	0.0273281	0.094558
dans	0.146948	0.0921003	0.0580392	0.0489879	0.0337734	0.0283466	0.0376834	0.0448236	0.0292465	0.0366817	0.0404731	0.0288722	0.0427373	0.0301583	0.0236275	0.0405488	0.0322676	0.012371	0.00562429	0.00374581	0.00222258	0.00314921	0.00231284	0.00606728	0.00889252	0.0138528	0.0201582	0.0278614	0.0265448	0.0718819
le	0.0451981	0.0298166	0.0273081	0.0285561	0.0244196	0.0236539	0.0412173	0.044197	0.0332865	0.0432765	0.0428719	0.0357178	0.0372248	0.0212007	0.0275217	0.035476	0.0374498	0.0271205	0.0159709	0.0164482	0.0113139	0.0107372	0.00988985	0.0153222	0.0181072	0.0290376	0.0335944	0.0510759	0.0548907	0.128099
doigt	0.045338	0.0343263	0.0292433	0.0187066	0.0117852	0.0080017	0.00823616	0.00825429	0.00860706	0.00923914	0.0107979	0.0118916	0.015531	0.0156639	0.00999429	0.0135217	0.0145163	0.0210862	0.0136342	0.0195614	0.0183183	0.0317132	0.0230803	0.0448216	0.0486191	0.0650764	0.0866798	0.10814	0.103064	0.142551
</S>	0.132582	0.050273	0.0399305	0.0374195	0.0411213	0.0401039	0.0391552	0.0352973	0.0280124	0.0260084	0.0221633	0.0191131	0.0160331	0.00622693	0.00860445	0.0181554	0.030266	0.0412164	0.0458261	0.0297197	0.0299332	0.0217159	0.0195769	0.0227275	0.0234254	0.0229034	0.0293244	0.0290138	0.0320625	0.0620885
