 	m	w	á	n	a	w	ó	l	á	a	l	o	n	d	á	k	á	s	i	y	á	l	e	k	ώ	ώ	l	i	</S>
cet	0.00895455	0.0123628	0.0107586	0.013603	0.00496113	0.00564605	0.00606492	0.00728409	0.023197	0.0269502	0.0408671	0.0366531	0.0518612	0.0627933	0.0533121	0.0766452	0.0574831	0.0703232	0.0462458	0.0497752	0.0446801	0.0451178	0.0335598	0.0359597	0.0345143	0.0400756	0.04105	0.0321688	0.0271323
enfant	0.252481	0.0294973	0.047214	0.0657812	0.103945	0.0477737	0.0531476	0.0316768	0.0649092	0.0518967	0.0234359	0.0270661	0.0268949	0.0147512	0.0421662	0.0162195	0.0158861	0.0113285	0.00567566	0.0112134	0.0129773	0.0122291	0.00641345	0.00753922	0.00384933	0.0058929	0.0063049	0.000961882	0.000871514
prend	0.0199357	0.0214397	0.0229322	0.0303923	0.0215673	0.0440975	0.0618567	0.0661336	0.0747036	0.0894511	0.0635275	0.0514005	0.0537353	0.0223725	0.0178453	0.0245222	0.0532978	0.0492976	0.0496932	0.0211145	0.0406883	0.0273224	0.0169047	0.0133598	0.0132186	0.00898382	0.00802051	0.00697207	0.00521343
bien	0.0206126	0.0167383	0.0144121	0.0175834	0.0177503	0.0168078	0.0201446	0.0142976	0.0192629	0.0212735	0.0187017	0.0329886	0.0234963	0.0202537	0.0211952	0.0373635	0.0547689	0.0185316	0.017373	0.0475581	0.037643	0.0171662	0.035305	0.0566774	0.0648688	0.104091	0.0940925	0.0689591	0.0500836
soin	0.105235	0.0533031	0.0506435	0.0511212	0.0469873	0.0374024	0.0190865	0.0252358	0.0245577	0.0321632	0.0335781	0.0200328	0.0281738	0.0367969	0.0225429	0.0222858	0.0164112	0.0177667	0.0179557	0.0241616	0.0316463	0.0398914	0.0325182	0.0339919	0.0321593	0.0337512	0.0349528	0.0329745	0.0426724
de	0.0625551	0.0373329	0.0249554	0.034898	0.0271809	0.0308753	0.0209841	0.0163493	0.017684	0.020212	0.0228818	0.0287643	0.0277925	0.0245166	0.0259311	0.0204717	0.0185122	0.00941023	0.0107093	0.0132925	0.0105636	0.0106574	0.0181536	0.0271682	0.0383541	0.0576723	0.0661925	0.0911503	0.184779
ses	0.0634622	0.0335025	0.0186404	0.0297135	0.0353472	0.0417936	0.0357206	0.0323195	0.0417612	0.0493209	0.0575933	0.0506124	0.0312337	0.0341478	0.0305461	0.0305046	0.020591	0.0134664	0.0251445	0.0353564	0.0273822	0.0329679	0.0331867	0.0253367	0.0201245	0.0219143	0.0238908	0.0317585	0.0726604
cahiers	0.0476088	0.0407663	0.0296374	0.0451292	0.0409264	0.0420612	0.0255362	0.0420411	0.0401415	0.0468642	0.0405197	0.0211701	0.0223313	0.0246725	0.0195972	0.0237135	0.0282426	0.0348305	0.0381235	0.0404774	0.0420476	0.0382989	0.0448564	0.0299392	0.0268066	0.019024	0.0260814	0.0218982	0.0566571
scolaires	0.0652445	0.0482836	0.0524739	0.0470183	0.0433763	0.0309467	0.0161339	0.0208893	0.0227024	0.0266171	0.0245293	0.0215075	0.00729347	0.010769	0.00601202	0.0124597	0.00798227	0.010207	0.0143389	0.0207106	0.0326224	0.0514727	0.0634199	0.042253	0.0365248	0.0587934	0.0679226	0.057223	0.0802725
</S>	0.0674998	0.054053	0.047805	0.0459272	0.043777	0.030764	0.0191283	0.0180491	0.0296626	0.0262585	0.0273034	0.0180726	0.0140948	0.0100406	0.00849485	0.0114278	0.0131441	0.0114868	0.0118515	0.0131459	0.020871	0.0195967	0.036217	0.0372782	0.0301283	0.0504023	0.104677	0.0926193	0.086223
