 	t	s	ω	n	g	ω	á	d	i	s	í	k	ó	n	á	</S>
le	0.0107099	0.0158192	0.0166911	0.0318768	0.036988	0.0446609	0.0468127	0.0461426	0.0451924	0.0688378	0.0655021	0.0968516	0.109455	0.10732	0.148958	0.108181
village	0.0618617	0.132575	0.179404	0.121531	0.0764049	0.0809605	0.0584659	0.0769396	0.0647898	0.0566636	0.0353958	0.0336289	0.0141719	0.00397702	0.00189675	0.00133297
tsongo	0.0398768	0.0379754	0.0408682	0.0688585	0.106027	0.146001	0.197466	0.0926024	0.0925378	0.0852004	0.051081	0.0166962	0.00624561	0.0051341	0.00679428	0.00663489
est	0.0996362	0.107608	0.163574	0.0897849	0.0925827	0.12921	0.100994	0.0794202	0.0427701	0.0286875	0.0256948	0.00949165	0.00543665	0.00547973	0.00456736	0.0150611
situé	0.0379979	0.0363954	0.0539671	0.0368836	0.0320518	0.0243754	0.0466815	0.081687	0.106304	0.089579	0.056781	0.0480462	0.0736779	0.0962979	0.0819955	0.0972792
dans	0.061391	0.0521553	0.0374228	0.0510627	0.0361799	0.0265402	0.0413699	0.0629082	0.0849863	0.087276	0.0873999	0.082914	0.0695377	0.0790996	0.0482205	0.0915357
une	0.108969	0.0728908	0.0529048	0.0574544	0.0548369	0.0430187	0.0400345	0.0497487	0.0569306	0.0881228	0.089898	0.0584657	0.0435895	0.0471429	0.0416278	0.0943644
chaine	0.133722	0.0953273	0.0947401	0.0949813	0.0582432	0.0561167	0.038159	0.0412169	0.0346234	0.0458547	0.036674	0.0480581	0.0380015	0.0315319	0.0414538	0.111296
de	0.169889	0.112842	0.101484	0.0983556	0.0868546	0.0654013	0.0499684	0.0513883	0.0425777	0.0325046	0.0218079	0.0151895	0.00980908	0.0183545	0.026392	0.0971812
collines	0.220026	0.126265	0.108311	0.0944969	0.0908427	0.0776961	0.0488988	0.0589059	0.025997	0.0142324	0.00651645	0.00504223	0.00626231	0.0122013	0.0169283	0.087377
</S>	0.161835	0.107423	0.0775923	0.0653896	0.083449	0.0950952	0.0556432	0.0663596	0.0287137	0.0181466	0.00995356	0.00897686	0.0150888	0.0403868	0.0333068	0.132639
