 	a	y	ú	r	u	b	á	á	w	ú	r	ú	i	p	f	ú	b	h	a	b	á	a	k	y	á	l	o	n	y	έ	r	i	</S>
les	0.167187	0.108832	0.0578141	0.0265759	0.0101647	0.00758073	0.00965737	0.0181493	0.0162872	0.0191205	0.0354026	0.0328278	0.0401923	0.0426742	0.0394401	0.028277	0.0293374	0.0202042	0.0121337	0.0146948	0.0202592	0.0227571	0.0236437	0.0282087	0.0110271	0.0138432	0.0239937	0.0251029	0.0251625	0.0167374	0.0243741	0.0144398	0.0138978
femmes	0.0277311	0.0275304	0.0472588	0.120982	0.202762	0.150802	0.0717248	0.0178003	0.0196258	0.0126228	0.0282635	0.013842	0.0123126	0.00923908	0.0126236	0.0153005	0.0145192	0.0118026	0.0122074	0.0121567	0.00736161	0.0136816	0.0123625	0.0144271	0.0127802	0.0117502	0.0145864	0.0137556	0.0153142	0.0124731	0.0179326	0.00640478	0.00606346
qui	0.021416	0.0194738	0.0191572	0.0326695	0.0161359	0.0167942	0.0158769	0.0331408	0.0285255	0.0465533	0.0568032	0.0806196	0.0618822	0.0525636	0.0494926	0.0504465	0.0359751	0.0194913	0.0227406	0.0219403	0.0270914	0.030137	0.0203192	0.0277525	0.0272066	0.0231395	0.0339414	0.0258807	0.0295823	0.0189053	0.0195598	0.0101428	0.004643
viennent	0.00696624	0.0124589	0.0201681	0.0195821	0.0311878	0.0333957	0.0375807	0.032864	0.0331479	0.0188121	0.0136207	0.0182732	0.0170231	0.0146277	0.013423	0.0170206	0.0189394	0.0160247	0.0249508	0.0397639	0.0332755	0.0318262	0.0334075	0.031842	0.0467624	0.0429396	0.0405525	0.069657	0.0519363	0.0516739	0.0272675	0.0537336	0.0452956
de	0.0332621	0.0310513	0.0305518	0.0302829	0.0303564	0.0311341	0.0292974	0.0292251	0.0236661	0.0322475	0.0258556	0.0433532	0.0248362	0.0210009	0.025907	0.0226055	0.0256192	0.0263722	0.0355671	0.0409237	0.0395062	0.0254365	0.025297	0.0176218	0.0214463	0.019523	0.0230749	0.0333304	0.0253545	0.032051	0.0317753	0.0425045	0.0699634
se	0.0137374	0.012548	0.0162042	0.0211777	0.022807	0.0250402	0.0275522	0.0269635	0.0232504	0.025747	0.0307399	0.0391815	0.043088	0.0511873	0.0356033	0.0485879	0.0421402	0.0376126	0.0297771	0.0277218	0.0217357	0.0193012	0.0224385	0.0153863	0.0227422	0.0228498	0.024127	0.0321775	0.0301173	0.041265	0.0413908	0.0528286	0.0529727
baigner	0.0078782	0.00808938	0.0101465	0.0116067	0.0129471	0.0165863	0.0206432	0.0111373	0.0189553	0.0191526	0.0549744	0.0857029	0.0542827	0.058594	0.0612818	0.0565653	0.0421989	0.0343673	0.0281733	0.0270282	0.0270664	0.025613	0.0278377	0.0246509	0.0198625	0.018237	0.0221601	0.0167184	0.025366	0.0254116	0.0342938	0.0421873	0.0502839
font	0.00968956	0.00964977	0.0130195	0.0149433	0.0185078	0.0233785	0.0308588	0.0258264	0.0399411	0.0382956	0.0400984	0.0449729	0.0364906	0.0412367	0.026991	0.0361432	0.0371539	0.0263936	0.0261663	0.0304398	0.020136	0.0165673	0.0237394	0.0169073	0.0121061	0.0171552	0.0240142	0.0265109	0.0300197	0.0378276	0.0512825	0.0676082	0.0859288
leur	0.0152683	0.0146071	0.0147025	0.017616	0.0177261	0.019795	0.0122365	0.00602316	0.00732837	0.00868401	0.0145962	0.0266818	0.0237413	0.0268503	0.0130376	0.019423	0.01575	0.0118579	0.0157054	0.0290605	0.0242141	0.0324751	0.0351753	0.0397832	0.0472632	0.0389807	0.0468818	0.0601653	0.060363	0.0863126	0.0735758	0.0740974	0.0500216
toilette	0.0226766	0.0214452	0.0185334	0.0129973	0.010476	0.0112397	0.00651146	0.00667035	0.00653994	0.00723057	0.0114833	0.0216946	0.018617	0.0132251	0.0147609	0.0157485	0.017393	0.016046	0.0326612	0.0394514	0.0505889	0.0388689	0.0417972	0.0419043	0.0273156	0.0335332	0.0303301	0.0294524	0.0329438	0.0696387	0.0830259	0.087116	0.108083
</S>	0.0285676	0.0200245	0.0179358	0.0175708	0.0185751	0.0200652	0.0123948	0.00677727	0.00543092	0.00677965	0.00822286	0.0146776	0.00810928	0.00667101	0.00915054	0.0199506	0.0284212	0.0281573	0.035392	0.0577808	0.0543392	0.0365282	0.0406549	0.0374397	0.0231562	0.0321087	0.0411267	0.0384844	0.0379086	0.0494755	0.0583702	0.0749792	0.104774
