 	o	t	a	a	w	á	á	o	k	a	n	d	í	s	í	m	w	á	n	a	m	í	d	z	á	a	b	v	ú	u	</S>
n'	0.00884898	0.0119344	0.0177304	0.0102056	0.0086355	0.0123135	0.0282258	0.0115143	0.0132019	0.0205187	0.0367662	0.0305711	0.0596455	0.0467756	0.0868237	0.118456	0.0641859	0.0373106	0.0706219	0.0119849	0.013136	0.0424007	0.0310023	0.0495232	0.0215222	0.030141	0.0246628	0.0265445	0.020086	0.0227742	0.0119364
encourage	0.0877193	0.0351621	0.0623167	0.0707363	0.091793	0.0829894	0.061603	0.0723429	0.0604757	0.0483727	0.0345958	0.0265114	0.0287804	0.00890556	0.0178431	0.0152566	0.00557454	0.0182361	0.0315054	0.012974	0.0124304	0.0107861	0.0103169	0.00928191	0.00710471	0.0118093	0.00640486	0.0134332	0.0128681	0.0135477	0.0183226
pas	0.0575569	0.0388387	0.0452238	0.0645101	0.0382408	0.0424779	0.0284282	0.0298577	0.0341961	0.0319034	0.041098	0.0496414	0.0505933	0.0286516	0.0299985	0.0221811	0.01608	0.0412084	0.0441057	0.021918	0.0254247	0.0220035	0.0198024	0.0236913	0.022465	0.0247473	0.02253	0.0230166	0.0153805	0.021287	0.022942
l'	0.0539413	0.0250252	0.0281679	0.0309134	0.0315056	0.0276458	0.0278193	0.0225637	0.0239365	0.0224245	0.0189687	0.0234978	0.0347972	0.0259427	0.0470557	0.0578943	0.024552	0.0753617	0.0808649	0.0175453	0.022192	0.0520101	0.0308331	0.0242913	0.0137698	0.0242866	0.020096	0.0305763	0.0221223	0.0254972	0.0339018
enfant	0.0378643	0.040942	0.0368246	0.0418339	0.0338197	0.0323604	0.0162173	0.0255554	0.0256345	0.0271464	0.024364	0.0337085	0.023509	0.0510005	0.0388619	0.0358546	0.0268145	0.021485	0.0438432	0.0212612	0.0250645	0.0249979	0.0269684	0.0271219	0.0248419	0.0269502	0.030842	0.0367744	0.0307311	0.0380682	0.0687386
à	0.0697614	0.0655024	0.0540141	0.0578438	0.0322257	0.0277057	0.0124409	0.0191202	0.0193514	0.0175925	0.0153882	0.0215271	0.0192702	0.0641508	0.0493134	0.0339353	0.0137743	0.0132673	0.0225739	0.010306	0.0123823	0.0153652	0.0186192	0.0212004	0.0184678	0.0214657	0.0256631	0.0365479	0.029836	0.041404	0.119984
manger	0.103664	0.0626251	0.05517	0.0381383	0.0356075	0.0184316	0.0122128	0.0220603	0.013994	0.0143002	0.00817664	0.0104215	0.0129137	0.0190932	0.0253597	0.0428702	0.0205831	0.0160191	0.0306951	0.0141066	0.00977712	0.0096253	0.0090588	0.0117145	0.0110905	0.0156853	0.0213195	0.0606816	0.0495716	0.0787585	0.146275
comme	0.0339348	0.0451029	0.0455508	0.0433323	0.0259617	0.0207216	0.0110557	0.0156057	0.0152311	0.0132128	0.0109295	0.0104416	0.0130191	0.0263209	0.0287198	0.0427734	0.0460864	0.0175572	0.0613944	0.0134918	0.0175598	0.0413743	0.0282934	0.0335318	0.0186694	0.0302937	0.0371837	0.0513781	0.047732	0.0540196	0.0995207
ça	0.108233	0.0680319	0.0557394	0.0409848	0.0276359	0.00750662	0.00526636	0.00846699	0.00677333	0.00762549	0.00547639	0.00742954	0.00942488	0.0126742	0.0154104	0.0325641	0.0309812	0.0239831	0.0453611	0.0206361	0.0159161	0.0219142	0.0133775	0.0176395	0.00936353	0.0164883	0.0173224	0.0973603	0.0517824	0.0825288	0.116103
</S>	0.060249	0.0330822	0.025587	0.0183999	0.0163706	0.00686466	0.00655276	0.00949755	0.00812678	0.00899864	0.00572845	0.00519206	0.00831259	0.00669681	0.0110238	0.0195248	0.0318843	0.0253491	0.0308031	0.0287266	0.0226871	0.0235421	0.0242557	0.0244528	0.0287288	0.0518861	0.0553204	0.100388	0.0966716	0.095461	0.109636
