 	a	s	ú	a	á	l	i	n	d	i	s	á	l	i	m	á	</S>
le	0.0214275	0.0254499	0.0143016	0.0134425	0.011852	0.0107027	0.0102646	0.0197457	0.0267335	0.0243087	0.116399	0.286818	0.214243	0.124117	0.0536932	0.0188988	0.00760174
bateau	0.069552	0.0868336	0.145403	0.215472	0.0964767	0.129106	0.0596152	0.114582	0.0482764	0.0148377	0.0083227	0.00439472	0.00478771	0.000843702	0.000401792	0.000565449	0.000529025
a	0.0190104	0.0282952	0.0525112	0.0595179	0.0999751	0.0927154	0.121337	0.0991228	0.0626715	0.142702	0.0715806	0.0251917	0.0366458	0.0197568	0.0230659	0.0263678	0.019533
coulé	0.0742083	0.125414	0.133482	0.110259	0.106291	0.121704	0.0853955	0.03017	0.0190654	0.0189576	0.0192948	0.02004	0.0163395	0.0152586	0.0169844	0.0288189	0.0583163
à	0.070348	0.0671273	0.0665187	0.0743341	0.0663771	0.0773604	0.0597512	0.0440195	0.0185362	0.0181275	0.0216687	0.0243614	0.0383105	0.0373353	0.053292	0.0870388	0.175493
pic	0.0692187	0.0560799	0.0588387	0.0547268	0.0504509	0.0622283	0.0559257	0.0408938	0.0233269	0.0271456	0.053786	0.04185	0.0545729	0.060212	0.0663067	0.0755382	0.148899
dans	0.0504869	0.0305831	0.0379945	0.052598	0.0486521	0.0458953	0.0206387	0.0181285	0.0100797	0.00916225	0.0225144	0.0161114	0.0541427	0.0882813	0.108652	0.110399	0.27568
l'	0.125927	0.0861393	0.082471	0.0746563	0.055095	0.0571685	0.0348702	0.0156812	0.00716361	0.00566414	0.00828607	0.0127406	0.0247864	0.0264959	0.0441741	0.069866	0.268815
alima	0.16962	0.086974	0.0672751	0.0596565	0.0277414	0.0231965	0.0213738	0.00998697	0.00480989	0.00482983	0.00484646	0.00929768	0.0212604	0.0404931	0.0720029	0.106685	0.269951
</S>	0.122893	0.0737165	0.0534974	0.0473954	0.0477878	0.0491504	0.0454394	0.0226984	0.0194579	0.0192736	0.0136208	0.0149062	0.0221568	0.0411885	0.0584026	0.0701335	0.278282
