 	n	g	ó	o	á	d	z	e	l	á	a	p	a	a	n	á	m	w	á	n	a	d	í	s	i	m	í	k	a	n	a	l	á	b	v	e	r	é	</S>
la	0.099123	0.0945134	0.0335993	0.0175364	0.0098634	0.0141949	0.00697447	0.00648951	0.00610537	0.0061293	0.0069058	0.00787703	0.0162236	0.0201159	0.0241444	0.0460235	0.0500146	0.0454539	0.0766997	0.0742202	0.0621355	0.0399246	0.0448563	0.0371071	0.0104943	0.0252475	0.00682088	0.0138206	0.00972007	0.01064	0.00962898	0.00979669	0.00603992	0.00687744	0.00847004	0.00887525	0.00923426	0.00745898	0.010644
mère	0.349247	0.14716	0.216213	0.132591	0.0240304	0.0201116	0.00946267	0.00721045	0.0114933	0.0215573	0.0244651	0.010232	0.0105193	0.0050611	0.00223036	0.00159973	0.000824707	0.000400291	9.33555e-05	0.000332692	0.000294106	0.000188565	0.000288008	0.000409965	0.000217898	0.000709872	0.000352498	0.000587095	0.000215342	0.000303201	0.000271911	0.000169445	0.000235647	0.0001873	0.000168927	0.000197634	0.000204057	0.000125126	3.76408e-05
écarquillait	0.016352	0.0189909	0.0227193	0.0491093	0.0238153	0.0208169	0.0363666	0.0235744	0.0353837	0.0560359	0.0417019	0.0240209	0.017709	0.018167	0.0190707	0.0324343	0.0411039	0.0413648	0.0236649	0.0169451	0.0232429	0.0197469	0.0265814	0.0109505	0.00779189	0.0120833	0.0155906	0.0174098	0.0283503	0.0242602	0.0316967	0.0310086	0.0264149	0.0195881	0.0409823	0.0197976	0.0231708	0.0237263	0.0182602
l'	0.0575092	0.0508622	0.0674409	0.0475822	0.0207464	0.0193527	0.0147065	0.0103238	0.0164683	0.0187996	0.0271431	0.0283503	0.0347156	0.0277353	0.0273132	0.0156892	0.0283792	0.0175008	0.0241442	0.0414824	0.0244325	0.0215749	0.0372886	0.0126971	0.0146155	0.00758994	0.0111078	0.012239	0.0117588	0.0123211	0.0069454	0.00926601	0.00484314	0.0172848	0.0217966	0.0417629	0.0339887	0.0479805	0.0542616
oeil	0.0290241	0.0212829	0.0142654	0.0165995	0.024588	0.0205589	0.0544218	0.0374253	0.0546514	0.0652599	0.0662341	0.0464534	0.0219997	0.0124537	0.0113884	0.0132466	0.0185695	0.0229957	0.0284001	0.0359063	0.0251088	0.0164378	0.0271224	0.021125	0.0251411	0.0220848	0.0214887	0.0310724	0.0243769	0.0252399	0.0147134	0.0223813	0.0108153	0.0176203	0.0145931	0.019615	0.0176557	0.0140673	0.0136161
de	0.0379915	0.0314026	0.0295724	0.0281174	0.0310101	0.0262279	0.0334742	0.0330458	0.0307661	0.0313398	0.0302799	0.0295729	0.0286031	0.0225063	0.0174514	0.010816	0.0093999	0.0204576	0.0350652	0.0229211	0.0235612	0.0306545	0.0295737	0.0261973	0.0196503	0.0192842	0.0121353	0.0203737	0.0201874	0.0271723	0.0123627	0.0208937	0.0132341	0.0232078	0.020848	0.0299227	0.0270433	0.0326233	0.0510535
son	0.0261299	0.019509	0.0141148	0.0169484	0.0240439	0.0207089	0.0437904	0.0351459	0.0462314	0.0561324	0.0858743	0.0758056	0.070588	0.0274295	0.0143841	0.0121778	0.00952023	0.0168816	0.0316398	0.0270913	0.0134427	0.012316	0.0117452	0.0196249	0.0152599	0.0171718	0.00641124	0.0109595	0.00703457	0.0113688	0.00734658	0.00805746	0.0082628	0.00975948	0.0106354	0.013697	0.0215151	0.0241348	0.0971096
enfant	0.0304572	0.0300146	0.022283	0.023419	0.0328942	0.0255417	0.0244336	0.0255939	0.0274669	0.0290067	0.0317496	0.0298953	0.0314416	0.0284936	0.0166048	0.0136561	0.0128591	0.023003	0.039822	0.0408953	0.00863568	0.0100585	0.0154878	0.0121787	0.00935999	0.00923773	0.00433177	0.00773646	0.00391216	0.00833272	0.00562652	0.0110545	0.0116526	0.0242333	0.0208201	0.0387444	0.0395067	0.085758	0.133801
pour	0.0244258	0.0174412	0.0167162	0.0172817	0.0216151	0.0160802	0.0313906	0.0197104	0.0227937	0.028496	0.0232819	0.0167469	0.0126596	0.0072299	0.00805776	0.0069935	0.00561467	0.0117851	0.0175735	0.0133282	0.0178832	0.0135391	0.0136562	0.0182979	0.00979852	0.0280524	0.00827104	0.0227309	0.0162002	0.0399096	0.0273312	0.0390831	0.0270758	0.0334153	0.0663075	0.0568048	0.0555034	0.0669472	0.0999708
y	0.0216237	0.0118375	0.0133982	0.014951	0.0153649	0.0109626	0.0118984	0.00771372	0.00540305	0.00755218	0.00623561	0.00444802	0.00472008	0.00428075	0.0048974	0.00693824	0.00803787	0.0152418	0.0167135	0.0134944	0.0433402	0.0225401	0.0168214	0.0303328	0.0212708	0.0276502	0.0199273	0.0317877	0.0213274	0.0387611	0.0361102	0.0429318	0.051754	0.0675292	0.0581714	0.0727086	0.0677541	0.0650626	0.058506
mettre	0.0119608	0.0100882	0.0116365	0.0111616	0.0113199	0.010346	0.0210123	0.0152593	0.0132279	0.0174622	0.0129886	0.00726455	0.00741754	0.00987146	0.0151227	0.0202139	0.0188787	0.045036	0.030521	0.0226412	0.0331408	0.0417094	0.0229553	0.0367457	0.0155249	0.0243868	0.0183474	0.0506048	0.0272907	0.0446927	0.0238568	0.0314726	0.0236011	0.0399407	0.0421787	0.0495454	0.0468094	0.0527578	0.0510088
le	0.0184558	0.0175716	0.0147331	0.0154263	0.0135845	0.0104123	0.0105981	0.0119701	0.0128383	0.0110244	0.00996172	0.0124843	0.0107235	0.0137092	0.0129936	0.0119008	0.00659132	0.0157452	0.0269328	0.0106934	0.0141253	0.0210767	0.024849	0.0256116	0.0274747	0.0217812	0.0331259	0.0307738	0.0445608	0.040109	0.0353529	0.0392552	0.0345328	0.0598583	0.0480414	0.0613167	0.0560498	0.0574893	0.0562653
médicament	0.0226691	0.0221104	0.0244937	0.0233372	0.0223074	0.0169039	0.00900509	0.00998892	0.00662972	0.00689614	0.00505398	0.00495594	0.00528223	0.00442573	0.00432326	0.0045012	0.00401522	0.00720599	0.0173789	0.00986992	0.0100305	0.0100722	0.0213503	0.0185984	0.018469	0.0170104	0.0114794	0.0197839	0.0107734	0.0396866	0.0221773	0.0415456	0.0378707	0.0706496	0.0650568	0.0754518	0.0820811	0.0842533	0.112306
</S>	0.0141774	0.013736	0.0154747	0.0147636	0.0144541	0.011354	0.011188	0.0118325	0.0098946	0.0111045	0.00895369	0.00858726	0.00922759	0.00866197	0.0082416	0.00845642	0.00597441	0.0115529	0.0230691	0.0135028	0.0212205	0.0196743	0.0265412	0.0311425	0.0390543	0.0419898	0.0290466	0.0346065	0.0271008	0.04323	0.0219379	0.0332222	0.0227782	0.0510876	0.0439687	0.0632094	0.0594566	0.0683291	0.0881967
