 	é	d	z	e	w	á	m	o	r	o	y	e	e	s	í	í	s	í	b	i	r	á	</S>
c'	0.0256832	0.0304003	0.0154089	0.0147532	0.0423789	0.0967444	0.14125	0.0965721	0.121698	0.0408544	0.031271	0.0231296	0.0212203	0.0248326	0.0115251	0.012668	0.0176397	0.033	0.0394332	0.0578244	0.0308454	0.0377039	0.0331632
est	0.0738021	0.0389977	0.029413	0.0212192	0.0116128	0.0104478	0.0111436	0.034286	0.0268082	0.0647443	0.121682	0.157718	0.121216	0.0866771	0.0689161	0.0452387	0.0178738	0.0111768	0.00888951	0.00751262	0.00981011	0.0119786	0.00883585
lui	0.079675	0.070497	0.0709135	0.0800745	0.111231	0.122497	0.197075	0.033784	0.0452873	0.0384765	0.0243179	0.0136577	0.00753544	0.00783918	0.00568561	0.00537705	0.00594846	0.00595032	0.00749526	0.00627286	0.00814404	0.00601368	0.0462516
qui	0.0366199	0.0358799	0.0398129	0.089175	0.0643869	0.040365	0.0671765	0.0601546	0.0694838	0.056542	0.0436133	0.0336479	0.0255268	0.0329649	0.027902	0.0177939	0.0252311	0.0218283	0.0319638	0.0329361	0.0346103	0.0306917	0.0816933
a	0.039337	0.0273012	0.0159405	0.0227633	0.0320969	0.0201307	0.0279422	0.0298431	0.0405275	0.0353014	0.100332	0.102817	0.100023	0.0834757	0.0515811	0.0256277	0.0226323	0.0225903	0.026697	0.031382	0.03853	0.0493048	0.053823
mis	0.0331927	0.0347526	0.0307581	0.0297194	0.0252925	0.0255634	0.0225802	0.0282539	0.0263441	0.0307078	0.0734374	0.131318	0.131959	0.122981	0.0681137	0.0281197	0.0146199	0.0178655	0.0145467	0.0209646	0.0255097	0.0304412	0.0329589
fin	0.0575003	0.027551	0.0221969	0.0220171	0.0241483	0.00934404	0.0148589	0.0179547	0.0163149	0.0286451	0.0730375	0.111671	0.15957	0.110743	0.0699808	0.0515269	0.0246999	0.0300962	0.0203104	0.024434	0.021606	0.0220368	0.0397553
à	0.0504464	0.0273308	0.0194752	0.0219792	0.0255566	0.0137126	0.0163773	0.0134304	0.0143891	0.0202035	0.0363509	0.0537911	0.0519909	0.056035	0.0600288	0.0572228	0.0567121	0.0535452	0.054471	0.0620368	0.071434	0.0754284	0.0880519
la	0.0728676	0.0415774	0.0338368	0.0294312	0.0247738	0.0150647	0.0115678	0.00697163	0.00844819	0.00617263	0.0108678	0.0256497	0.0293685	0.0455315	0.0679479	0.040887	0.0323724	0.0348191	0.0487594	0.0741883	0.0896882	0.112816	0.136392
guerre	0.147297	0.080436	0.0446233	0.0227436	0.0155537	0.0169563	0.00900303	0.00639807	0.00904647	0.00848649	0.0135044	0.0293608	0.0386505	0.0370355	0.0459192	0.0333873	0.0235572	0.0192171	0.023666	0.0318255	0.0388801	0.0860324	0.21842
</S>	0.0794235	0.0511156	0.046804	0.0468506	0.0511069	0.0349017	0.0411754	0.024811	0.0336019	0.0288215	0.023161	0.0198062	0.0148922	0.0293996	0.0483855	0.0365702	0.0432164	0.0222639	0.0412156	0.0416243	0.0621878	0.0710595	0.107606
