 	n	g	á	í	t	έ	i	k	ώ	r	í	í	y	é	k	ώ	ώ	s	á	p	ε	n	g	ε	</S>
j'	0.15145	0.346251	0.193875	0.0557388	0.0247626	0.0349168	0.0131876	0.00995843	0.0143523	0.0103081	0.00610496	0.0121382	0.0181882	0.0107373	0.0139722	0.0159278	0.0107241	0.00850605	0.00855026	0.00512081	0.00434809	0.00585042	0.00720393	0.00738392	0.0104434
ai	0.121913	0.0547447	0.0783891	0.0477196	0.0256946	0.0295749	0.0266766	0.0284596	0.0746982	0.0859251	0.0465161	0.0521228	0.0198705	0.0107692	0.017025	0.0259518	0.0199467	0.0383	0.0406821	0.030847	0.0310982	0.0214965	0.0238464	0.0240365	0.023696
vu	0.0293929	0.0266257	0.0432972	0.0536299	0.0653615	0.084316	0.041806	0.0438094	0.0432538	0.0608435	0.0577285	0.0584682	0.0544853	0.0593808	0.0467343	0.0349626	0.0316558	0.0291177	0.0181622	0.016176	0.0160882	0.0186151	0.0159051	0.0230556	0.0271289
un	0.0316005	0.0300998	0.0221079	0.0268831	0.0468217	0.0552411	0.0303443	0.0185963	0.0253907	0.0218091	0.0258351	0.0407239	0.0456347	0.0525777	0.0502012	0.0452822	0.0490631	0.0487524	0.0377383	0.0467959	0.0412551	0.0402463	0.0458026	0.0516523	0.069545
morceau	0.0340765	0.0284839	0.0310018	0.0253425	0.0268911	0.0493536	0.0255061	0.022665	0.0366311	0.0426712	0.0469977	0.0368413	0.0544316	0.0351685	0.0332501	0.0396234	0.0436142	0.0463944	0.0501442	0.0460887	0.0382259	0.0351928	0.0386997	0.0551937	0.0775112
de	0.0206801	0.0164189	0.016552	0.00975047	0.0127112	0.0100829	0.0115818	0.01106	0.0150332	0.0185127	0.0239869	0.0139131	0.0315837	0.0246737	0.0311203	0.0333669	0.0648923	0.0456302	0.0592933	0.0851528	0.0812811	0.0798956	0.0825763	0.0967771	0.103473
manioc	0.0776263	0.0381254	0.0352737	0.0223776	0.0176217	0.0132336	0.0205504	0.0158072	0.0185607	0.0230876	0.0206975	0.0149138	0.0322034	0.0268734	0.0367375	0.0473026	0.0465883	0.0499213	0.057004	0.05979	0.0523908	0.0509521	0.0524833	0.0605252	0.109353
déjà	0.0311127	0.0237361	0.0201635	0.0184948	0.0187022	0.0148863	0.0151634	0.0125373	0.0164618	0.0212039	0.0163078	0.0182029	0.036598	0.0328907	0.0427207	0.0540795	0.0603944	0.0626367	0.0679535	0.0659989	0.0678401	0.0688693	0.0689912	0.0706416	0.0734127
endurci	0.0224804	0.0224547	0.0221012	0.0217885	0.0151304	0.00808955	0.00746934	0.00633812	0.00944301	0.0145856	0.0123456	0.0153706	0.0312015	0.033506	0.036672	0.0528093	0.0634035	0.0726446	0.0767138	0.0752108	0.074453	0.0730233	0.0712568	0.0774628	0.0840457
dans	0.0400527	0.0190261	0.01896	0.0213639	0.0197434	0.0239886	0.0253373	0.0220003	0.0217641	0.0348604	0.0270581	0.0354717	0.0608104	0.0515148	0.0631336	0.0745321	0.0709792	0.0607227	0.0487806	0.0374656	0.0374982	0.039296	0.033979	0.0480859	0.0635753
le	0.0672153	0.0513553	0.0458368	0.0217419	0.019776	0.0114859	0.0108754	0.00578157	0.00744329	0.0188262	0.0169612	0.0147835	0.037657	0.039488	0.0422051	0.0431388	0.0477914	0.0465654	0.0330309	0.032163	0.0538486	0.0423077	0.0686105	0.0740309	0.14708
sac	0.0259299	0.0372127	0.0277335	0.0123192	0.0130286	0.0143264	0.00839674	0.00747639	0.0146025	0.0226039	0.0262937	0.018371	0.057299	0.0675864	0.0441279	0.0511505	0.0452574	0.0577633	0.0433549	0.0373476	0.0635561	0.0502878	0.0757686	0.0821844	0.0960215
</S>	0.0562103	0.0264687	0.0249572	0.0330497	0.0511164	0.0625509	0.0527504	0.0307969	0.0481128	0.0297177	0.0252917	0.0352879	0.0503792	0.0315918	0.0306593	0.0410002	0.0441712	0.0505103	0.0405698	0.0334977	0.0355816	0.0355705	0.0330721	0.0418229	0.0552628
