 	a	m	b	ó	s	i	b	á	a	d	z	á	á	a	y	a	a	s	á	n	g	o	n	d	a	y	á	b	í	s	í	</S>
les	0.0454811	0.0365941	0.0562838	0.0676156	0.0419842	0.0355302	0.0331771	0.0433474	0.0340974	0.0359948	0.0438015	0.073019	0.0513392	0.055956	0.0507608	0.0399929	0.0444803	0.0335776	0.0216724	0.0210962	0.014054	0.0155082	0.00968455	0.0113522	0.0107511	0.00854871	0.0105477	0.0109744	0.00905413	0.00987851	0.0135538	0.0102912
cabris	0.0408607	0.0436021	0.0606444	0.102698	0.133561	0.102507	0.0983271	0.0532834	0.0490418	0.0386997	0.0163631	0.013804	0.0188137	0.0363333	0.00579064	0.0137901	0.00498375	0.00982069	0.00923603	0.00936305	0.00459826	0.0068812	0.0121394	0.0206225	0.0108538	0.0229421	0.0173271	0.0125735	0.00804103	0.00781104	0.00747856	0.00720865
broutent	0.0334806	0.0295415	0.0146391	0.0158724	0.0158423	0.0311103	0.0313289	0.0337975	0.0416401	0.0374057	0.0278709	0.0408212	0.0530772	0.0753675	0.0545671	0.0886218	0.0722447	0.0494432	0.0401965	0.0346627	0.0190929	0.0162787	0.0125075	0.0165164	0.01811	0.0195013	0.0170975	0.0117846	0.0107307	0.0114002	0.0116558	0.013793
les	0.0118265	0.0201466	0.028824	0.0426416	0.0383699	0.0367747	0.0416305	0.0313518	0.0272702	0.0290035	0.030597	0.0398274	0.0349923	0.0271876	0.0334058	0.0388836	0.0296964	0.0265968	0.0310212	0.0275909	0.0242317	0.0353025	0.0288366	0.042306	0.0361307	0.0424961	0.0330858	0.0225452	0.0196951	0.028302	0.0286472	0.0307828
feuilles	0.0406258	0.0371067	0.0383236	0.0398265	0.0344817	0.0368983	0.0360328	0.0327634	0.0357662	0.0405008	0.0415527	0.0243555	0.0204774	0.0255211	0.034554	0.0468282	0.0304515	0.0360015	0.0366898	0.0238783	0.0192852	0.0138547	0.00576665	0.0105403	0.0136696	0.0162158	0.0243995	0.0271825	0.0270141	0.0321873	0.0478891	0.0693595
de	0.0334066	0.0267171	0.0279192	0.0253315	0.0233677	0.0231239	0.0222182	0.0222106	0.0223556	0.0210236	0.0204948	0.0212929	0.0214163	0.0169538	0.0230407	0.023456	0.0235006	0.0244217	0.0350613	0.0349339	0.0402703	0.0369165	0.0395356	0.0422213	0.0322949	0.0242097	0.031448	0.0385265	0.0432684	0.0508399	0.0681894	0.0600335
manioc	0.0123527	0.0132764	0.0102208	0.0117053	0.0196819	0.0224115	0.0175513	0.0198457	0.0202641	0.0200665	0.0191144	0.0156085	0.0170141	0.0134775	0.0203348	0.0169878	0.0185661	0.0173057	0.0239416	0.0256023	0.0405473	0.0427857	0.0542247	0.047631	0.0523136	0.054908	0.0635938	0.0534815	0.0704271	0.0558701	0.052656	0.0562322
dans	0.0176197	0.0147213	0.0182178	0.0181467	0.0177179	0.0175098	0.0175335	0.0185138	0.0265	0.0294683	0.0306374	0.0275301	0.0169385	0.0151112	0.0183519	0.0177888	0.0182846	0.0186659	0.0211383	0.0224589	0.0284627	0.0341451	0.0505978	0.0420562	0.0450565	0.0453198	0.0559741	0.0569186	0.0556363	0.0595038	0.0596224	0.0638522
notre	0.0211119	0.0162959	0.016272	0.0154522	0.0152202	0.0148725	0.0111336	0.0105878	0.0170709	0.0193569	0.0187563	0.0186289	0.0109422	0.00890611	0.0160873	0.0173356	0.016709	0.0193268	0.0267734	0.0289322	0.0325373	0.0574466	0.067917	0.024603	0.0392492	0.0326686	0.0533204	0.0619802	0.0721186	0.0849503	0.0830139	0.050423
champ	0.0207117	0.0199204	0.0188146	0.01832	0.0165523	0.0112392	0.00830575	0.00511336	0.00530342	0.00582275	0.00643763	0.00415354	0.00304523	0.00297387	0.00396524	0.00486279	0.00657881	0.00941992	0.0150367	0.0151084	0.0181592	0.0263922	0.041684	0.0301977	0.0448253	0.049567	0.0726116	0.0818609	0.0826885	0.101738	0.108981	0.139609
</S>	0.0397457	0.0434867	0.047013	0.0417967	0.0313842	0.0248328	0.0255983	0.0264508	0.0257517	0.0237163	0.0232224	0.0153601	0.0120944	0.00698302	0.013223	0.014584	0.0200117	0.0239487	0.0279618	0.0217114	0.0258097	0.0248605	0.0379248	0.0326129	0.0327501	0.0261538	0.037404	0.0451147	0.0258477	0.0339036	0.0414869	0.127255
