 	b	á	n	a	b	o	s	ω	m	b	ω	á	d	í	l	a	k	a	l	á	</S>
les	0.0789543	0.200853	0.144065	0.111142	0.0474872	0.0168036	0.0199332	0.019728	0.0368952	0.0430653	0.0313953	0.0371008	0.0268294	0.0311788	0.0290236	0.016594	0.022076	0.0255558	0.0267927	0.022408	0.0121185
enfants	0.0874187	0.0743366	0.067413	0.0536245	0.0790782	0.111424	0.0913499	0.0631234	0.0838065	0.0649766	0.0617392	0.0107482	0.00964681	0.00839208	0.012182	0.0178881	0.0159093	0.019965	0.0217775	0.0353923	0.00980785
d'	0.0625721	0.0269032	0.0162911	0.0165125	0.0183647	0.0255024	0.0227068	0.0255085	0.0303019	0.0362921	0.0391849	0.0772843	0.0832746	0.0914316	0.0861655	0.104929	0.100102	0.0766797	0.0287402	0.0232947	0.0079592
ossombo	0.0190564	0.0225829	0.0323105	0.032494	0.0254701	0.0334282	0.036377	0.0430842	0.0387877	0.0312939	0.0393355	0.0365125	0.053222	0.0434316	0.0749323	0.0981254	0.115787	0.0764448	0.0499984	0.0567961	0.0405293
sont	0.0595005	0.019203	0.022223	0.0159873	0.0160653	0.0288874	0.0341818	0.0417513	0.0565089	0.0393253	0.0313941	0.0608606	0.0528134	0.02886	0.0419968	0.0400907	0.0575402	0.0814705	0.102598	0.0951382	0.0736038
avides	0.0357581	0.0382057	0.0372612	0.0359169	0.0340557	0.038047	0.0459155	0.0412208	0.0290676	0.0368267	0.0458674	0.0736714	0.0512611	0.0812715	0.0609902	0.0640678	0.0492545	0.0471879	0.0499532	0.0500648	0.0541352
de	0.0719146	0.0557518	0.0404094	0.0382024	0.0409312	0.0479407	0.0521998	0.0560085	0.0495414	0.038962	0.022495	0.0358391	0.0264797	0.0241168	0.0256899	0.0604168	0.0409559	0.0406841	0.061993	0.0727995	0.0966683
nourriture	0.0386498	0.0284247	0.0317499	0.032093	0.0388291	0.0651421	0.0766923	0.0563659	0.0271823	0.0140754	0.0127293	0.00869324	0.00560397	0.0062733	0.0130288	0.025229	0.0452029	0.0571743	0.118771	0.111763	0.186328
</S>	0.0535857	0.0371866	0.0431179	0.056957	0.0689347	0.0921979	0.103896	0.0712373	0.0359519	0.0178231	0.0151728	0.0144306	0.00675357	0.00832492	0.0127595	0.0224697	0.0261988	0.0265554	0.0561856	0.0622576	0.168004
