 	o	y	ú	r	u	y	é	e	t	o	n	á	o	l	ó	m	i	ó	n	g	u	a	a	d	i	e	d	z	ú	ú	l	ú	</S>
une	0.0449536	0.0576162	0.0409646	0.0198044	0.014404	0.0310833	0.0294514	0.0339577	0.0376516	0.0268475	0.0295651	0.0597771	0.0545735	0.0252475	0.0659231	0.0403539	0.0310781	0.0138414	0.02661	0.0193623	0.0252066	0.0262781	0.01495	0.0209306	0.0206132	0.021758	0.02491	0.0295721	0.024424	0.0189715	0.0232643	0.0206961	0.0253592
femme	0.0875803	0.0759806	0.104836	0.219559	0.0757494	0.0348031	0.0369502	0.0464029	0.0161232	0.030091	0.0161508	0.0247154	0.0245258	0.0169472	0.0136979	0.00641448	0.0060866	0.00219087	0.00592086	0.00539597	0.0039085	0.0285095	0.0260113	0.0140802	0.0130546	0.0215691	0.00684366	0.0118548	0.00957602	0.00487973	0.00539438	0.00246209	0.00173444
qui	0.0471142	0.0259179	0.0159577	0.00858758	0.00827935	0.00747684	0.0151108	0.0236549	0.018658	0.0215724	0.0314921	0.0402682	0.031607	0.03308	0.0287427	0.0285476	0.0350478	0.045339	0.0397939	0.0461605	0.0684587	0.0469644	0.0394304	0.0542358	0.0377068	0.0781746	0.039426	0.0230058	0.0172458	0.00970273	0.00995612	0.0178748	0.00540961
quitte	0.0122279	0.0259813	0.0202401	0.0155689	0.0216209	0.0195717	0.0281626	0.0430327	0.0313013	0.0298845	0.0329241	0.0230853	0.0202291	0.0394383	0.0621147	0.0518852	0.0720023	0.044659	0.0446377	0.0545592	0.0446722	0.0172424	0.0187628	0.0152979	0.0170479	0.0148028	0.0168575	0.0189331	0.0248037	0.0185716	0.0234331	0.0362812	0.0401671
son	0.0202165	0.0224256	0.0180377	0.0257214	0.0287353	0.03258	0.0470159	0.0684647	0.0420981	0.0480857	0.036686	0.0224584	0.0211913	0.0245327	0.0238206	0.0377033	0.0462308	0.0370204	0.0260851	0.0447626	0.0374424	0.0195291	0.0241656	0.0170939	0.0242841	0.0217005	0.0103616	0.016169	0.0172393	0.0137907	0.0236242	0.037289	0.0634383
mari	0.0404905	0.0348841	0.0263223	0.0351883	0.0395342	0.0313225	0.0295994	0.0289927	0.0181974	0.0266129	0.0165391	0.0149396	0.0270076	0.0329455	0.0196153	0.0227552	0.0164216	0.00736264	0.013294	0.0234632	0.0164304	0.0378692	0.0299798	0.0223164	0.0347874	0.0595687	0.0368103	0.055353	0.0373147	0.031579	0.0411904	0.037139	0.0541734
arbitrairement	0.0183235	0.0211645	0.0273927	0.0250437	0.0268469	0.0227775	0.0225652	0.0220439	0.0219776	0.0207301	0.026429	0.0241719	0.0263049	0.0287007	0.026468	0.0295787	0.030828	0.0222862	0.0544746	0.0566501	0.0473176	0.0398565	0.0315619	0.0244089	0.0327614	0.0372811	0.0275478	0.0311751	0.0232484	0.0242452	0.0278442	0.0325296	0.0654644
est	0.0314473	0.0258139	0.0250998	0.0220754	0.0235769	0.0277182	0.0315369	0.0314994	0.0321174	0.0285556	0.0338214	0.0342017	0.0368097	0.0388587	0.0502802	0.0430142	0.0483664	0.0325409	0.0373113	0.0345679	0.026793	0.0293434	0.0188081	0.0202505	0.0250195	0.0190864	0.0194229	0.0191152	0.0186071	0.021309	0.0238031	0.0318881	0.0573404
une	0.0296529	0.0216806	0.0262754	0.021475	0.0196291	0.0103316	0.00848289	0.00916796	0.011916	0.0159514	0.0151562	0.0179687	0.0275151	0.032808	0.0403032	0.0487156	0.0528065	0.0501414	0.0505545	0.0362719	0.0252647	0.0317914	0.0180318	0.0139774	0.0204854	0.0193949	0.028727	0.0290907	0.0300071	0.0490175	0.0537404	0.0593485	0.0743191
imbécile	0.029632	0.0243474	0.0275186	0.0241705	0.0189913	0.0113303	0.00935725	0.00954298	0.0101485	0.0107288	0.0108475	0.0121361	0.0164738	0.0183268	0.0213129	0.0158981	0.0199511	0.0222397	0.0284212	0.0298855	0.0399604	0.0355941	0.0224833	0.0182014	0.0230335	0.0190422	0.0521197	0.0469379	0.0448654	0.0714324	0.0729549	0.0790328	0.103082
</S>	0.0430212	0.0384991	0.0258028	0.0194938	0.0158343	0.0094875	0.0126195	0.0124729	0.0131973	0.014837	0.0147455	0.0156835	0.0141485	0.0260115	0.0305345	0.0469676	0.0601083	0.0615666	0.062533	0.0463958	0.0377891	0.0228094	0.0226125	0.0148351	0.0187916	0.0126177	0.0182905	0.0175851	0.0241625	0.0330278	0.0365685	0.0558649	0.101085
