 	b	v	á	r	e	ó	m	i	k	y	é	n	a	s	i	n	g	a	ó	b	h	i	b	ώ	ω	k	y	ε	l	ε	</S>
la	0.0185588	0.0170683	0.0101161	0.0113277	0.0120247	0.0144852	0.0171737	0.0475205	0.0875625	0.0427206	0.0392912	0.0548469	0.0418745	0.0306643	0.0228612	0.01486	0.0206729	0.0257961	0.0320084	0.0331766	0.0502919	0.0349206	0.0309282	0.0373626	0.0326107	0.0362408	0.0504845	0.0275622	0.0281234	0.0320404	0.0448245
pirogue	0.0349195	0.0358511	0.0447788	0.104476	0.116382	0.0626881	0.066718	0.0568764	0.0284312	0.0219395	0.033197	0.0161379	0.0135464	0.0115223	0.015264	0.0265385	0.0168754	0.0244936	0.0346788	0.0296103	0.0353695	0.0520356	0.0195839	0.0246951	0.0256738	0.0199181	0.0122939	0.00610002	0.00595357	0.00280225	0.000649676
a	0.0313457	0.0236941	0.0210204	0.01434	0.0123313	0.014243	0.0225043	0.0357779	0.0287155	0.0328408	0.0486168	0.062831	0.0799332	0.0511069	0.0406682	0.0348569	0.0171033	0.0358277	0.057116	0.0430365	0.0644047	0.0543943	0.0289586	0.0210289	0.0396148	0.0242827	0.018789	0.0156066	0.00887184	0.00767071	0.00846831
cassé	0.022631	0.0178512	0.0278641	0.027099	0.0403801	0.044648	0.0558869	0.0792835	0.0854052	0.0687448	0.067965	0.0729479	0.0731774	0.0281781	0.0288349	0.0297797	0.00928413	0.0179619	0.011381	0.0178465	0.0130029	0.015909	0.0108615	0.00905659	0.0152163	0.0118995	0.0130341	0.011588	0.014627	0.0156012	0.0420539
ses	0.0405809	0.0349843	0.0341417	0.0330842	0.0406745	0.0337243	0.0323194	0.0274802	0.0351242	0.0322406	0.0373043	0.029016	0.0453811	0.0182144	0.0287027	0.0300238	0.0272569	0.0425635	0.025877	0.0290708	0.0208274	0.0216989	0.0170542	0.0217948	0.0264935	0.0272584	0.0348955	0.0389691	0.0425519	0.0395038	0.0511878
amarres	0.075337	0.0438724	0.0448274	0.0557966	0.0371619	0.0222397	0.0239444	0.00902551	0.0106485	0.00786785	0.0101328	0.0127231	0.0212309	0.025184	0.0255083	0.0243652	0.0317978	0.032438	0.0307659	0.0351638	0.0241549	0.0399539	0.0260618	0.034665	0.0443979	0.0537871	0.0395322	0.0355149	0.0330101	0.0339476	0.0549436
et	0.0495264	0.0317819	0.0314544	0.0320148	0.0259733	0.0249596	0.0252167	0.0201964	0.0211902	0.0182756	0.0189628	0.021607	0.0314018	0.0460378	0.0568305	0.0519472	0.0519168	0.0298429	0.035988	0.030869	0.028261	0.0459152	0.0218642	0.0175159	0.01961	0.0234304	0.0190596	0.0314814	0.0421267	0.0447338	0.0500086
part	0.0205451	0.0261855	0.0260297	0.0290622	0.021427	0.0296228	0.0366277	0.0161228	0.0152542	0.0108098	0.0132957	0.0142544	0.0169408	0.0247189	0.0211914	0.0301036	0.0440438	0.0424173	0.0445734	0.0443978	0.0391871	0.0399721	0.0397174	0.0346033	0.0360463	0.0342429	0.0364527	0.0349832	0.0391018	0.0567542	0.081315
à	0.0391812	0.0279316	0.0282722	0.0237357	0.0239568	0.0239562	0.0218551	0.010643	0.00849447	0.00675544	0.00995457	0.0115485	0.0161625	0.0190289	0.0263619	0.0315445	0.0275384	0.0377786	0.0236405	0.0389111	0.0510864	0.0503339	0.0439911	0.0492858	0.0522223	0.0615302	0.0520059	0.0460706	0.0492511	0.0464181	0.0405535
la	0.0363079	0.0280874	0.0206667	0.0185226	0.0171174	0.0181486	0.0148224	0.00594937	0.00665514	0.00521468	0.00671249	0.0105885	0.0230923	0.0250367	0.0290261	0.029401	0.0234363	0.0378818	0.0231243	0.0267266	0.0501548	0.0414287	0.0329806	0.0510708	0.0449339	0.0549474	0.0568323	0.0572845	0.0646232	0.0655699	0.0736555
dérive	0.0267346	0.0118635	0.0119658	0.0100119	0.0128747	0.0120424	0.0116667	0.00669972	0.0046287	0.00551205	0.00378307	0.00737386	0.00823093	0.0182261	0.0326644	0.0427995	0.0540318	0.0381936	0.033722	0.0276748	0.0401324	0.0310836	0.0352054	0.037171	0.0306863	0.0398248	0.054419	0.0437917	0.0798899	0.0824372	0.144659
</S>	0.0416788	0.0339091	0.0318637	0.0246135	0.0220545	0.0230701	0.0185984	0.00804764	0.0111338	0.00937856	0.0109764	0.0186906	0.0267487	0.0203277	0.0228714	0.0311851	0.0224617	0.0250258	0.0345671	0.0307929	0.0250861	0.024419	0.0263927	0.0277864	0.032413	0.0379233	0.0570686	0.0558811	0.0644164	0.069883	0.110735
