 	i	b	a	a	l	í	í	y	a	a	d	í	í	d	í	l	i	b	h	á	n	d	á	l	í	b	o	m	a	l	á	n	d	z	ω	i	</S>
cet	0.010045	0.00849161	0.00778059	0.00635626	0.00592596	0.00525065	0.00774329	0.0113255	0.0126074	0.0173262	0.0110686	0.0477244	0.054535	0.0942725	0.0965621	0.0712427	0.0553163	0.0520917	0.0534297	0.0307567	0.0281824	0.0242345	0.0274686	0.0284783	0.0197007	0.0207852	0.0374805	0.0336718	0.0276463	0.0183649	0.0164072	0.012962	0.0104574	0.00953291	0.0109719	0.00858493	0.00521847
homme	0.0587553	0.0830598	0.14075	0.183068	0.16779	0.104727	0.0419025	0.0102321	0.012957	0.00490065	0.00469421	0.00300264	0.00362122	0.00276734	0.00405142	0.0074485	0.0059916	0.00343304	0.00402428	0.00512719	0.00431321	0.00581741	0.00726017	0.00901685	0.00691516	0.011031	0.00605315	0.00597893	0.0149628	0.00936571	0.0166422	0.0254972	0.0119223	0.00444619	0.00412767	0.00117762	0.00316838
qui	0.0344966	0.020159	0.0211809	0.0149799	0.0129691	0.019309	0.0115155	0.0195211	0.0279362	0.0186836	0.0205787	0.0127335	0.0214334	0.0149282	0.0157522	0.018504	0.0190118	0.0191695	0.0253522	0.0298713	0.0279298	0.038588	0.068048	0.0529715	0.0479694	0.0414085	0.0779628	0.0713445	0.0495971	0.0422441	0.0228855	0.0134647	0.0105551	0.00941708	0.0107153	0.0112128	0.00560001
arrive	0.00863401	0.0224968	0.0220758	0.0297823	0.01517	0.0107141	0.0110689	0.0093353	0.0213317	0.0237435	0.0463153	0.0365099	0.0327977	0.0309276	0.017348	0.0139536	0.0275178	0.0265349	0.0216759	0.0390085	0.0315294	0.026905	0.0316253	0.0191741	0.0359063	0.0373634	0.0250607	0.0300643	0.0257756	0.0236767	0.0232775	0.0281206	0.0348839	0.0313443	0.0447082	0.0468169	0.0368261
a	0.0213685	0.013708	0.0132851	0.0125285	0.0126797	0.0135027	0.0105423	0.0156828	0.0184088	0.0149873	0.0290136	0.0152482	0.0299308	0.0255022	0.0403202	0.0363676	0.0365415	0.0365191	0.0322161	0.0283967	0.0295322	0.0328489	0.0285562	0.0277057	0.0340929	0.0350261	0.0258519	0.0255355	0.0223	0.0173516	0.0156924	0.0284505	0.0250278	0.0333649	0.0438151	0.0413397	0.0767591
le	0.0129792	0.0139376	0.0141877	0.0130906	0.00959895	0.00966903	0.0102071	0.0155381	0.0164614	0.0104498	0.0153309	0.00919025	0.0102944	0.0128497	0.0151258	0.0140204	0.0238399	0.030415	0.0281132	0.0411695	0.0301904	0.0334788	0.0320677	0.0317226	0.0404984	0.0348438	0.0267596	0.033624	0.0412174	0.024378	0.049472	0.0633015	0.0355438	0.0314877	0.0638008	0.0470023	0.0541428
pouvoir	0.0423906	0.0262533	0.0299701	0.033643	0.0381279	0.0457647	0.0430663	0.0525408	0.0308217	0.0179234	0.0247598	0.0125018	0.0233833	0.0163305	0.0231799	0.0135218	0.0178832	0.0241649	0.0235855	0.0224605	0.0205513	0.016765	0.0165883	0.0194211	0.0140639	0.0246002	0.0151916	0.0187933	0.0429793	0.0308437	0.0342999	0.0423928	0.0300586	0.0172432	0.0238163	0.0142493	0.0558693
mystique	0.0739948	0.06446	0.0594795	0.0503481	0.0642434	0.0535309	0.0363007	0.0251977	0.0152919	0.0104332	0.0122198	0.0105874	0.0119403	0.010438	0.00582005	0.00397535	0.0124198	0.0170229	0.00602717	0.00835981	0.0109049	0.00534572	0.00453626	0.00653757	0.00491607	0.0120112	0.00725206	0.00755918	0.0151167	0.0166871	0.0129666	0.015898	0.0350384	0.0119643	0.0264367	0.0573684	0.19737
d'	0.0781763	0.045877	0.0318398	0.0206467	0.0190837	0.0203459	0.0182329	0.0127576	0.00844182	0.00701636	0.00623122	0.00427936	0.00540219	0.00540158	0.00767152	0.0192946	0.0115299	0.0110041	0.014746	0.0117996	0.0240582	0.0228906	0.0274915	0.0288787	0.0168833	0.0342318	0.0249078	0.0504097	0.036325	0.0436853	0.039001	0.037529	0.0328308	0.043571	0.0259497	0.0418453	0.109733
abattre	0.0518027	0.0441515	0.0292888	0.0189698	0.0193064	0.0134511	0.00485835	0.00402154	0.00426536	0.00331448	0.00641534	0.006392	0.00835081	0.0108537	0.0125622	0.0110397	0.027036	0.0264445	0.0241463	0.0173314	0.0283864	0.012043	0.0131526	0.0139253	0.0137965	0.0281278	0.0128133	0.0156641	0.0220479	0.0294777	0.016068	0.0255784	0.0929908	0.0449848	0.052687	0.0764603	0.157794
