 	t	á	á	y	a	b	í	s	í	á	s	έ	n	g	i	o	l	e	m	b	e	m	í	p	a	s	a	a	l	á	b	á	y	á	</S>
notre	0.00797429	0.0069932	0.0114704	0.02703	0.0129924	0.0094357	0.0106037	0.0295308	0.0281811	0.0276232	0.0728485	0.0855518	0.0734523	0.0919344	0.109277	0.0987584	0.0908682	0.030913	0.0268177	0.00898484	0.00526385	0.00288167	0.00381294	0.00659014	0.00426175	0.0061665	0.0116263	0.00937331	0.0144048	0.0132267	0.0163051	0.00848069	0.0107645	0.011941	0.0136601
père	0.182036	0.130845	0.0947833	0.166274	0.122964	0.0611097	0.0403313	0.0177469	0.0143081	0.0179634	0.0147663	0.00593401	0.00536395	0.00481451	0.00496359	0.0058618	0.0070281	0.00776734	0.0103913	0.00685355	0.0069541	0.00128511	0.00193096	0.00588989	0.00958925	0.00515416	0.0132805	0.00760056	0.00524732	0.00523448	0.0107395	0.00292286	0.000785653	0.000835931	0.000442983
a	0.0169802	0.0303295	0.0274899	0.0274656	0.0366552	0.031973	0.0598812	0.0869638	0.0784546	0.0703458	0.0582096	0.0611074	0.0555985	0.0511536	0.0297492	0.0240839	0.0136918	0.0135208	0.0159776	0.017702	0.0207985	0.0127192	0.00636217	0.00616844	0.00611455	0.0148348	0.00898362	0.0208279	0.0105366	0.0219232	0.022658	0.0166364	0.00889403	0.00787119	0.00733817
coupé	0.0303604	0.0127714	0.0098141	0.0143012	0.0146864	0.0141418	0.0125597	0.0178099	0.0191901	0.0248871	0.0237251	0.0278705	0.0329102	0.029768	0.0256184	0.0601718	0.0539895	0.0306371	0.0352843	0.0391767	0.0405867	0.00950977	0.0212795	0.0192606	0.0311826	0.0483208	0.0287807	0.0411049	0.0227672	0.019396	0.0281833	0.0231246	0.0424209	0.0398542	0.0545546
l'	0.0515332	0.0174217	0.0154979	0.0114726	0.0154491	0.0167186	0.0162035	0.0173981	0.0190236	0.0221798	0.0211903	0.0221735	0.0216413	0.0197811	0.0235266	0.0262178	0.0296669	0.0351106	0.0383439	0.0471655	0.0577141	0.0865147	0.0776569	0.0380806	0.0208554	0.0278131	0.0185186	0.0182285	0.0156948	0.0178651	0.016881	0.0189343	0.022588	0.0237317	0.0512078
arbre	0.0145431	0.00435397	0.00558516	0.00622186	0.00969761	0.00950661	0.0127594	0.0150597	0.0239015	0.0237081	0.0194266	0.0272067	0.0291011	0.0249249	0.0154509	0.0215058	0.0232181	0.0217102	0.0253194	0.0392622	0.0543801	0.0495499	0.057429	0.0445504	0.0398526	0.0388423	0.0503506	0.0379081	0.0324878	0.0361298	0.0367457	0.036685	0.0295575	0.0366671	0.0464013
olembe	0.0241317	0.0219496	0.0198275	0.0127592	0.0144851	0.0171377	0.0135943	0.00999998	0.0150775	0.0102763	0.0090726	0.0131402	0.0201365	0.0183617	0.00935473	0.0154231	0.0178744	0.0235063	0.0283353	0.0455533	0.0604088	0.0453694	0.0629345	0.0452094	0.0340752	0.020177	0.0272944	0.0309065	0.0185802	0.0131044	0.0347731	0.0387169	0.0504114	0.0671641	0.0908778
pour	0.00830723	0.00911033	0.0081608	0.0077117	0.00834398	0.00781274	0.0106413	0.0122933	0.0127933	0.0104272	0.0120707	0.0137399	0.0184426	0.0118852	0.00714795	0.0125031	0.011933	0.0171001	0.0165215	0.0348627	0.0440844	0.0381385	0.0648916	0.0598301	0.0480665	0.0218609	0.0375959	0.0376566	0.0338828	0.0202131	0.0470647	0.0519302	0.0626175	0.0679904	0.112368
scier	0.0504205	0.0411585	0.0339191	0.0263482	0.0263776	0.0235424	0.0166088	0.0098075	0.0116213	0.015315	0.00863633	0.0082819	0.00740213	0.00571329	0.00457995	0.00507261	0.00469451	0.00556368	0.00698707	0.00909653	0.0135604	0.0167863	0.035088	0.0364173	0.0346855	0.0334036	0.0554666	0.052399	0.0514149	0.0238401	0.0687609	0.0620296	0.0610048	0.0669466	0.0670494
des	0.0775841	0.0582408	0.0471432	0.0397438	0.0377488	0.050537	0.0273097	0.0200291	0.015814	0.0138106	0.00963467	0.0128025	0.0140524	0.0133265	0.0106851	0.016043	0.011613	0.0129938	0.0152568	0.0220333	0.0343941	0.0227755	0.0671297	0.0472204	0.0511189	0.0454611	0.0242955	0.0278639	0.0161129	0.0146437	0.0194228	0.0149013	0.018973	0.0233706	0.0459145
planches	0.0906656	0.0437425	0.0245735	0.026567	0.0238582	0.0412862	0.0237199	0.028154	0.0192581	0.0151158	0.0180791	0.015384	0.0183092	0.021126	0.0235976	0.031333	0.0161725	0.0201464	0.0342697	0.0301292	0.067648	0.0433005	0.061995	0.0211913	0.0263984	0.0226771	0.012417	0.018541	0.0108032	0.00892615	0.0204152	0.0202777	0.024546	0.0360729	0.0393032
</S>	0.0671426	0.0515703	0.0434403	0.0249654	0.0240524	0.0401091	0.0464007	0.0416756	0.0291132	0.0199065	0.0197245	0.0292048	0.029683	0.0135278	0.00755913	0.0118082	0.00309706	0.00142928	0.00166499	0.00185599	0.00458315	0.00826932	0.0118949	0.00573833	0.00847455	0.0180027	0.028744	0.0439612	0.0611927	0.0232705	0.049957	0.0507373	0.0511866	0.0642197	0.0618374
