 	e	k	w	έ	r	έ	έ	é	b	o	m	i	m	w	á	n	a	n	g	ω	l	ω	</S>
l'	0.00792878	0.0160425	0.0117136	0.00928336	0.00958487	0.0133969	0.0282635	0.0549289	0.0374946	0.0443547	0.0801125	0.0915195	0.0780417	0.0619646	0.0971033	0.0738607	0.0542043	0.0483527	0.0546346	0.0483701	0.0216813	0.0296432	0.0275198
insecte	0.0180922	0.0437321	0.0198688	0.0548458	0.0493672	0.0813154	0.0851779	0.0874376	0.0852802	0.279752	0.0744554	0.0282112	0.00681833	0.00910673	0.0207253	0.0213755	0.012148	0.00909336	0.00375296	0.00312852	0.00181406	0.00255474	0.00194704
ekwéréé	0.0541291	0.0393807	0.027435	0.0307608	0.0594773	0.103034	0.165552	0.111538	0.114758	0.0438553	0.0548941	0.0829768	0.035927	0.0106215	0.00831618	0.00605392	0.00811598	0.00962151	0.00445317	0.00657832	0.00647102	0.00548357	0.0105666
a	0.107333	0.115295	0.0929006	0.0557429	0.0697566	0.0720799	0.0556981	0.0495795	0.0480983	0.0184005	0.0163058	0.0139584	0.0157727	0.0075452	0.0188734	0.0186103	0.0300821	0.0365127	0.0320904	0.0332085	0.0264988	0.0256638	0.0399932
tué	0.0463329	0.0321402	0.0219155	0.0335316	0.0431051	0.0386871	0.0513484	0.0450295	0.0450991	0.0377487	0.0392142	0.0311005	0.0189034	0.0541207	0.0367291	0.0503916	0.0334133	0.045076	0.0331742	0.0488706	0.0512099	0.0718679	0.0909902
un	0.0588019	0.0332778	0.0170214	0.0460612	0.0390529	0.0306618	0.0641683	0.0678093	0.0698607	0.0542418	0.0624268	0.0443224	0.0309874	0.0127645	0.0205899	0.0290974	0.0259276	0.0248481	0.0236331	0.0270633	0.0359065	0.0601197	0.121356
petit	0.0524549	0.0544102	0.0527213	0.0499969	0.0337798	0.0305673	0.0254818	0.0254386	0.0206511	0.0215964	0.0424355	0.0255847	0.0575921	0.0158174	0.0168082	0.0175478	0.0363351	0.0421148	0.0346989	0.0524556	0.0612911	0.101541	0.128679
silure	0.0504593	0.0368813	0.0552022	0.0349164	0.0412084	0.0346876	0.0288896	0.026593	0.017694	0.0174593	0.0178844	0.011109	0.0288215	0.0244083	0.0327817	0.0363068	0.0632917	0.0621144	0.0517123	0.0703266	0.068362	0.0845786	0.104312
</S>	0.110055	0.0863562	0.0924981	0.0731774	0.0564502	0.0344974	0.023902	0.0217897	0.01394	0.00979837	0.00414715	0.00252241	0.00706627	0.0118116	0.0207963	0.0263123	0.0252352	0.0365238	0.0408236	0.0564647	0.0588912	0.0800922	0.106849
