 	n	ω	o	d	í	l	o	l	o	n	g	a	t	s	í	n	a	n	ω	ó	d	z	w	e	o	t	ώ	ώ	a	y	a	a	s	á	k	ú	b	h	á	y	ó	b	i	a	</S>
tu	0.0120835	0.0131352	0.0182374	0.0315733	0.0383351	0.0265911	0.0297451	0.0282415	0.0299016	0.027437	0.0293776	0.029836	0.0281955	0.0291284	0.0430166	0.0460271	0.0785187	0.0556371	0.0409041	0.0190853	0.00717195	0.0142858	0.00672885	0.00529824	0.00956781	0.00691368	0.0068066	0.00630592	0.00835487	0.00596214	0.0101138	0.0110574	0.0142436	0.0127013	0.0195336	0.0129122	0.0176579	0.0190957	0.0180511	0.0181683	0.023441	0.0243007	0.0261796	0.0226932	0.0174474
es	0.0849246	0.0829581	0.0426223	0.0176343	0.0157154	0.0243315	0.0155648	0.0240461	0.0218635	0.0406715	0.0356933	0.0561363	0.0612859	0.0581766	0.0580454	0.0474674	0.0400337	0.0187491	0.00979842	0.00538461	0.00649072	0.00881738	0.00640532	0.00908768	0.015007	0.0138379	0.0194584	0.0135758	0.00768459	0.00912987	0.00826286	0.00717083	0.0060688	0.00826102	0.00531124	0.00631846	0.0079366	0.00976754	0.0116056	0.0141489	0.0137506	0.00635774	0.00737313	0.00872643	0.00834309
vraiment	0.0468716	0.0542213	0.0543388	0.0443584	0.0633157	0.043594	0.0390531	0.0187827	0.0194919	0.0188587	0.0209967	0.0200197	0.0217672	0.00895618	0.0309952	0.0357148	0.0637932	0.0872667	0.0578698	0.0286885	0.0239273	0.0141678	0.0244922	0.00269782	0.00199182	0.00244874	0.00146792	0.0024562	0.00558506	0.00525133	0.0132117	0.00711216	0.00968001	0.00839497	0.0129533	0.0103384	0.0112259	0.0128666	0.0100739	0.0110162	0.0120926	0.0069535	0.00579419	0.00394722	0.000898956
mal	0.0258937	0.03151	0.0365022	0.0414328	0.0379052	0.0378795	0.0330235	0.0260846	0.0306855	0.0247615	0.0233767	0.0210758	0.0224622	0.0175927	0.0172888	0.0178109	0.0175756	0.029928	0.0479445	0.0711142	0.0690935	0.06063	0.0525478	0.0176758	0.0122754	0.0155428	0.0153914	0.0159576	0.00914103	0.0100897	0.00820994	0.0102571	0.00772234	0.00864114	0.00654713	0.00623111	0.00647237	0.00524843	0.00571697	0.00324802	0.00626782	0.00545243	0.00380357	0.00861727	0.0173713
intentionné	0.0153112	0.0168802	0.0245599	0.0449673	0.0494005	0.0498293	0.0589699	0.0599303	0.062366	0.0565778	0.0493278	0.045623	0.0352951	0.0217596	0.0360407	0.0279479	0.0293106	0.020367	0.0150386	0.0142139	0.0145263	0.0122363	0.013606	0.00802232	0.00464947	0.00779899	0.00746928	0.00982503	0.00969542	0.00926102	0.00959749	0.00918193	0.00699785	0.00828295	0.00706859	0.00648431	0.008438	0.00951179	0.0101542	0.00890105	0.0162819	0.0118524	0.0111411	0.0185631	0.0267364
car	0.0199548	0.0172272	0.0162072	0.0131606	0.013351	0.0139199	0.0149502	0.0167332	0.0182262	0.0200874	0.0212251	0.0253388	0.0299971	0.0254356	0.0394778	0.0457712	0.0549436	0.0315799	0.0300631	0.0360802	0.0381917	0.0332525	0.0386469	0.0321336	0.022398	0.0357513	0.0302771	0.0280737	0.0211948	0.021447	0.0204172	0.0166706	0.010711	0.013583	0.00994466	0.0105072	0.00967221	0.00771715	0.00764665	0.00724804	0.00870806	0.0116522	0.0178129	0.0181554	0.0244573
tu	0.0264833	0.0229153	0.0226928	0.0368227	0.0395056	0.04526	0.0592773	0.0588251	0.0544182	0.0433362	0.0372098	0.022265	0.0208792	0.0125496	0.0132948	0.0138403	0.0125516	0.0144735	0.0132635	0.0154225	0.0117687	0.0182758	0.0156715	0.0246687	0.0195765	0.023956	0.0217964	0.0260428	0.0202681	0.02003	0.015508	0.0154855	0.0124105	0.0146993	0.010566	0.0111628	0.0101191	0.0115477	0.0117729	0.0064909	0.0143561	0.0100771	0.0115758	0.0200933	0.0367945
es	0.0327823	0.0206303	0.0184906	0.0167898	0.0155659	0.0154652	0.0153326	0.0142943	0.0108148	0.00962708	0.00839099	0.00746538	0.00685211	0.00686291	0.00828711	0.0109046	0.0103257	0.0129092	0.0159529	0.0184081	0.0190937	0.0215924	0.0203876	0.0284847	0.0276533	0.0249512	0.0255079	0.0300378	0.0356879	0.0317371	0.0412623	0.0376088	0.0301878	0.0347312	0.0302628	0.0270555	0.030883	0.0238054	0.0244683	0.0147667	0.0287653	0.026255	0.0199514	0.0382454	0.0504654
parti	0.0637101	0.0400704	0.0297173	0.0152623	0.0132514	0.0116129	0.0154155	0.0116229	0.0116737	0.0103391	0.0092955	0.0141987	0.0105548	0.0136434	0.0131619	0.0219597	0.021585	0.0340683	0.0398205	0.035822	0.0294945	0.0262622	0.0314391	0.0329089	0.0266104	0.0310982	0.0269297	0.0277057	0.0218642	0.0238018	0.022936	0.0202016	0.0186053	0.0141396	0.0148304	0.0065738	0.0147081	0.0111215	0.0181586	0.0106566	0.0191114	0.0157899	0.0177539	0.0210025	0.0595104
cueillir	0.0201881	0.0155484	0.0154423	0.0226967	0.0206853	0.021265	0.0218267	0.0206413	0.0171666	0.0142752	0.00891309	0.00935518	0.0101436	0.00950076	0.0108186	0.0117661	0.00891653	0.00698219	0.0105858	0.00907881	0.01021	0.0157115	0.0186193	0.0311724	0.0338234	0.0308454	0.0292873	0.0421466	0.045922	0.055099	0.0503374	0.040034	0.0369472	0.0274204	0.033728	0.0193416	0.0254275	0.0151443	0.0155763	0.0124109	0.0137548	0.0183727	0.0155681	0.0189316	0.0583721
