 	a	s	ú	a	b	ó	m	á	a	f	ú	n	g	á	ó	n	d	z	á	l	é	</S>
le	0.101898	0.0375991	0.0203363	0.016692	0.0132048	0.0234031	0.0268849	0.0343735	0.0609032	0.103635	0.140888	0.120767	0.0930371	0.0588168	0.0304299	0.0354767	0.0170506	0.0104661	0.0104605	0.01051	0.0158162	0.0173512
bateau	0.0400719	0.104505	0.212839	0.269012	0.175007	0.104987	0.036045	0.0349303	0.0128395	0.00513503	0.00109656	0.000858634	0.000430276	0.000231755	0.000279655	0.00030462	0.000340163	0.00034793	0.00023929	0.000201963	0.000124983	0.000173179
est	0.055486	0.076844	0.0766453	0.0958727	0.0834713	0.0906269	0.108162	0.111553	0.100476	0.0407415	0.0188917	0.0187227	0.0155781	0.0121949	0.0124862	0.0130454	0.0157629	0.0127885	0.0143384	0.00776465	0.00770323	0.0108445
en	0.0332984	0.0903495	0.109804	0.177171	0.13929	0.0993531	0.0737887	0.0454922	0.0385724	0.015019	0.0124814	0.00821444	0.0105558	0.00644862	0.00793794	0.00799883	0.0127534	0.00880712	0.0199823	0.0262218	0.0248689	0.0315917
train	0.0882617	0.0938013	0.0683802	0.0626597	0.0640613	0.0770163	0.0802173	0.0414996	0.0269323	0.0223825	0.0192157	0.0212668	0.0183131	0.0273054	0.0232837	0.0206102	0.022932	0.0251416	0.0323755	0.0534048	0.0516947	0.0592444
de	0.113745	0.0663398	0.0469012	0.0404064	0.0390116	0.0344227	0.0455071	0.0626471	0.0858005	0.05516	0.0499856	0.0231377	0.00713852	0.00623306	0.00790629	0.00489982	0.00828685	0.0102139	0.0230168	0.0367202	0.053779	0.178741
vrombir	0.0359575	0.0239225	0.0226372	0.021974	0.0271012	0.0313589	0.0448612	0.0318074	0.0272713	0.0180082	0.0204253	0.0227659	0.0219642	0.0328186	0.0513631	0.0565169	0.0733784	0.0600072	0.0784302	0.0883054	0.0914676	0.117658
au	0.0433426	0.0403656	0.0447472	0.0414315	0.0569147	0.052516	0.0413271	0.0207104	0.0155555	0.010766	0.00980505	0.00797022	0.0106823	0.0127182	0.0154064	0.0258693	0.0257329	0.0400774	0.067582	0.0953995	0.10977	0.21131
fleuve	0.0202462	0.0214131	0.0207912	0.02357	0.027521	0.0154061	0.0121771	0.00944644	0.00426618	0.00240443	0.00269005	0.00330239	0.00401253	0.00550286	0.0112972	0.025586	0.0323705	0.0540304	0.085783	0.113437	0.247678	0.257068
</S>	0.0476059	0.0608619	0.0490751	0.0388304	0.035794	0.020088	0.0124095	0.00779827	0.00779014	0.00693972	0.00764687	0.00896427	0.00664293	0.00855996	0.0128231	0.024626	0.0298671	0.0456616	0.0883171	0.107923	0.131838	0.239938
