 	o	b	o	s	ó	b	í	b	v	ú	r	a	l	á	n	d	é	e	o	l	ώ	b	h	i	á	d	z	é	e	p	á	b	h	á	</S>
avant	0.00924833	0.0141935	0.0117616	0.0153972	0.0176056	0.01945	0.0305765	0.0298666	0.0383625	0.0313744	0.0452848	0.0752465	0.0594734	0.0762191	0.106444	0.0327824	0.00894304	0.00943651	0.00672565	0.00710823	0.00745581	0.00798896	0.0130464	0.0167524	0.0255263	0.0249925	0.0216699	0.0180878	0.0194232	0.0354213	0.037575	0.0302938	0.0364897	0.0350522	0.0247246
de	0.103561	0.0352563	0.0265879	0.0174913	0.0170191	0.0158084	0.0113669	0.0164669	0.0207967	0.037947	0.0465736	0.0591921	0.0666605	0.109839	0.0886635	0.0550804	0.0392834	0.0488127	0.0238059	0.0154344	0.0171656	0.00989243	0.0206516	0.0181313	0.00789972	0.0110671	0.00821145	0.00555792	0.00744807	0.00495359	0.00862479	0.00712119	0.00468495	0.0062906	0.00665218
rentrer	0.147746	0.0854352	0.0640472	0.0298958	0.0188469	0.0169021	0.0192541	0.0257534	0.0157194	0.0202471	0.0269048	0.0217326	0.0104609	0.0137059	0.0269306	0.0248911	0.0466771	0.05135	0.0380548	0.0204331	0.0148054	0.0110997	0.0182027	0.0202705	0.0147846	0.0205469	0.038401	0.0233818	0.0157179	0.0136786	0.0151134	0.0183485	0.015282	0.0183731	0.0170052
à	0.0180544	0.0107961	0.0123047	0.0118137	0.0139843	0.00534086	0.00546554	0.00523243	0.00758556	0.0133876	0.0155633	0.0364274	0.0444859	0.0537547	0.0649458	0.0461045	0.0842587	0.0686501	0.0555039	0.0417951	0.0546007	0.0363362	0.055607	0.0442462	0.0468407	0.0285811	0.0223394	0.0164181	0.00773124	0.00506158	0.00645677	0.00922302	0.0152103	0.0178092	0.0180841
la	0.0131991	0.024801	0.0327228	0.055965	0.0533997	0.0539484	0.0401267	0.0339002	0.0193747	0.0163956	0.0186713	0.0188129	0.0128326	0.00965242	0.0172622	0.0302524	0.0239577	0.0307625	0.0276394	0.0188187	0.023094	0.0189004	0.0245942	0.0252135	0.0373584	0.0275944	0.033562	0.0229101	0.0198464	0.0262162	0.0278302	0.0232029	0.0205175	0.0429814	0.0736831
maison	0.0159247	0.0269623	0.0248122	0.0240329	0.0239829	0.0169149	0.0134128	0.0114451	0.0110366	0.0121492	0.013901	0.0130629	0.0123581	0.00883966	0.0120587	0.0156232	0.0175627	0.0277365	0.0351354	0.036169	0.0394843	0.0445798	0.0598696	0.0581339	0.0549838	0.0421	0.0356061	0.0321388	0.023847	0.0197397	0.0281152	0.0230919	0.0264648	0.0483424	0.0903821
le	0.0362562	0.0511845	0.0472137	0.03422	0.0306597	0.02489	0.01467	0.0124054	0.012088	0.0149826	0.0158095	0.0157088	0.0154984	0.0145505	0.0187765	0.0253542	0.0280514	0.0401794	0.0390454	0.0366906	0.0361836	0.0448138	0.0496073	0.0348468	0.0297728	0.0274129	0.0256585	0.0195623	0.0193469	0.0149158	0.0185186	0.0193485	0.0256396	0.0391932	0.0669443
pêcheur	0.0406019	0.0594913	0.0508012	0.0243828	0.0185674	0.0129088	0.0125642	0.0122937	0.0142689	0.0196285	0.0221269	0.025265	0.0219101	0.0280825	0.0475395	0.0461325	0.0608114	0.0471524	0.04156	0.0441778	0.040384	0.0431612	0.0411926	0.0201179	0.00566863	0.00908168	0.0123877	0.00518485	0.00777699	0.00533527	0.00671048	0.00868676	0.015604	0.0467597	0.0816815
a	0.111475	0.0656295	0.0556256	0.0341469	0.0278924	0.0159497	0.0102188	0.0140926	0.0145852	0.0213681	0.0228041	0.0201887	0.0155891	0.0199191	0.033451	0.0393815	0.0441298	0.0490751	0.054417	0.0427872	0.0396481	0.0308122	0.039937	0.0198749	0.00606683	0.0102137	0.0112704	0.00331619	0.008042	0.00519976	0.00493789	0.00985627	0.0146642	0.028938	0.0544956
mangé	0.126654	0.0477328	0.0367097	0.0210079	0.0126379	0.00555261	0.00443406	0.00748249	0.00917595	0.014269	0.0161565	0.0125504	0.00796993	0.00676671	0.00845917	0.0111422	0.0198516	0.0243488	0.0298367	0.0394115	0.0343129	0.0317227	0.028963	0.0249584	0.0193506	0.0229936	0.0222749	0.0237168	0.0307896	0.0253946	0.0323747	0.0406738	0.0503521	0.0702427	0.07973
