 	a66	a87	a23	a21	a47	a21	a5	a21	a47	a21	a5	a47	a62	a47	a56	a34	a21	a85	a6	a36	a0	a36	a26	a82	a10	a87	a23	a87	</S>
avec	0.0400132	0.0549906	0.0393309	0.0383534	0.0417446	0.0838192	0.063729	0.040354	0.0328713	0.0184026	0.0196327	0.024069	0.0307419	0.0474212	0.0535981	0.0526483	0.0407114	0.0169974	0.0193834	0.0168282	0.0223954	0.0216824	0.0283259	0.0205615	0.0185686	0.0167014	0.0263263	0.0212144	0.0485837
cette	0.0349426	0.0437988	0.0355217	0.0510588	0.0508528	0.0889006	0.11892	0.111686	0.0578882	0.0830934	0.0310563	0.0498948	0.0423373	0.0179506	0.0146237	0.0137725	0.0130284	0.00944988	0.0165453	0.0139679	0.0121414	0.0137646	0.0101121	0.0139912	0.0127625	0.0112474	0.0130243	0.0110643	0.0026022
manière	0.0274962	0.0194533	0.0226804	0.0377307	0.0364459	0.0838004	0.10328	0.136957	0.064528	0.0870434	0.0383888	0.0321899	0.0247452	0.0188323	0.0208981	0.016491	0.0135459	0.0220739	0.0280291	0.0249311	0.0176399	0.0199385	0.0216982	0.017177	0.0148967	0.0133019	0.0192065	0.0105224	0.00607894
de	0.0766873	0.0270863	0.0180141	0.00792194	0.0109783	0.00556583	0.00499608	0.00924846	0.00824808	0.0380691	0.0288986	0.0563178	0.0904849	0.0460579	0.0387201	0.0419937	0.0954863	0.0589181	0.0396246	0.0271548	0.0216277	0.0287988	0.0300694	0.0303628	0.0262166	0.0284197	0.0543214	0.0334212	0.01629
construire	0.0708016	0.0289518	0.0111544	0.00516652	0.00751824	0.00750927	0.00686364	0.0194191	0.0146508	0.057254	0.0240097	0.0501484	0.0866831	0.0950214	0.115599	0.107868	0.0849274	0.0493947	0.0386084	0.0158777	0.0105851	0.0118417	0.0110223	0.0105014	0.0119373	0.00913651	0.0144682	0.0174056	0.00567507
les	0.0842739	0.0385037	0.0204266	0.00609294	0.012798	0.00839039	0.00648685	0.0086655	0.00999637	0.0195392	0.0123112	0.0735489	0.113676	0.0857041	0.0788213	0.0774629	0.076343	0.0458484	0.0379472	0.0211263	0.0167076	0.0200726	0.0213421	0.0214887	0.0204514	0.0197	0.0167488	0.0150332	0.0104931
murs	0.0901311	0.0374116	0.0112292	0.00501418	0.00755943	0.00251368	0.00114929	0.00132219	0.00193445	0.00269798	0.0019567	0.0132448	0.0231224	0.0313823	0.0396801	0.0557598	0.0773471	0.0363026	0.0611259	0.0515112	0.0384043	0.0403164	0.0766696	0.0486267	0.0457723	0.0643466	0.063416	0.0443825	0.0256696
en	0.0294453	0.00990251	0.00291163	0.00458735	0.00415878	0.00219456	0.00214995	0.00401396	0.00485667	0.00571277	0.00368449	0.005394	0.00491885	0.00936341	0.0184498	0.0237073	0.0557844	0.0390204	0.0443042	0.0713819	0.0513286	0.0615208	0.0822144	0.06902	0.0642185	0.0794851	0.101263	0.112126	0.0328818
bambou	0.0197261	0.00961572	0.00284291	0.00336627	0.00381119	0.0020677	0.00305596	0.00628645	0.00460382	0.0137483	0.0108931	0.0239399	0.0251414	0.024855	0.0438604	0.0358512	0.0598499	0.0645528	0.0561015	0.0544863	0.0393273	0.0503615	0.0567442	0.0429006	0.0535904	0.0670569	0.0682231	0.0867753	0.0663648
la	0.0504047	0.0225532	0.00736602	0.00465213	0.0053105	0.00365328	0.00235127	0.00546924	0.00534154	0.00581792	0.00307888	0.010566	0.0188265	0.0426847	0.08132	0.102511	0.0648069	0.0769721	0.0821238	0.0501507	0.033937	0.0499951	0.0550656	0.0430479	0.0398835	0.0310185	0.0299062	0.0511445	0.0200418
case	0.0328694	0.0124201	0.00494593	0.00291121	0.00332259	0.00372567	0.00229683	0.00575566	0.00354267	0.00728823	0.00717068	0.0346855	0.0555343	0.0613915	0.124544	0.103631	0.069981	0.142931	0.0984103	0.0614823	0.0418941	0.03297	0.0152796	0.0171673	0.01391	0.0126155	0.0103209	0.0132276	0.0037749
ne	0.0671487	0.0306922	0.0156163	0.00954372	0.0111011	0.00864561	0.00261241	0.00448011	0.00205706	0.00243517	0.00124847	0.00500442	0.0100256	0.0293618	0.0628753	0.0648847	0.0731606	0.0668996	0.0859501	0.069813	0.0603845	0.0650243	0.0536471	0.0470793	0.0384757	0.0353644	0.0297727	0.0334051	0.0132908
tiendra	0.0617442	0.0405306	0.0261884	0.0182581	0.0190135	0.0272507	0.022092	0.0258386	0.0176515	0.0135222	0.00728032	0.0182734	0.0167695	0.0247791	0.0380062	0.0545599	0.0447175	0.0407151	0.0648368	0.0507535	0.0391439	0.0417674	0.0584327	0.0384249	0.0337708	0.0427866	0.0360151	0.0425116	0.0343659
pas	0.106465	0.0689663	0.0449828	0.0357778	0.028237	0.0208317	0.00923502	0.00685914	0.0104034	0.0081966	0.00681898	0.0117122	0.0150928	0.0159467	0.0268734	0.0378211	0.0381408	0.0410046	0.0540722	0.045168	0.0604063	0.0580244	0.0486155	0.0421008	0.027615	0.0318246	0.0359431	0.032096	0.0307688
longtemps	0.128884	0.0956822	0.0614233	0.0486346	0.0455059	0.0334373	0.027	0.0222306	0.0173777	0.00967036	0.00439176	0.0115072	0.00993596	0.0120633	0.0142702	0.0332877	0.026884	0.0147245	0.0319489	0.0318603	0.0235975	0.0322911	0.0430718	0.0343469	0.0357165	0.0408259	0.0337318	0.0469959	0.0287031
</S>	0.0554585	0.0269136	0.0123194	0.0099836	0.00977625	0.00556138	0.00256245	0.0052413	0.00296006	0.00263889	0.00144838	0.00352455	0.00857357	0.00978811	0.0173378	0.0268147	0.0308136	0.0259612	0.0377513	0.0484016	0.0651331	0.0716173	0.0810253	0.0722698	0.069577	0.0695143	0.0690461	0.0775137	0.0804732
