 	a66	a87	a23	a87	a23	a87	a23	a87	a23	a87	a79	a4	a58	a53	a90	a93	a56	a62	a88	a62	a96	a21	a12	a96	a88	a71	a9	a3	a87	a23	a40	a6	a36	a75	a85	a47	a37	a44	a90	a92	a44	a75	a5	a23	a27	a40	a75	a85	a47	a37	a98	a6	a0	a11	a62	a88	a54	a47	a7	a36	a26	a57	a87	a23	a97	</S>
sur	0.00915836	0.0104766	0.0102036	0.0140044	0.0134436	0.0135096	0.0168195	0.0212059	0.0276487	0.0156815	0.0141267	0.00822957	0.00748931	0.00648918	0.0205967	0.0239468	0.0394833	0.0289114	0.0500476	0.0510641	0.0549833	0.0506233	0.0294825	0.0303568	0.0458294	0.0328674	0.0352782	0.0279897	0.020179	0.0344169	0.0225071	0.0175444	0.00779575	0.0066408	0.00626353	0.00824025	0.00937341	0.00932392	0.00592	0.00434095	0.00490404	0.00375412	0.0046623	0.00268065	0.004209	0.00286977	0.00246533	0.00334647	0.00171472	0.00252544	0.00169376	0.00222535	0.00211397	0.00139793	0.00150895	0.00322008	0.00371412	0.00454518	0.00468856	0.00533409	0.00744719	0.00719423	0.00869898	0.0123866	0.0151318	0.0230743
la	0.00565829	0.0046423	0.00392626	0.00495581	0.00467467	0.00558454	0.00643893	0.00730775	0.00576408	0.00434405	0.00407997	0.00238318	0.00262626	0.002208	0.00435623	0.00444824	0.00891592	0.00505331	0.0143068	0.0113177	0.0124462	0.0156207	0.0139176	0.0198593	0.0141096	0.0162241	0.0227763	0.0199814	0.0354721	0.0328161	0.0211149	0.0344281	0.0251467	0.0302117	0.027431	0.0199448	0.0259281	0.0306223	0.0390021	0.0367045	0.028511	0.0238759	0.0195335	0.0248016	0.015858	0.0118375	0.00863924	0.00692841	0.00525104	0.00468628	0.0124721	0.00565175	0.00450439	0.00845764	0.0110865	0.0114358	0.0139543	0.0108777	0.0230105	0.019959	0.0146726	0.026053	0.0216786	0.0209858	0.0236723	0.0148558
route	0.00865772	0.00458905	0.00294651	0.00312208	0.00370046	0.0048075	0.00315738	0.00322115	0.00288113	0.00640106	0.00525624	0.00659439	0.00722929	0.00796068	0.0134257	0.0258937	0.0154095	0.0354866	0.0876653	0.0766744	0.0315105	0.0368835	0.0261134	0.0130467	0.00701914	0.0104143	0.00789917	0.0112833	0.0181128	0.0176102	0.0246927	0.0226024	0.0151705	0.0127367	0.011766	0.0132124	0.00914846	0.00927618	0.00889601	0.00572621	0.0206787	0.0171984	0.0170985	0.00776457	0.00911989	0.0286441	0.0161893	0.0116638	0.00943094	0.00674962	0.00512423	0.0100273	0.0103862	0.00663235	0.00656414	0.00560356	0.00604624	0.00628898	0.0142244	0.00854432	0.00941772	0.0171488	0.0180634	0.0194083	0.0395071	0.0342747
qui	0.0186267	0.0174502	0.0129251	0.0114879	0.0197854	0.0188633	0.0159576	0.0168042	0.0173757	0.0206011	0.0266816	0.0138811	0.014103	0.0140989	0.00911455	0.0141394	0.008847	0.0229915	0.0196601	0.0178113	0.0174597	0.0141735	0.0149645	0.0138577	0.00920408	0.00660656	0.00451228	0.00512284	0.00534468	0.00303724	0.00401502	0.00480989	0.00407829	0.00514582	0.00531247	0.00608848	0.0064407	0.00470011	0.00689342	0.0133967	0.00669494	0.00941322	0.0122293	0.0111123	0.0103173	0.0310486	0.0253199	0.0236428	0.0137238	0.0099813	0.0165859	0.0171601	0.0242458	0.0246919	0.0197229	0.0158498	0.0112433	0.0119221	0.0133318	0.0145637	0.0159429	0.0263251	0.0357725	0.0328762	0.0402515	0.0396614
mène	0.0264274	0.025866	0.0258083	0.013849	0.0136853	0.01127	0.00959447	0.010929	0.0113102	0.0075202	0.00315815	0.00407373	0.00290226	0.00206561	0.00187413	0.00500963	0.00500816	0.00351588	0.00492343	0.00913465	0.00833604	0.00938664	0.013888	0.0125858	0.0103951	0.0107727	0.0118302	0.0103706	0.00569293	0.00335824	0.00658638	0.00571927	0.00827451	0.0156845	0.0289937	0.0165618	0.0246183	0.01797	0.0379442	0.0416291	0.0295074	0.0270474	0.0435817	0.0407382	0.0510591	0.0295729	0.0150435	0.00928534	0.00721674	0.00391971	0.00801639	0.00672943	0.0083078	0.00586084	0.00779399	0.0124908	0.0136562	0.015191	0.00943614	0.0144563	0.0181075	0.0230052	0.0290619	0.0236786	0.0241772	0.0245353
à	0.0163374	0.0117405	0.0065133	0.00606447	0.00554799	0.0050442	0.00468494	0.00543216	0.00493907	0.00465505	0.00409777	0.00226119	0.0024412	0.00167592	0.00226418	0.00398743	0.00442755	0.00434691	0.00700339	0.00852725	0.0150151	0.0182436	0.029171	0.0304808	0.0318527	0.0215014	0.0209076	0.0207855	0.0109728	0.00790975	0.0154698	0.0167551	0.0183354	0.0217	0.0299949	0.022108	0.0510192	0.0206336	0.0262561	0.0341903	0.0274458	0.0405154	0.0530501	0.029201	0.040798	0.0345704	0.0206173	0.013427	0.00704563	0.00447623	0.00855478	0.00859265	0.0117195	0.0105066	0.00900514	0.00860045	0.00725539	0.00477665	0.00527923	0.00701565	0.0048807	0.00870567	0.0146375	0.0159951	0.00806086	0.0199727
ekyembe	0.00898324	0.00320595	0.001162	0.00156499	0.000961297	0.000753696	0.000862917	0.00109948	0.000674798	0.00048421	0.000511211	0.000455144	0.000674186	0.000494992	0.00112142	0.000696756	0.00111763	0.000396704	0.00110814	0.00134107	0.00350407	0.00515084	0.0118188	0.0207886	0.00951789	0.0134681	0.0154607	0.016341	0.0304683	0.0157664	0.0174814	0.0274766	0.0295991	0.0426494	0.0377451	0.0488256	0.087696	0.0422258	0.053606	0.0762461	0.0310279	0.033514	0.0313165	0.0263152	0.0371517	0.0185472	0.00611862	0.00336596	0.00163918	0.00119805	0.00193717	0.00146975	0.00320992	0.00305201	0.00302517	0.00565085	0.00655085	0.0098677	0.0142994	0.0174476	0.00908895	0.0258484	0.0142446	0.0217995	0.02145	0.0173583
il	0.0079949	0.0032351	0.00292897	0.00251711	0.00206398	0.00169791	0.00199503	0.00242748	0.00194242	0.00209907	0.00199296	0.00280743	0.00267109	0.0022682	0.00389	0.00325427	0.00312745	0.00344966	0.00440091	0.00502447	0.0105516	0.014293	0.0194014	0.0295364	0.0166756	0.0234069	0.0269645	0.0225726	0.0227132	0.0151539	0.0141575	0.0249685	0.0254671	0.028725	0.0284575	0.0330295	0.067169	0.0451963	0.0452415	0.0538955	0.0221616	0.0191329	0.0161754	0.0114364	0.0215925	0.0106708	0.00354811	0.00405472	0.0023699	0.00189124	0.0017583	0.00139175	0.00198375	0.003363	0.00392311	0.0104492	0.0174632	0.0196128	0.0167287	0.0350616	0.0165655	0.0344929	0.0333101	0.0241273	0.0254975	0.0118727
y	0.0139824	0.0111315	0.00870826	0.00669454	0.00708391	0.00563835	0.00995618	0.0120336	0.0106084	0.00339753	0.00125348	0.00118171	0.00125525	0.0013116	0.00184493	0.00202632	0.00270443	0.0026444	0.00562804	0.00543494	0.0104003	0.0143728	0.0159087	0.0183976	0.00991485	0.0135817	0.00892434	0.0109657	0.00670896	0.00279882	0.0051696	0.00855685	0.00920468	0.00881213	0.0184963	0.0155912	0.0261567	0.0117997	0.0219907	0.0319205	0.0151254	0.0174479	0.0209771	0.0245015	0.0282484	0.0180314	0.0210406	0.0117986	0.00958866	0.00761208	0.013263	0.00716609	0.0115489	0.0124692	0.0151044	0.0182639	0.026257	0.0343926	0.0281751	0.0424406	0.0364576	0.0401548	0.041898	0.0379738	0.0347187	0.0411526
a	0.013946	0.0146407	0.0136099	0.00900492	0.0101652	0.00821863	0.0112874	0.0139286	0.0186639	0.00907097	0.00385685	0.00346165	0.0036405	0.0045764	0.00272512	0.00513575	0.00585052	0.0104	0.0105654	0.011925	0.0195168	0.0275281	0.0237353	0.0248237	0.0189221	0.0214417	0.0176436	0.021033	0.00951178	0.00579807	0.0108383	0.0122121	0.0122588	0.00955317	0.0206511	0.0183347	0.0225588	0.0144242	0.023059	0.0208497	0.0173002	0.0198151	0.0244779	0.0226705	0.0207204	0.00955031	0.0258969	0.0245338	0.0181011	0.0119688	0.0214916	0.0161393	0.0135435	0.0109856	0.0163801	0.0219129	0.0250626	0.0205273	0.0184431	0.0182248	0.0110535	0.0119699	0.0123465	0.0100611	0.0186088	0.0188472
avait	0.0156669	0.0107287	0.0102874	0.00770979	0.00779012	0.00463891	0.00748967	0.00870458	0.0147111	0.00941228	0.00550291	0.00849171	0.00861131	0.00927356	0.00571935	0.00843335	0.0101137	0.0197807	0.0155272	0.0171588	0.0248507	0.0338238	0.0291769	0.0300929	0.0258398	0.0288563	0.0249034	0.0287377	0.0136263	0.00986692	0.0167853	0.0162771	0.0149686	0.012584	0.0218908	0.0245065	0.0265157	0.0180323	0.0255922	0.0177097	0.0181002	0.018698	0.0291396	0.0189409	0.0179555	0.00582875	0.0207112	0.0223083	0.0161361	0.0132833	0.0148797	0.0104205	0.00790878	0.00763639	0.0118794	0.012964	0.0137823	0.0111466	0.0173381	0.0132372	0.00532637	0.00685061	0.00655827	0.00653763	0.0101562	0.0118871
cent	0.0116904	0.00574691	0.007148	0.00679633	0.00526828	0.00399601	0.00326312	0.00431786	0.00648033	0.0041577	0.00396977	0.0068287	0.00649504	0.00642171	0.00467805	0.00847511	0.0156396	0.0197406	0.0190147	0.0232831	0.0220925	0.0311009	0.0339167	0.0335231	0.0338616	0.0382866	0.0356009	0.0357645	0.0255888	0.0244154	0.0306598	0.0278619	0.0241092	0.0236953	0.0255843	0.029006	0.031586	0.0270662	0.0222663	0.0193984	0.0136491	0.0115161	0.0173112	0.0104849	0.0139349	0.00425978	0.00920432	0.0104815	0.00840717	0.00666816	0.00699174	0.00540756	0.00478843	0.00326628	0.00583155	0.00798448	0.00928522	0.0106074	0.0137425	0.0111852	0.00579171	0.00758122	0.00712943	0.00724554	0.0132774	0.0251714
vaches	0.0163689	0.0074108	0.0112086	0.00714328	0.00654472	0.00431753	0.00321017	0.00419447	0.00640573	0.0053078	0.00788264	0.0117694	0.0105331	0.00888512	0.00751873	0.00898862	0.0116736	0.0165938	0.0195301	0.021291	0.0269478	0.0309901	0.0277485	0.0292514	0.0309416	0.0325019	0.026465	0.0277016	0.0188596	0.018645	0.0228921	0.0188821	0.0142366	0.0147782	0.0150227	0.0207036	0.0201682	0.0162809	0.0152418	0.0144839	0.00880423	0.0080845	0.0132515	0.00798567	0.0138833	0.00537388	0.0073424	0.00908006	0.00866371	0.00773172	0.00720427	0.00578307	0.00514635	0.005321	0.00818619	0.015486	0.0172647	0.0156557	0.020804	0.0197733	0.0118606	0.014942	0.0178491	0.0200864	0.0266867	0.0582288
dans	0.0089832	0.0065419	0.00759689	0.00615648	0.00626403	0.00515599	0.00354075	0.00453468	0.00614001	0.00540226	0.00517388	0.00615503	0.00478797	0.0034488	0.00333808	0.00321003	0.00414653	0.00850281	0.0115288	0.0151606	0.0161108	0.0181781	0.0230842	0.0261401	0.0255406	0.0230158	0.0198368	0.0255057	0.0216819	0.012645	0.0184758	0.0199765	0.0186432	0.0193175	0.0161699	0.0116786	0.0181394	0.0148227	0.00980038	0.0216207	0.0126311	0.0124674	0.0102501	0.011224	0.0113528	0.00898461	0.00985815	0.00906613	0.00886189	0.00851039	0.00877408	0.00797438	0.00791244	0.00358972	0.00765802	0.0130703	0.025284	0.0303069	0.0375466	0.0388458	0.0248328	0.0338828	0.032646	0.0299779	0.0373864	0.0509529
un	0.038698	0.0140033	0.0124626	0.00715053	0.0066811	0.00400858	0.0023801	0.00271371	0.0045287	0.00549744	0.00793244	0.0116441	0.00887208	0.00786524	0.00908622	0.0128545	0.0130264	0.0391227	0.0368811	0.0364309	0.0424855	0.0382886	0.035063	0.0383342	0.0290894	0.0271032	0.0149271	0.0196825	0.017159	0.0110428	0.0131352	0.0145045	0.0103663	0.00982534	0.00829025	0.00853614	0.00905796	0.00876244	0.00539312	0.00826938	0.00880867	0.00693969	0.00949524	0.00468113	0.00529949	0.00259902	0.00983424	0.0103598	0.0077645	0.00776937	0.00714799	0.00846041	0.00897166	0.00678258	0.0144603	0.0171994	0.0225707	0.0182917	0.0422879	0.0251603	0.0131215	0.0187496	0.0193439	0.0144892	0.0212745	0.0169817
enclos	0.0354767	0.00876497	0.00569177	0.00377935	0.0044419	0.00338266	0.00249913	0.00317441	0.00501378	0.00590641	0.00629948	0.00614512	0.00423022	0.00469401	0.00780885	0.0157348	0.0153498	0.0451282	0.0434006	0.0323303	0.0421429	0.0467817	0.0480356	0.0412781	0.0350344	0.0271	0.0150181	0.0235236	0.0193559	0.0124945	0.017079	0.0219793	0.0139138	0.0103961	0.0134257	0.015005	0.0143031	0.0130571	0.00725564	0.00755012	0.00860828	0.0057845	0.012987	0.00415726	0.00459089	0.00271022	0.0140229	0.0163326	0.0102509	0.0119279	0.0102767	0.0162081	0.00897856	0.0147555	0.0213259	0.0162082	0.0126393	0.00609655	0.0165508	0.00939409	0.00516211	0.00863258	0.0112534	0.012612	0.0103156	0.0242359
</S>	0.0248512	0.0269534	0.0243736	0.016307	0.0169249	0.0101243	0.0128176	0.0135337	0.0210546	0.0148034	0.0124915	0.00653453	0.00877922	0.0105329	0.0124785	0.0219364	0.031945	0.031347	0.0396774	0.0469288	0.0396102	0.0340686	0.0495572	0.0478075	0.038742	0.0436434	0.0287578	0.0249332	0.014689	0.0117126	0.0171136	0.0208037	0.0161908	0.00847154	0.010697	0.00874668	0.0136745	0.0125239	0.00442264	0.00320602	0.00441949	0.00322747	0.00611128	0.00236518	0.0020381	0.00133436	0.00494206	0.00390474	0.00217814	0.00201431	0.00304439	0.00470118	0.00396269	0.00343546	0.00382772	0.00278043	0.00376857	0.00640324	0.0128128	0.00834494	0.00710936	0.00810371	0.00881124	0.007542	0.00772241	0.0213279
