 	a87	a23	a30	a93	a70	a62	a61	a34	a47	a70	a61	a75	a66	a0	a96	a24	a47	a83	a38	a90	a76	a98	a85	a43	a75	a73	a56	a96	a93	a56	a96	a75	a85	a47	a36	a57	a87	a10	a87	a23	a40	a5	a62	a31	a47	a93	a34	a56	a93	a96	a62	a83	a71	a0	a75	a93	a13	a53	a93	a70	a61	a62	a34	a75	a92	a70	a75	a56	a25	a90	a4	a20	a26	a82	a57	a87	a23	a87	</S>
la	0.0042127	0.0123692	0.0204696	0.0248786	0.0157638	0.0101751	0.0104296	0.00601826	0.0133248	0.0311866	0.0253405	0.0339547	0.0261561	0.0266024	0.0231287	0.0173221	0.0132445	0.0251506	0.0125757	0.0187285	0.0250203	0.0158413	0.0214039	0.0155741	0.0166785	0.0124878	0.0170659	0.0239393	0.0198757	0.024495	0.0195285	0.0094252	0.0128465	0.00936371	0.00951749	0.012172	0.0121313	0.00839386	0.00797747	0.0108959	0.00735467	0.00671102	0.00912831	0.0120173	0.00920125	0.00961254	0.023581	0.0188883	0.0179258	0.01851	0.025235	0.0135532	0.0114085	0.0072891	0.0058082	0.00732508	0.00439338	0.00379749	0.00536676	0.00340125	0.00336211	0.00507416	0.00530561	0.00366237	0.0102451	0.0043674	0.0023857	0.00439316	0.00460343	0.0039905	0.00764419	0.00534653	0.00367424	0.00508728	0.00857535	0.00591756	0.00721453	0.005003	0.00797375
femme	0.0074863	0.0131042	0.0485316	0.014432	0.0130166	0.0305361	0.0619417	0.0639172	0.0399317	0.0310382	0.026863	0.0249498	0.0227354	0.0238455	0.0163322	0.0185569	0.0197641	0.0271269	0.0115975	0.0145061	0.0199356	0.0183982	0.0219465	0.0182579	0.0176793	0.0094865	0.00991627	0.0117411	0.0133341	0.0200829	0.0127985	0.0129586	0.0136087	0.00770429	0.0101243	0.00210795	0.00288037	0.00216739	0.00167664	0.00318077	0.00113115	0.00199642	0.00090677	0.00280576	0.011975	0.0138776	0.00234498	0.00530763	0.00721566	0.0053973	0.00474713	0.00716397	0.00443503	0.00668173	0.00591881	0.00495028	0.0067908	0.011646	0.00656647	0.0105586	0.00954297	0.00750733	0.00982232	0.0096016	0.0140423	0.00580811	0.00460975	0.00473332	0.00657896	0.00413068	0.00576244	0.00263716	0.00249302	0.00327223	0.00365795	0.0055959	0.00487556	0.00494139	0.0077711
qui	0.0153872	0.0129949	0.00481018	0.0104222	0.0232184	0.041438	0.0349995	0.0351469	0.0326047	0.0311925	0.0346937	0.0276379	0.0253055	0.0366092	0.0331474	0.0321181	0.028688	0.0204778	0.0182798	0.0246664	0.0185962	0.0186019	0.0163594	0.0184516	0.017213	0.0157383	0.0166344	0.0193396	0.0158587	0.0230292	0.0144436	0.00583729	0.00885215	0.00596057	0.0193411	0.00145374	0.00211928	0.00199449	0.00194265	0.00452789	0.00284069	0.00380288	0.00178387	0.00219517	0.00406841	0.00986787	0.0043215	0.0124391	0.00923723	0.00774915	0.00479294	0.0122737	0.00740714	0.00513977	0.00355761	0.00616256	0.00535928	0.00486682	0.00362175	0.00257394	0.00343621	0.00556061	0.00650568	0.00510137	0.00352898	0.00593713	0.0027639	0.00243787	0.00589119	0.00328363	0.0025405	0.00533279	0.00435711	0.00592975	0.00660344	0.00975334	0.00989742	0.0116298	0.0153146
est	0.0262774	0.0115508	0.0033854	0.00778955	0.00789363	0.0122004	0.0122123	0.0147698	0.0228668	0.0286326	0.0212123	0.00924188	0.0110273	0.0153737	0.0124903	0.013825	0.0220638	0.0172802	0.0181897	0.0260409	0.0217019	0.0104816	0.0137622	0.0214421	0.0180645	0.00934897	0.00957808	0.00975041	0.0170855	0.0186873	0.0149712	0.0167174	0.0261347	0.0189397	0.0152125	0.0116944	0.0153983	0.0147665	0.0129594	0.0130502	0.0161932	0.019199	0.0146174	0.0129314	0.00635131	0.00605453	0.00958955	0.0130531	0.00569918	0.0116059	0.0095297	0.00883077	0.00842586	0.00609558	0.00903085	0.00500164	0.00567362	0.0065294	0.00919796	0.00527885	0.00875201	0.0108077	0.00659708	0.00560043	0.00426789	0.0070815	0.0092874	0.00445522	0.00609301	0.00545788	0.00706693	0.00636818	0.00755526	0.00843862	0.0146931	0.0118289	0.0185069	0.0201781	0.0240044
partie	0.0157583	0.0107481	0.00920831	0.00921916	0.0076161	0.0184078	0.0098542	0.00988196	0.0144039	0.00978936	0.00359513	0.00413805	0.00358081	0.00383292	0.00382685	0.00646049	0.00638139	0.00787498	0.00960543	0.0193242	0.0180908	0.0265517	0.0320484	0.0326853	0.0230504	0.0285445	0.0235035	0.0230699	0.0260256	0.0216831	0.0219448	0.0256404	0.0098642	0.0268573	0.0213241	0.0425542	0.0220522	0.0270051	0.0221041	0.0175566	0.0195029	0.0194144	0.0191916	0.0178358	0.0106267	0.00884865	0.0085535	0.0098757	0.00835002	0.00633172	0.0054202	0.00670815	0.00508382	0.00465537	0.00688118	0.00769995	0.0112336	0.0127033	0.0149646	0.0122923	0.0111919	0.00988299	0.00773676	0.00543326	0.00371836	0.00479935	0.00843457	0.00413133	0.0032957	0.00347543	0.00248957	0.00304604	0.00440675	0.00580415	0.0050222	0.00520429	0.00468485	0.0098883	0.00551719
récolter	0.00665371	0.00318759	0.00127968	0.00359299	0.00485508	0.00350936	0.00279003	0.00202391	0.00474866	0.00268078	0.00269718	0.00519235	0.00578324	0.00616287	0.00848857	0.012923	0.0137823	0.0128423	0.0180543	0.0214881	0.0220385	0.0210474	0.0200892	0.0289425	0.0294909	0.0227605	0.0330699	0.0307271	0.0360986	0.0300184	0.0378553	0.0361846	0.0269824	0.0440567	0.0330592	0.0244869	0.0174656	0.0285591	0.0186843	0.024116	0.0373193	0.0283597	0.0175156	0.0226281	0.0159259	0.0210314	0.0138708	0.015519	0.0109923	0.0094769	0.00420028	0.00703593	0.00466673	0.00307362	0.00343793	0.00528696	0.00486449	0.00481605	0.00368627	0.00224686	0.00326227	0.0051412	0.00367075	0.00274857	0.0017514	0.00105882	0.000977885	0.000877496	0.000987251	0.00143946	0.00149881	0.00337756	0.00179584	0.00387159	0.00460414	0.00300675	0.00597007	0.00464381	0.00489336
du	0.00269758	0.00217873	0.000781106	0.00163672	0.00451416	0.0042086	0.00293043	0.00165334	0.0061976	0.00458627	0.00526737	0.00602724	0.00797786	0.0081881	0.0105304	0.0177082	0.0149604	0.00788401	0.015864	0.0167639	0.018842	0.0125027	0.0101721	0.0168402	0.0181836	0.0337181	0.0240655	0.0292272	0.0356678	0.0453908	0.0241642	0.0266858	0.0292481	0.0463686	0.0329864	0.0262895	0.0284251	0.0381561	0.0314807	0.0280143	0.0470691	0.0396583	0.0208876	0.0143072	0.0127738	0.0186578	0.0159027	0.0215314	0.00904151	0.0115705	0.00891958	0.00768133	0.0069001	0.00478793	0.00495107	0.00424497	0.00546828	0.00338274	0.00313995	0.00306875	0.00371407	0.00495883	0.0030983	0.0022067	0.00130964	0.00102478	0.00048384	0.000476088	0.000773093	0.000615002	0.000466491	0.000941798	0.000851511	0.00157231	0.00226612	0.00226884	0.00224146	0.00334873	0.00445306
manioc	0.00622608	0.0033493	0.0024246	0.00183886	0.00167669	0.00165402	0.00118644	0.00122498	0.00142143	0.00140294	0.00167871	0.00182481	0.00247261	0.00143384	0.00214788	0.00372029	0.00468883	0.0118125	0.00596635	0.0084973	0.00768127	0.0116647	0.0100515	0.0135079	0.0093829	0.0169682	0.0118373	0.0203921	0.0216722	0.0168485	0.0377725	0.0264822	0.0120661	0.0539514	0.0295963	0.0295824	0.0322263	0.0276199	0.029919	0.0490697	0.0325655	0.0306703	0.0218348	0.014795	0.00957562	0.0134963	0.0230441	0.0217517	0.019595	0.0157412	0.0120676	0.00835905	0.00763337	0.00715707	0.00888706	0.00732826	0.00920757	0.00541243	0.00569197	0.0053291	0.00626838	0.00691599	0.0107195	0.00909325	0.00664196	0.0101255	0.0138459	0.00771849	0.0126631	0.0120619	0.0122523	0.00955726	0.0175059	0.00959553	0.00636061	0.00996779	0.0104098	0.00845328	0.00475965
au	0.0119948	0.00843948	0.00223397	0.00347718	0.00430243	0.00476271	0.00346642	0.00440605	0.00537824	0.00541688	0.00394453	0.0114965	0.0102166	0.0104124	0.0111198	0.016721	0.0143059	0.0197264	0.0176842	0.0232656	0.0246747	0.0298829	0.0332129	0.0424534	0.035986	0.0304279	0.033361	0.0502277	0.0622045	0.0415853	0.0543042	0.022569	0.0110534	0.0182867	0.0307555	0.0134552	0.00862448	0.00760533	0.00520722	0.0100782	0.00597413	0.00505195	0.00474715	0.00351876	0.00361707	0.00661744	0.00263522	0.00958488	0.00943155	0.00725172	0.0104636	0.0109965	0.0151896	0.00805109	0.00590382	0.00815856	0.00820488	0.00460304	0.00474747	0.00304778	0.00510201	0.00438075	0.00428597	0.0030905	0.0027888	0.00289141	0.00262958	0.00302568	0.00213276	0.00308944	0.00430389	0.00538646	0.00458597	0.00854379	0.0102083	0.00961748	0.00793868	0.0128068	0.00666896
champ	0.00659254	0.00771832	0.00525341	0.00586874	0.00741819	0.00701837	0.00523062	0.00739316	0.00990533	0.00955071	0.00796739	0.0167408	0.0131887	0.0126687	0.0140633	0.0142599	0.015294	0.0202096	0.0139095	0.0164693	0.0169361	0.0225342	0.0189232	0.023272	0.0256851	0.0203712	0.0254795	0.0337649	0.0382383	0.0304106	0.0327062	0.0201384	0.0107262	0.0210836	0.0248686	0.0206101	0.0129073	0.0113618	0.0140308	0.0181293	0.0109717	0.0138795	0.00967882	0.00754788	0.01081	0.0182576	0.00798825	0.0179262	0.0195249	0.0152563	0.0106897	0.0114962	0.0103741	0.011908	0.0135718	0.0139231	0.015343	0.0111093	0.0066836	0.00627961	0.00559129	0.00364962	0.00296991	0.0028771	0.00294487	0.00242417	0.00212548	0.0019097	0.0020967	0.00381341	0.00513526	0.00454631	0.00421368	0.00663597	0.00755165	0.0102252	0.00723271	0.0131516	0.00878777
