 	la	manière	dont	il	a	renversé	l'	assiette	montre	qu'	il	n'	y	a	pas	de	nourriture	</S>
a66	0.0865295	0.0605213	0.0573421	0.079156	0.0955058	0.097378	0.101891	0.100004	0.0924544	0.0610084	0.0470139	0.0308477	0.030184	0.018986	0.012685	0.00992632	0.0095319	0.00903447
a87	0.203111	0.0985987	0.0675218	0.0487822	0.0460326	0.0354853	0.0495459	0.0673713	0.0513605	0.0536599	0.0428187	0.041011	0.0453482	0.0375919	0.0320593	0.0285472	0.027869	0.0232851
a23	0.306201	0.0989442	0.0698273	0.0609926	0.0494593	0.0420182	0.0445539	0.0574266	0.0405592	0.0299172	0.0208144	0.0207484	0.025788	0.0240477	0.0229583	0.0229197	0.0312515	0.0315721
a87	0.296882	0.164133	0.117532	0.0875201	0.0539138	0.0414714	0.0360319	0.0390581	0.0261393	0.0187072	0.0158681	0.0150677	0.0185325	0.0139168	0.0120095	0.0109355	0.0146973	0.0175837
a23	0.198582	0.129065	0.109983	0.098339	0.0694504	0.0589945	0.0548736	0.0575969	0.0398796	0.0288218	0.0252361	0.0235668	0.0296774	0.0210462	0.0163722	0.0125308	0.0131145	0.0128711
a18	0.230204	0.169184	0.131771	0.0917806	0.0549389	0.0408425	0.0354108	0.0326587	0.023491	0.0197355	0.0220499	0.0218564	0.0273102	0.0221367	0.0195375	0.0169608	0.0192146	0.0209169
a9	0.225707	0.195982	0.144718	0.0772579	0.0403972	0.0282205	0.022114	0.0156653	0.0123744	0.0104556	0.0131107	0.0158234	0.0196345	0.0262517	0.0364138	0.0394955	0.0380804	0.0382987
a84	0.257476	0.189985	0.137163	0.0756942	0.04309	0.027823	0.0221751	0.0146814	0.0120781	0.00960472	0.0120157	0.0152005	0.0184435	0.027027	0.038702	0.0380082	0.031939	0.0288928
a13	0.268814	0.199616	0.140459	0.0712316	0.0416895	0.0290577	0.023683	0.015428	0.0131548	0.0105537	0.0127331	0.0157016	0.0171495	0.023445	0.0317646	0.031729	0.0280777	0.0257124
a94	0.311054	0.203698	0.118318	0.0516432	0.0277374	0.0197198	0.0171564	0.0110073	0.00946164	0.00791488	0.0118312	0.0170177	0.0188134	0.0281165	0.0396502	0.0393788	0.0342728	0.0332092
a11	0.189892	0.221706	0.152579	0.0738147	0.034247	0.0223451	0.0167996	0.0142024	0.0127838	0.0102457	0.0116963	0.0134153	0.01611	0.0236952	0.0379874	0.0473322	0.0502704	0.050877
a0	0.135806	0.203473	0.175	0.106	0.0511512	0.0358827	0.0252102	0.022673	0.0211689	0.0169468	0.0150995	0.0148577	0.0163856	0.0205107	0.0288507	0.0353977	0.0383178	0.0372693
a61	0.110389	0.163981	0.179839	0.121241	0.0638826	0.045223	0.0311063	0.0274827	0.0254951	0.0200377	0.0164928	0.0159116	0.016702	0.0195564	0.0266478	0.0352126	0.0402141	0.0405854
a62	0.0881487	0.136114	0.184994	0.13854	0.0785663	0.0571287	0.0369953	0.0330462	0.0312146	0.0238263	0.0185419	0.017138	0.0173184	0.0192149	0.0247364	0.0298481	0.0322915	0.0323366
a56	0.0683232	0.101087	0.160321	0.144661	0.0951854	0.0741939	0.0482884	0.0442685	0.0430536	0.0320124	0.0228151	0.0203266	0.0188666	0.0197949	0.0234262	0.0266936	0.0282911	0.028392
a70	0.0499609	0.0705353	0.134302	0.13983	0.111566	0.0943595	0.0645133	0.059136	0.0607069	0.0424814	0.027576	0.0214485	0.0184238	0.0175361	0.0189064	0.0213664	0.0231537	0.0241974
a94	0.0263689	0.0350507	0.0861117	0.120395	0.119619	0.115476	0.0877325	0.0834624	0.0802697	0.0574031	0.0347535	0.0261984	0.0219424	0.0203537	0.019486	0.0206086	0.0217948	0.0229734
a70	0.0168992	0.0208641	0.0555626	0.100477	0.118855	0.126004	0.0995146	0.0891645	0.0886794	0.0644503	0.0387682	0.0280206	0.0227788	0.0209199	0.0211896	0.0255784	0.0291368	0.0331372
a96	0.0115527	0.0151634	0.0356291	0.0841543	0.125504	0.143074	0.1138	0.0988405	0.0985677	0.0710406	0.0437208	0.0294178	0.0243149	0.0203585	0.0182562	0.0199547	0.0220312	0.0246195
a94	0.00666839	0.0091098	0.0230768	0.0627043	0.113726	0.143403	0.116976	0.100585	0.107484	0.0816558	0.0511515	0.0343456	0.0276534	0.0227341	0.0201847	0.0227173	0.0262589	0.0295661
a43	0.0055376	0.00720964	0.0173829	0.0434907	0.0957936	0.13958	0.124457	0.104045	0.116011	0.0942621	0.063699	0.0436013	0.0334798	0.0255782	0.0194998	0.0196776	0.0221364	0.0245588
a11	0.00480665	0.00542556	0.0125225	0.0334178	0.0829627	0.133944	0.123899	0.106323	0.122072	0.0988111	0.0684846	0.046316	0.0350744	0.0266673	0.0205535	0.0216813	0.0264944	0.030544
a93	0.00605251	0.00694657	0.0153772	0.0343897	0.0785088	0.130568	0.122543	0.102873	0.122398	0.101544	0.0725298	0.0501301	0.0383167	0.0279301	0.0203012	0.0199289	0.0237475	0.0259139
a90	0.00266564	0.00355944	0.00782661	0.0212304	0.0559735	0.0994988	0.0973556	0.0882352	0.117555	0.105426	0.0858506	0.0678728	0.0465977	0.036867	0.0298441	0.0345712	0.0421011	0.056969
a98	0.00206474	0.00280687	0.00647879	0.0169447	0.0464649	0.0893152	0.0917042	0.0813442	0.109307	0.104318	0.0913123	0.0805868	0.0550348	0.0472766	0.0373372	0.0387586	0.0433998	0.0555448
