 	en	ce	temps	là	ma	machine	était	encore	intacte	</S>
a66	0.153745	0.112819	0.0990856	0.113668	0.165163	0.182375	0.086298	0.0544768	0.0219917	0.0103779
a87	0.138804	0.0944574	0.104411	0.105492	0.107339	0.152839	0.10843	0.086701	0.0576989	0.0438268
a23	0.261875	0.197337	0.218531	0.121505	0.0720861	0.044232	0.0257046	0.0199886	0.0168729	0.0218679
a87	0.182084	0.176964	0.289527	0.181557	0.0903596	0.0354579	0.0147716	0.0108752	0.00890496	0.00949871
a30	0.206926	0.185942	0.267799	0.165612	0.0862693	0.0340589	0.0157069	0.0135833	0.0123351	0.0117679
a93	0.27686	0.223985	0.230291	0.114056	0.0580467	0.0226569	0.0132941	0.0158788	0.020912	0.0240201
a70	0.320919	0.298065	0.174627	0.0855373	0.0501209	0.0225163	0.0112021	0.0109634	0.0125326	0.0135162
a83	0.187091	0.222164	0.194617	0.164292	0.10515	0.0527212	0.0264296	0.0198079	0.0158191	0.0119075
a11	0.121059	0.172969	0.194163	0.200894	0.13268	0.0713995	0.0380771	0.0280202	0.0225732	0.0181652
a62	0.0865187	0.138093	0.18743	0.21704	0.148312	0.086847	0.0491655	0.0356472	0.0278578	0.0230888
a96	0.0643767	0.107075	0.174981	0.227285	0.174397	0.110591	0.0585836	0.036091	0.0246573	0.0219632
a56	0.0567553	0.092169	0.159915	0.224716	0.182841	0.122735	0.0617773	0.0371646	0.0289489	0.032978
a96	0.0544801	0.0757744	0.13633	0.209688	0.188377	0.143486	0.0770855	0.0446037	0.0329347	0.0372412
a70	0.0475929	0.0616626	0.116946	0.194516	0.192817	0.171987	0.0924217	0.0501047	0.0328242	0.0391282
a83	0.0437065	0.0500867	0.0954359	0.166905	0.184427	0.207603	0.123033	0.0618349	0.0312233	0.0357452
a9	0.0320755	0.0350576	0.0649685	0.132974	0.173685	0.219238	0.14468	0.0843005	0.0498146	0.063206
a99	0.0273266	0.0290174	0.0494269	0.0888192	0.150974	0.239001	0.185416	0.0989369	0.0531255	0.0779566
a97	0.0285515	0.0285676	0.0507326	0.0891119	0.137314	0.229369	0.19414	0.110167	0.0587686	0.0732773
a87	0.0497808	0.0428917	0.0664538	0.102461	0.135708	0.21734	0.1636	0.106493	0.0571638	0.0581078
a97	0.103437	0.0802361	0.107306	0.120517	0.121307	0.164049	0.117144	0.085954	0.0490024	0.0510472
a40	0.105169	0.0796059	0.105401	0.100676	0.0928063	0.124898	0.109855	0.106221	0.0869462	0.0884214
a36	0.0904787	0.0729986	0.0859858	0.0986033	0.114758	0.130346	0.0798068	0.0749853	0.104176	0.147861
a11	0.0269666	0.0256815	0.038689	0.0647711	0.0956686	0.138892	0.129891	0.134513	0.14978	0.195148
a62	0.0170642	0.0152817	0.0246729	0.0477919	0.0714485	0.114147	0.113526	0.135259	0.191126	0.269683
a75	0.0117485	0.0102499	0.0158145	0.0337356	0.0543525	0.107542	0.110739	0.131688	0.198964	0.325166
a6	0.0106194	0.0107247	0.0137	0.0274409	0.0581885	0.122551	0.139728	0.151705	0.189558	0.275784
a37	0.00755459	0.00768439	0.0112073	0.0232267	0.0489655	0.116564	0.150392	0.167897	0.194902	0.271607
a75	0.00558631	0.0049554	0.00750495	0.0139315	0.0289994	0.0770521	0.106901	0.135926	0.234286	0.384857
