 	mon	village	s'	appelle	iyongo	</S>
a15	0.428719	0.248813	0.149009	0.0805317	0.054022	0.0389048
a66	0.461828	0.268243	0.129729	0.0663699	0.0376187	0.0362113
a87	0.367908	0.295714	0.160124	0.0834865	0.0508756	0.0418918
a23	0.448221	0.263556	0.137657	0.0669552	0.0455121	0.038099
a99	0.348235	0.19827	0.119509	0.0690456	0.125701	0.13924
a53	0.156694	0.139776	0.147496	0.147073	0.242813	0.166148
a20	0.196935	0.212242	0.223736	0.160501	0.149978	0.0566091
a76	0.10099	0.15684	0.212151	0.187228	0.234632	0.10816
a79	0.100372	0.145403	0.202191	0.211038	0.246488	0.0945072
a90	0.063325	0.0902006	0.135389	0.157833	0.286691	0.266561
a12	0.0697346	0.0810431	0.114375	0.136161	0.240639	0.358048
a96	0.0546633	0.061828	0.0794948	0.102855	0.225184	0.475975
a88	0.047095	0.0498945	0.0600242	0.0939598	0.23979	0.509237
a38	0.0269774	0.0283567	0.0346341	0.062856	0.23908	0.608095
a90	0.0254067	0.0249888	0.0312049	0.0536591	0.221862	0.642878
a56	0.0231317	0.0203942	0.026126	0.0461137	0.224898	0.659336
a24	0.0128459	0.011437	0.017622	0.0398531	0.243566	0.674676
a56	0.0031892	0.00309258	0.00487993	0.00916996	0.126962	0.852707
a96	0.00313978	0.00316699	0.00479531	0.00878983	0.119772	0.860336
a47	0.00202836	0.00229472	0.00393616	0.00710166	0.0978186	0.886821
a62	0.0020644	0.00237157	0.00384908	0.00692438	0.097081	0.88771
a56	0.00286979	0.00319906	0.0056752	0.0100364	0.113683	0.864536
a96	0.00194244	0.00219406	0.00355922	0.00592004	0.0711878	0.915196
a4	0.00120036	0.00138901	0.00259841	0.00526083	0.0860877	0.903464
a13	0.00110689	0.00117675	0.00253647	0.0062971	0.109512	0.879371
a57	0.0030338	0.0032311	0.00758165	0.0182537	0.187367	0.780533
a9	0.0722085	0.0570023	0.080307	0.0944208	0.27876	0.417302
a87	0.325453	0.207532	0.153742	0.0985225	0.119002	0.0957485
a23	0.398931	0.259642	0.166639	0.07443	0.0606207	0.0397374
a87	0.232191	0.157981	0.113093	0.0690994	0.155987	0.271648
</S>	0.025446	0.0177371	0.0176231	0.0161489	0.108526	0.814519
