 	les	mouches	se	ruent	sur	les	selles	</S>
a66	0.334398	0.235718	0.137049	0.098164	0.0840183	0.0500553	0.035142	0.0254561
a87	0.286099	0.196225	0.103373	0.0854672	0.0885072	0.0779519	0.0895896	0.0727867
a40	0.345706	0.228515	0.123235	0.10629	0.0572975	0.0457685	0.047067	0.0461204
a36	0.353892	0.209915	0.121742	0.109429	0.0638522	0.0513315	0.0467261	0.043113
a61	0.374086	0.224758	0.133962	0.159555	0.0456474	0.0224311	0.0190678	0.0204937
a62	0.414297	0.270844	0.105933	0.119265	0.0424793	0.0187058	0.01414	0.0143367
a12	0.347663	0.293961	0.115414	0.108548	0.0553912	0.0307964	0.0233613	0.0248652
a34	0.313527	0.264828	0.110688	0.115349	0.0760731	0.0449808	0.0355232	0.0390302
a98	0.255355	0.22566	0.116795	0.126746	0.0990154	0.0659622	0.0523666	0.0581001
a85	0.174254	0.185157	0.114501	0.126775	0.104484	0.0971575	0.0958779	0.101794
a92	0.15071	0.16811	0.117829	0.137209	0.140255	0.108504	0.090325	0.0870579
a37	0.105569	0.130147	0.110435	0.114641	0.161231	0.146462	0.120486	0.111029
a21	0.04795	0.0755243	0.099105	0.0997147	0.163575	0.198386	0.168792	0.146952
a85	0.029409	0.0520338	0.0752306	0.0636326	0.156673	0.227642	0.21059	0.184789
a6	0.0129601	0.0344418	0.0531222	0.0460855	0.148718	0.229882	0.240843	0.233948
a37	0.0098445	0.0249899	0.0523994	0.052478	0.145708	0.234971	0.247837	0.231772
a26	0.00506768	0.00823596	0.0186953	0.0259939	0.074212	0.18713	0.279475	0.40119
a25	0.00203391	0.00238848	0.00614268	0.0112237	0.0372319	0.103532	0.240896	0.596551
a87	0.00627749	0.00880448	0.0183578	0.0257146	0.0659618	0.13933	0.290043	0.445511
a23	0.125166	0.104562	0.107117	0.0971467	0.0896368	0.116306	0.156212	0.203854
a87	0.0465085	0.0379009	0.0529353	0.0749787	0.089995	0.17713	0.234606	0.285945
</S>	0.0119223	0.0123577	0.0220417	0.033306	0.0672642	0.17834	0.295637	0.379131
