 	il	est	bouillant	d'	impatience	</S>
a23	0.289424	0.217091	0.115174	0.161301	0.131092	0.085918
a87	0.232901	0.180826	0.155157	0.187554	0.125371	0.118191
a23	0.327782	0.217413	0.134879	0.128826	0.0806134	0.110487
a18	0.452652	0.274761	0.0993229	0.0766585	0.0429904	0.0536154
a30	0.525495	0.312671	0.0886033	0.0435691	0.0143725	0.0152888
a20	0.419791	0.315054	0.141341	0.0713787	0.0281357	0.0242992
a14	0.364938	0.315163	0.170926	0.0867814	0.0352023	0.0269898
a41	0.376893	0.301886	0.168678	0.0904394	0.036611	0.0254926
a26	0.331987	0.283389	0.177433	0.101203	0.0581578	0.04783
a88	0.328484	0.302128	0.165007	0.101129	0.0526184	0.0506344
a71	0.217871	0.283279	0.203656	0.157096	0.0772908	0.0608071
a90	0.152568	0.230585	0.216534	0.206932	0.11047	0.0829117
a56	0.187103	0.231337	0.181324	0.20939	0.107911	0.0829349
a90	0.13117	0.181018	0.196701	0.226892	0.149728	0.114491
a58	0.112108	0.143109	0.139869	0.241937	0.20317	0.159807
a57	0.0652774	0.0841796	0.0807508	0.281082	0.266565	0.222145
a38	0.0354284	0.0471067	0.0502829	0.228917	0.290342	0.347923
a21	0.0331255	0.0436756	0.050147	0.220233	0.287385	0.365434
a35	0.0343632	0.0417898	0.0431462	0.125443	0.230381	0.524876
a12	0.0229382	0.0266415	0.0363092	0.100196	0.245911	0.568004
a24	0.0254521	0.0270595	0.0297068	0.0837881	0.211255	0.622738
a25	0.0273393	0.0234405	0.0254925	0.065917	0.179302	0.678509
a38	0.0188236	0.0173455	0.0202106	0.0985714	0.228117	0.616932
a34	0.0202878	0.0180697	0.0210626	0.0814471	0.198905	0.660228
a24	0.0251803	0.0216841	0.0219445	0.0619523	0.165576	0.703663
a26	0.0253042	0.0191917	0.022606	0.057161	0.156987	0.71875
a32	0.0319306	0.0236068	0.0299997	0.0782978	0.174729	0.661436
a25	0.0275639	0.0204729	0.0244616	0.0660446	0.168592	0.692865
a38	0.015622	0.0121268	0.0170123	0.0750318	0.195859	0.684347
a4	0.0143174	0.0106937	0.0142435	0.0598167	0.16386	0.737068
a13	0.0124449	0.00986503	0.012765	0.0536222	0.149412	0.761891
a57	0.0225449	0.0181263	0.0260466	0.0764315	0.183122	0.673729
a3	0.0282787	0.0203609	0.0282392	0.0820542	0.215629	0.625438
a87	0.0389872	0.0260137	0.0395448	0.0782045	0.217007	0.600243
</S>	0.094574	0.0587424	0.0581891	0.089027	0.165795	0.533672
