 	as-tu	achevé	ton	travail	</S>
a23	0.342814	0.198831	0.271066	0.113952	0.0733368
a76	0.659281	0.246498	0.0544092	0.0194019	0.0204101
a35	0.702416	0.155154	0.0518553	0.0334786	0.0570962
a24	0.772744	0.147082	0.0560251	0.0150184	0.00912978
a43	0.653581	0.223024	0.0914501	0.020478	0.0114671
a75	0.532637	0.294697	0.118375	0.031016	0.0232756
a14	0.443435	0.357094	0.140801	0.0344233	0.0242468
a32	0.486464	0.318667	0.126918	0.0385216	0.0294295
a26	0.395486	0.378632	0.142409	0.0461719	0.0373014
a43	0.409609	0.294853	0.193062	0.0602507	0.0422254
a26	0.252959	0.254273	0.259297	0.13742	0.0960507
a43	0.303917	0.274016	0.212312	0.122413	0.0873429
a75	0.233312	0.290504	0.198751	0.151937	0.125496
a14	0.186789	0.211683	0.176866	0.190881	0.233782
a35	0.106564	0.172632	0.168191	0.239091	0.313522
a14	0.0577415	0.0943952	0.127032	0.275487	0.445345
a35	0.0498251	0.0909532	0.12277	0.27901	0.457442
a25	0.0360146	0.0492694	0.0874963	0.270291	0.556929
a94	0.0139095	0.0137637	0.0485445	0.253526	0.670256
a84	0.0267941	0.0229228	0.0387694	0.202773	0.708741
a57	0.0318753	0.0208953	0.0384986	0.216938	0.691793
a87	0.0443142	0.0607593	0.0713779	0.224419	0.59913
a23	0.0729979	0.0529382	0.105881	0.31286	0.455323
a87	0.156831	0.110701	0.171704	0.265938	0.294826
</S>	0.150557	0.111346	0.13452	0.249305	0.354273
