 	nous	faisons	l'	élevage	des	cabris	</S>
a87	0.290173	0.21952	0.250665	0.155195	0.0365743	0.0287705	0.0191024
a23	0.48367	0.203114	0.14009	0.0798265	0.0206198	0.0338329	0.038847
a50	0.262244	0.1707	0.233242	0.213241	0.0502373	0.0432285	0.0271074
a0	0.375171	0.200138	0.200361	0.126689	0.0492375	0.0306087	0.0177954
a21	0.294734	0.221894	0.196765	0.14214	0.0531387	0.0428582	0.0484703
a47	0.248148	0.210032	0.238615	0.162031	0.0693643	0.0378774	0.0339322
a83	0.15671	0.174417	0.255382	0.194081	0.116031	0.0557615	0.0476179
a18	0.127833	0.131117	0.184895	0.134246	0.170298	0.129181	0.122429
a62	0.0810501	0.0670029	0.106589	0.113893	0.16803	0.184642	0.278794
a24	0.0831224	0.0554772	0.0863612	0.0777879	0.166878	0.249354	0.28102
a47	0.0471937	0.0352521	0.0469582	0.0746862	0.197603	0.251988	0.346318
a96	0.0418366	0.031629	0.036949	0.0725192	0.20215	0.270181	0.344735
a75	0.0326903	0.0205341	0.0216042	0.0552923	0.227866	0.296265	0.345748
a25	0.0101708	0.00501145	0.00680425	0.0246279	0.187849	0.296858	0.468678
a44	0.00322245	0.00218153	0.00284236	0.00765896	0.139961	0.342503	0.501631
a98	0.00727605	0.00380863	0.00491974	0.0138773	0.150938	0.323818	0.495362
a73	0.00162945	0.00093402	0.00120802	0.00526145	0.0884593	0.308178	0.59433
a94	0.00102007	0.000548313	0.000892603	0.00384015	0.0611678	0.258642	0.67389
a13	0.00124417	0.000581472	0.00075884	0.00346092	0.0305865	0.214157	0.749211
a93	0.0146831	0.00817084	0.00606021	0.0128819	0.0534563	0.195171	0.709577
a0	0.0027771	0.00132928	0.00201644	0.00719907	0.0733295	0.2519	0.661449
a10	0.00717776	0.00399059	0.00428644	0.0107731	0.0578895	0.212289	0.703594
a87	0.114214	0.106187	0.0581691	0.058486	0.089279	0.199244	0.37442
a23	0.234051	0.330721	0.138077	0.0777427	0.0371549	0.0820576	0.100196
a99	0.0333878	0.0312373	0.0164125	0.0198683	0.0594143	0.289942	0.549738
a87	0.00477786	0.00595175	0.00340663	0.00623948	0.0470874	0.240238	0.692299
</S>	0.00700112	0.0078025	0.00530086	0.0108624	0.0578773	0.262328	0.648828
