 	c'	est	une	brebis	bréhaigne	</S>
a87	0.350057	0.187647	0.147177	0.140117	0.0983427	0.0766592
a9	0.0907474	0.0688305	0.0824569	0.171006	0.227171	0.359788
a24	0.337615	0.211948	0.168977	0.110979	0.0703699	0.100112
a75	0.449873	0.258166	0.138295	0.085667	0.0337338	0.0342653
a61	0.405783	0.317411	0.17683	0.0589442	0.0238339	0.0171977
a75	0.360062	0.35664	0.224483	0.0464638	0.00891582	0.00343556
a25	0.28176	0.312309	0.280241	0.0988879	0.0198923	0.00690966
a44	0.2416	0.226092	0.274884	0.180067	0.0537616	0.023595
a75	0.13966	0.134649	0.238355	0.310049	0.115156	0.0621311
a43	0.0813184	0.0922312	0.199829	0.357141	0.175799	0.093681
a90	0.0601218	0.0534538	0.0988633	0.317236	0.310906	0.159419
a38	0.0287395	0.027368	0.0528422	0.27366	0.385089	0.232302
a90	0.0141095	0.0129313	0.0236584	0.128033	0.375718	0.44555
a25	0.00801876	0.00931854	0.0186118	0.1176	0.414154	0.432298
a98	0.00290928	0.00366212	0.00818668	0.0462605	0.331981	0.607001
a41	0.00240905	0.00303047	0.00632422	0.0354128	0.298658	0.654165
a27	0.00268134	0.00371401	0.00779728	0.0383456	0.251563	0.695899
a75	0.00189688	0.00194511	0.00421995	0.0243349	0.189267	0.778336
a73	0.000813011	0.00119856	0.00304287	0.0247506	0.214361	0.755834
a2	0.000575878	0.000817092	0.00256166	0.0191323	0.167442	0.809471
a57	0.00593191	0.00574127	0.0129358	0.0579529	0.19123	0.726208
a10	0.0416602	0.0331516	0.0550013	0.123871	0.261487	0.484829
</S>	0.0535806	0.0437575	0.0671631	0.156471	0.319591	0.359437
