 	il	ferme	le	poulailler	</S>
a15	0.478609	0.244203	0.130089	0.0960939	0.0510047
a66	0.350312	0.29372	0.213088	0.105209	0.0376716
a87	0.485703	0.299075	0.114384	0.0645947	0.0362434
a23	0.435625	0.307274	0.13663	0.0728487	0.047622
a79	0.418965	0.305082	0.152537	0.0813626	0.0420527
a54	0.446364	0.280824	0.157635	0.0739818	0.0411956
a47	0.314553	0.275498	0.227532	0.124038	0.0583788
a36	0.221272	0.266926	0.288857	0.154994	0.067952
a6	0.176943	0.211426	0.272247	0.202068	0.137316
a47	0.222862	0.232597	0.259986	0.163403	0.121153
a85	0.152403	0.193768	0.283904	0.194606	0.17532
a6	0.116115	0.154515	0.272313	0.229332	0.227724
a21	0.160711	0.17371	0.238269	0.217189	0.210121
a85	0.0931581	0.125221	0.207489	0.247845	0.326287
a36	0.0377226	0.0702322	0.175065	0.281792	0.435189
a37	0.0138912	0.0152875	0.0357034	0.143951	0.791167
a11	0.0167266	0.0181202	0.0395554	0.134628	0.79097
a66	0.0212097	0.025937	0.0533527	0.138683	0.760818
a9	0.0995008	0.10945	0.142132	0.184367	0.46455
a99	0.190721	0.147219	0.126144	0.159818	0.376098
a97	0.298703	0.206179	0.144228	0.141566	0.209324
a87	0.263492	0.187991	0.125543	0.162975	0.26
a23	0.25049	0.185172	0.128336	0.188575	0.247427
a87	0.062626	0.0598455	0.0809183	0.209853	0.586757
a97	0.0391274	0.0432625	0.0970469	0.234951	0.585612
</S>	0.0814439	0.0911294	0.144187	0.223168	0.460072
