 	la	bière	est	â	point	</S>
a23	0.599002	0.266432	0.0986976	0.0231506	0.00608126	0.00663669
a85	0.714413	0.190311	0.0554972	0.022965	0.00810873	0.00870511
a87	0.374726	0.29965	0.178979	0.0782003	0.0308924	0.0375517
a23	0.39609	0.251128	0.20937	0.0892588	0.0260678	0.0280861
a40	0.289625	0.162025	0.220984	0.125	0.0639272	0.138439
a44	0.311056	0.260545	0.222271	0.0968142	0.0785541	0.0307586
a20	0.184155	0.223415	0.412001	0.127696	0.0374694	0.0152631
a37	0.14652	0.139409	0.311438	0.249204	0.0987887	0.0546404
a12	0.091784	0.0957989	0.261276	0.319849	0.153673	0.0776188
a41	0.0409566	0.0420693	0.109221	0.281577	0.334398	0.191777
a30	0.0825951	0.064607	0.0844279	0.209261	0.362979	0.19613
a56	0.0765801	0.0703932	0.0681569	0.186113	0.361674	0.237082
a41	0.0466583	0.0326917	0.0362178	0.13227	0.409098	0.343065
a94	0.0141375	0.00794565	0.0139153	0.101574	0.439848	0.42258
a54	0.019989	0.00920678	0.0117715	0.053926	0.361829	0.543277
a73	0.0233113	0.00890282	0.0197938	0.100339	0.392034	0.45562
a94	0.00626809	0.00387731	0.010755	0.0814332	0.374944	0.522722
a38	0.00515763	0.00218873	0.00394886	0.0430591	0.286863	0.658783
a73	0.0112159	0.00541556	0.0118799	0.0821942	0.287487	0.601807
a44	0.00872348	0.00579757	0.0145756	0.0708801	0.257962	0.642061
a76	0.00531494	0.00231569	0.0060104	0.0492505	0.200587	0.736522
a94	0.0113363	0.007345	0.0168814	0.0764011	0.251018	0.637018
a76	0.00564784	0.00297619	0.00881708	0.0543963	0.22574	0.702423
a73	0.0048127	0.00210022	0.00535865	0.0402651	0.267639	0.679824
a84	0.001211	0.0006335	0.0033079	0.0386102	0.221517	0.73472
a57	0.00143017	0.00053631	0.00176537	0.0143931	0.0959479	0.885927
a87	0.0132143	0.00899952	0.018889	0.0538993	0.162233	0.742765
</S>	0.00790862	0.0154183	0.0361645	0.0747425	0.214516	0.65125
