 	nous	venons	de	désherber	le	cimetière	</S>
a66	0.211201	0.316837	0.295099	0.134189	0.0215779	0.0123507	0.00874531
a87	0.263076	0.280476	0.257947	0.129948	0.036202	0.0204773	0.0118737
a23	0.32802	0.341814	0.245484	0.0639151	0.00813131	0.00645295	0.00618281
a10	0.349159	0.312722	0.202603	0.0831146	0.024444	0.0145656	0.0133913
a87	0.323954	0.282775	0.253937	0.102796	0.0210686	0.00862959	0.00684004
a23	0.321625	0.299002	0.241191	0.106827	0.0198461	0.00655548	0.0049525
a0	0.265942	0.178882	0.217948	0.231193	0.0724405	0.0198351	0.0137599
a31	0.254669	0.18187	0.204037	0.216414	0.101553	0.0270024	0.014455
a75	0.277251	0.237572	0.275859	0.150588	0.034978	0.0150511	0.00870002
a56	0.19731	0.182934	0.258295	0.266515	0.0606981	0.0224997	0.011749
a44	0.135175	0.168403	0.291125	0.265903	0.0797765	0.0388276	0.020791
a93	0.100449	0.129811	0.272612	0.303014	0.0987266	0.0590746	0.0363124
a56	0.089435	0.132695	0.277341	0.322515	0.0939045	0.0523232	0.0317862
a93	0.0609867	0.103443	0.25648	0.268064	0.135199	0.0960285	0.0797996
a75	0.0307342	0.057863	0.202509	0.299868	0.171983	0.129744	0.107298
a21	0.00710603	0.0150895	0.0883711	0.180436	0.191061	0.236799	0.281137
a5	0.00437127	0.00751863	0.0351753	0.119942	0.184247	0.271409	0.377337
a37	0.000618259	0.000812154	0.00384236	0.0304096	0.107393	0.270233	0.586692
a6	0.000410079	0.000590344	0.00127384	0.00900466	0.0561992	0.209295	0.723226
a36	0.000105178	0.000130135	0.00035691	0.00567104	0.0429806	0.170671	0.780086
a2	0.000253254	0.00034527	0.000582029	0.00269881	0.0227628	0.173771	0.799587
a30	0.0204876	0.0290838	0.0306396	0.0444575	0.0814241	0.193163	0.600745
a10	0.206887	0.182841	0.150309	0.083737	0.114548	0.120334	0.141345
a87	0.0972292	0.0774518	0.0659061	0.0586432	0.117539	0.228045	0.355186
a23	0.0609982	0.0592649	0.0812274	0.0980405	0.180694	0.228001	0.291774
a87	0.0209497	0.0182648	0.0205981	0.044413	0.109129	0.207307	0.579339
a97	0.00312081	0.00260039	0.00395878	0.0109925	0.0616064	0.217803	0.699918
</S>	0.0189849	0.0206842	0.0424958	0.0450341	0.0924407	0.213093	0.567268
