 	dans	cette	région	le	bétail	est	assez	beau	</S>
a85	0.290271	0.162197	0.105637	0.146343	0.108772	0.0559347	0.0420886	0.0412647	0.0474919
a87	0.454395	0.248303	0.108205	0.0466143	0.0191689	0.0108151	0.0133695	0.0339367	0.0651923
a23	0.368438	0.297047	0.124929	0.0569211	0.0263839	0.0165056	0.016993	0.0306537	0.0621286
a10	0.408605	0.246163	0.0801257	0.0219406	0.00830063	0.00749709	0.0162589	0.0570145	0.154095
a38	0.284317	0.195486	0.0882143	0.0343316	0.0181562	0.0151274	0.0292902	0.0908019	0.244276
a41	0.456789	0.287067	0.0888387	0.0347907	0.016742	0.0111185	0.0173093	0.034425	0.0529196
a18	0.463455	0.270502	0.107915	0.0607548	0.0326317	0.0127728	0.0126784	0.0156533	0.0236372
a25	0.37547	0.272413	0.147751	0.0844761	0.0447183	0.0164619	0.0154909	0.0172716	0.0259472
a38	0.188355	0.192134	0.151489	0.165867	0.104901	0.0426085	0.0428737	0.0478907	0.0638819
a24	0.184478	0.20308	0.163235	0.171285	0.12162	0.0461607	0.0361282	0.0326001	0.0414131
a41	0.170355	0.190981	0.161191	0.150863	0.151775	0.0665847	0.0370999	0.0317498	0.0394004
a18	0.167017	0.215969	0.190093	0.175646	0.121043	0.0427701	0.026223	0.0275684	0.033672
a54	0.122244	0.15662	0.150918	0.192267	0.170173	0.0729668	0.0400628	0.0405216	0.054226
a41	0.137216	0.187593	0.171995	0.20082	0.145124	0.0568116	0.0345949	0.0315129	0.0343318
a43	0.12002	0.174359	0.165523	0.193618	0.150846	0.0678435	0.0413881	0.0408922	0.0455107
a24	0.0747132	0.0977252	0.0989568	0.176262	0.196984	0.115145	0.066456	0.0746924	0.0990659
a41	0.0765091	0.0895037	0.0829643	0.127136	0.151503	0.139431	0.102459	0.103997	0.126497
a27	0.0625343	0.0715251	0.0726133	0.136057	0.186097	0.133524	0.0905354	0.108701	0.138413
a25	0.0413764	0.0529071	0.0554855	0.101577	0.145877	0.143421	0.120778	0.146485	0.192093
a87	0.0778036	0.0908955	0.0959243	0.169989	0.169846	0.0994692	0.0638748	0.0913876	0.14081
a23	0.0265548	0.040917	0.0642798	0.10409	0.138516	0.133204	0.119644	0.149226	0.223568
a40	0.0342017	0.029336	0.0318331	0.050099	0.0699223	0.0892442	0.0993869	0.209651	0.386326
a94	0.0386879	0.0336966	0.0316119	0.0604677	0.108158	0.0885565	0.10739	0.212769	0.318662
a18	0.040604	0.0459302	0.046031	0.07961	0.102129	0.128925	0.148421	0.192129	0.216221
a41	0.041579	0.038418	0.0321418	0.0702683	0.0970633	0.125737	0.149651	0.203619	0.241522
a94	0.0191485	0.0175349	0.0157451	0.0393148	0.0802901	0.127803	0.162601	0.237932	0.299631
a54	0.0198191	0.015318	0.0110087	0.0287158	0.0609286	0.113302	0.165798	0.257885	0.327224
a73	0.0146239	0.0111858	0.0088078	0.02478	0.0695433	0.14045	0.189734	0.250468	0.290407
a94	0.011321	0.00835892	0.00582035	0.0155513	0.0440563	0.101275	0.173747	0.293997	0.345874
a26	0.0106289	0.00728608	0.00420266	0.0083832	0.0235872	0.0629651	0.141437	0.317516	0.423993
a11	0.00632227	0.0043799	0.00269988	0.00563925	0.017265	0.0510124	0.127427	0.338201	0.447053
a75	0.00547101	0.003404	0.00191046	0.00326008	0.00859842	0.0306297	0.091921	0.316592	0.538213
a85	0.0121013	0.00753246	0.00475402	0.00937398	0.0232718	0.0589645	0.128245	0.298496	0.457261
a41	0.00803487	0.00548123	0.00397791	0.00891988	0.0208111	0.055354	0.140517	0.326898	0.430006
a94	0.0089585	0.00627302	0.0046523	0.0115376	0.0283864	0.0692473	0.153009	0.32966	0.388275
a27	0.0054452	0.00435888	0.00319793	0.00476249	0.0123603	0.0347456	0.0879371	0.307578	0.539614
a75	0.00213048	0.00167845	0.00165188	0.00182084	0.00422764	0.0177069	0.0644108	0.304408	0.601965
a5	0.0068153	0.00446298	0.00293864	0.00440984	0.0113145	0.0355201	0.0930437	0.288911	0.552584
a18	0.0149116	0.00964373	0.00605131	0.00717016	0.0139883	0.0400953	0.0977302	0.277415	0.532994
a38	0.0103122	0.00742217	0.00508899	0.00528668	0.0091834	0.0350048	0.0950517	0.312597	0.520053
a56	0.0134856	0.0086206	0.00449142	0.00436404	0.00570642	0.020892	0.0693979	0.291999	0.581043
a94	0.0191374	0.0113513	0.00602843	0.00520384	0.00687393	0.0237362	0.0668075	0.26728	0.593581
a57	0.0189838	0.0114079	0.00630909	0.00487701	0.00546239	0.0205342	0.0646948	0.288797	0.578934
a3	0.00838206	0.00591764	0.00436339	0.00353528	0.00444434	0.0205714	0.0761432	0.300568	0.576075
a87	0.00360665	0.00260695	0.0021798	0.00144836	0.00161347	0.0117512	0.0645123	0.304548	0.607733
</S>	0.00354006	0.00254861	0.00247068	0.00276641	0.00336879	0.0240855	0.0799018	0.297602	0.583716
