 	donne-moi	de	l'	eau	</S>
a66	0.493073	0.249109	0.114307	0.0769897	0.0665212
a10	0.182149	0.236598	0.235768	0.190383	0.155102
a87	0.408836	0.290354	0.158235	0.0790796	0.0634956
a79	0.368527	0.319501	0.181472	0.0810414	0.049458
a5	0.497546	0.300629	0.130052	0.0490106	0.0227619
a12	0.520569	0.288396	0.102687	0.0542748	0.0340732
a75	0.437058	0.309465	0.130713	0.0764652	0.0462994
a47	0.393351	0.276351	0.147172	0.102212	0.0809138
a37	0.255728	0.202581	0.190328	0.187755	0.163607
a47	0.0497297	0.0656106	0.153419	0.311454	0.419787
a36	0.0257001	0.0408658	0.113598	0.298175	0.521661
a7	0.00396024	0.00878213	0.0394572	0.192436	0.755365
a57	0.00713766	0.0157305	0.0596331	0.219192	0.698306
a87	0.0225969	0.0380427	0.0880136	0.235513	0.615834
a23	0.181744	0.154831	0.165684	0.200335	0.297406
a87	0.0688231	0.102052	0.165023	0.25605	0.408052
</S>	0.0198662	0.0416142	0.1051	0.273867	0.559553
