 	as-tu	l'	habitude	de	manger	du	pain	</S>
a87	0.227626	0.179295	0.156035	0.137238	0.127096	0.0884326	0.0552785	0.028999
a83	0.31454	0.250069	0.143324	0.0847883	0.0642285	0.0634867	0.0478421	0.0317215
a75	0.24039	0.207591	0.166161	0.0957511	0.0590595	0.0669456	0.0777093	0.0863931
a98	0.305836	0.230023	0.188649	0.115142	0.0568089	0.0411842	0.0313899	0.0309666
a85	0.31868	0.26209	0.248228	0.115043	0.0310346	0.0144766	0.00609238	0.00435511
a37	0.29282	0.260274	0.256736	0.117248	0.0358778	0.0190286	0.0100061	0.00800905
a75	0.293879	0.217506	0.24003	0.139615	0.0612834	0.0273576	0.0115654	0.00876333
a85	0.265814	0.175197	0.175586	0.150561	0.108269	0.0659482	0.0352332	0.0233923
a47	0.130747	0.118639	0.155816	0.173264	0.136822	0.11769	0.0897288	0.0772937
a37	0.0957093	0.0739706	0.0833167	0.155741	0.219201	0.179188	0.111902	0.0809718
a98	0.101952	0.0665556	0.0616267	0.108307	0.209925	0.209297	0.147973	0.0943639
a44	0.0438364	0.0345497	0.0344107	0.0665444	0.162508	0.265143	0.229597	0.163411
a57	0.0409241	0.028055	0.0250102	0.0481238	0.134857	0.257571	0.274698	0.190761
a54	0.00637975	0.0038283	0.00275368	0.00709512	0.0345211	0.119061	0.299633	0.526728
a7	0.00755986	0.00493341	0.0037154	0.00917693	0.034933	0.124134	0.335855	0.479692
a2	0.00167663	0.00116152	0.000861326	0.00227811	0.00992546	0.0533859	0.236235	0.694476
a57	0.00354795	0.00344486	0.0029489	0.00612283	0.0172896	0.0729543	0.264838	0.628853
a87	0.153047	0.107826	0.061887	0.0515746	0.0664005	0.112782	0.213563	0.23292
a23	0.191469	0.124896	0.069888	0.0586581	0.0777312	0.124323	0.196092	0.156943
a87	0.142403	0.0943547	0.050037	0.0495137	0.0710936	0.142739	0.219043	0.230815
a23	0.0485282	0.0433861	0.0286355	0.0327561	0.0612726	0.13689	0.270009	0.378523
a10	0.0907393	0.0661943	0.034276	0.0373244	0.0675214	0.132554	0.270627	0.300764
a9	0.0589379	0.0426845	0.0234861	0.0334326	0.0582721	0.123081	0.247034	0.413072
a10	0.185598	0.122173	0.0597142	0.0539763	0.0538879	0.091699	0.16694	0.266012
</S>	0.168407	0.107314	0.0524237	0.0483569	0.0555301	0.090607	0.180187	0.297175
