 	l'	homme	qui	a	reçu	les	balles	respire	encore	</S>
a66	0.204054	0.182913	0.180662	0.143337	0.178684	0.0631196	0.0228447	0.0110834	0.00700835	0.00629313
a87	0.399186	0.208009	0.157912	0.0637011	0.0430226	0.0222066	0.0203299	0.0194928	0.0265622	0.0395788
a23	0.260586	0.184386	0.15794	0.111294	0.0876859	0.035064	0.0235447	0.0229904	0.0398016	0.0767073
a97	0.20113	0.15275	0.14895	0.104531	0.0962654	0.0271965	0.0231941	0.0408424	0.0722209	0.13292
a87	0.218405	0.205693	0.197483	0.140876	0.0801044	0.0153442	0.0172565	0.0272406	0.0384088	0.0591884
a23	0.204925	0.196157	0.187779	0.127001	0.0789391	0.0199241	0.0245919	0.0355032	0.0492821	0.075898
a53	0.181926	0.169099	0.163121	0.111446	0.0707005	0.0223953	0.0339491	0.0512193	0.080589	0.115555
a90	0.260234	0.206925	0.19495	0.137299	0.0880787	0.0298948	0.0213621	0.024229	0.0175677	0.0194594
a56	0.218202	0.186234	0.189549	0.157619	0.124487	0.0411707	0.0202374	0.0249144	0.0185557	0.0190314
a75	0.161792	0.1729	0.189107	0.178514	0.141473	0.0495598	0.0238513	0.0302563	0.0261177	0.026429
a21	0.108649	0.114805	0.146915	0.150406	0.158054	0.109361	0.0648584	0.0580413	0.0445367	0.0443725
a5	0.0995323	0.101563	0.140113	0.198648	0.214145	0.115985	0.0378996	0.0293661	0.0290044	0.0337431
a92	0.0671554	0.0775939	0.1128	0.182475	0.216861	0.116879	0.0492992	0.0447288	0.058876	0.0733314
a98	0.0481513	0.0667696	0.108842	0.171042	0.211786	0.139476	0.0844755	0.0693485	0.0496583	0.0504503
a85	0.0491679	0.0701821	0.103033	0.13579	0.186008	0.225631	0.106717	0.0606882	0.0324088	0.0303739
a6	0.0428063	0.0578075	0.0779295	0.104671	0.153406	0.212868	0.117167	0.0844227	0.0689107	0.0800105
a36	0.0647433	0.0815923	0.0882248	0.0916664	0.140229	0.15392	0.0915619	0.0797635	0.0863035	0.121995
a0	0.0269989	0.0340941	0.0366925	0.0439142	0.0867532	0.157489	0.105108	0.0795639	0.151463	0.277923
a90	0.0159977	0.0180562	0.0166286	0.0129546	0.0306549	0.0975556	0.0862597	0.0807951	0.197857	0.44324
a25	0.0111779	0.0114563	0.0113509	0.0129862	0.0238125	0.0753618	0.117577	0.131401	0.226742	0.378134
a92	0.00270427	0.00268739	0.00333945	0.00595163	0.0125646	0.0469854	0.079775	0.0870357	0.213781	0.545175
a56	0.00474799	0.00445931	0.00481564	0.00646139	0.0108436	0.0383371	0.0850956	0.111322	0.243257	0.49066
a75	0.00190558	0.00169812	0.00142657	0.00128248	0.00224878	0.0125783	0.0399961	0.0899338	0.310085	0.538845
a85	0.000443623	0.00035494	0.000279073	0.000263941	0.000520567	0.00412939	0.0219635	0.065617	0.315966	0.590462
a47	0.000104396	8.41468e-05	7.29287e-05	0.000106264	0.000234804	0.00226746	0.012733	0.0395528	0.276868	0.667976
a0	0.000137991	8.08844e-05	4.57065e-05	3.8394e-05	8.2969e-05	0.000952819	0.00787929	0.0320392	0.280176	0.678567
a90	0.000801862	0.000533795	0.000308043	9.49211e-05	0.000127163	0.00179433	0.0163129	0.0384573	0.266063	0.675507
a92	0.000791812	0.00044809	0.00024769	0.000110995	0.000152396	0.0015588	0.00999266	0.0297613	0.242234	0.714702
a37	0.000139542	8.25545e-05	4.10816e-05	2.29201e-05	5.70157e-05	0.000876258	0.00894444	0.0359641	0.266315	0.687557
a66	0.000289585	0.000207137	0.000131311	5.24654e-05	7.90744e-05	0.00148653	0.0137184	0.0436915	0.268446	0.671898
a82	0.00229779	0.0014576	0.000826526	0.00031156	0.000374402	0.00449415	0.0229479	0.0451151	0.264306	0.657869
a87	0.158186	0.0717608	0.0436399	0.0187989	0.0181162	0.0515922	0.0777523	0.0830593	0.160723	0.316371
a23	0.261108	0.154588	0.120068	0.0521727	0.032528	0.0341412	0.0604987	0.0575246	0.0846222	0.142748
a99	0.0206814	0.00926155	0.00462445	0.00167217	0.000991937	0.00268858	0.0157864	0.0761026	0.345035	0.523156
a97	0.0134959	0.00646756	0.00371721	0.00181522	0.0014676	0.00538702	0.0198581	0.0715083	0.325903	0.55038
</S>	0.00301882	0.00158454	0.00115781	0.000799297	0.000811897	0.00299518	0.014365	0.0684339	0.319013	0.587821
