 	il	a	les	yeux	bouffis	de	sommeil	</S>
a23	0.364	0.25329	0.12082	0.117532	0.0835869	0.0315087	0.0165425	0.0127199
a85	0.315761	0.299182	0.11535	0.0976274	0.0822546	0.0420133	0.0259525	0.021859
a87	0.242747	0.288477	0.162549	0.134606	0.0996872	0.0299369	0.0189498	0.0230471
a23	0.300464	0.298149	0.183739	0.103191	0.0614277	0.0184954	0.0139147	0.0206193
a20	0.234447	0.258761	0.16853	0.123063	0.0841545	0.0386178	0.0353283	0.0570985
a30	0.235147	0.347715	0.180102	0.137078	0.0615969	0.0185493	0.0132294	0.00658211
a35	0.170982	0.224255	0.217928	0.209835	0.13283	0.0223247	0.0125702	0.00927515
a26	0.140382	0.200971	0.205072	0.210569	0.172372	0.034577	0.0207132	0.0153438
a43	0.101989	0.127422	0.195864	0.23588	0.206673	0.0623581	0.0378109	0.0320025
a0	0.064169	0.0835382	0.149964	0.207623	0.198753	0.132389	0.092944	0.0706194
a30	0.0909191	0.119443	0.171332	0.214686	0.215287	0.0860636	0.0562932	0.045976
a35	0.0453703	0.0711372	0.147815	0.221161	0.330235	0.103864	0.0489735	0.0314446
a24	0.0457012	0.0700994	0.136635	0.212566	0.26546	0.140729	0.0774407	0.0513679
a43	0.0503833	0.0917557	0.15797	0.180278	0.218038	0.138908	0.0960199	0.0666466
a11	0.0189279	0.0299163	0.0662205	0.155317	0.229086	0.196932	0.168861	0.13474
a35	0.0177059	0.0276863	0.0580906	0.149283	0.223462	0.203825	0.186805	0.133141
a43	0.0156123	0.0189076	0.0359872	0.103272	0.227302	0.258381	0.222174	0.118363
a75	0.00945542	0.0129734	0.0193088	0.0494266	0.0971286	0.222743	0.334963	0.254002
a14	0.00417833	0.00389359	0.00569962	0.0200054	0.0636732	0.244897	0.392643	0.26501
a35	0.00321413	0.00302155	0.00406639	0.0106579	0.0309458	0.167109	0.404069	0.376915
a14	0.000589217	0.000564973	0.000895525	0.00252123	0.00832796	0.0799921	0.347793	0.559316
a0	0.000857946	0.0007589	0.00137874	0.00503754	0.0189805	0.150593	0.407264	0.415129
a11	0.000257624	0.000194961	0.000325221	0.00110543	0.00479286	0.0600447	0.314267	0.619012
a38	0.000541269	0.000350079	0.00040993	0.00115877	0.00417271	0.034965	0.239325	0.719078
a70	0.000269799	0.000193837	0.000286469	0.00103572	0.00422511	0.0478558	0.240859	0.705274
a99	0.000286265	0.000266662	0.000529744	0.00180597	0.00572953	0.0449126	0.24482	0.701649
a9	0.0013297	0.000876485	0.000885492	0.00232554	0.00710394	0.0482014	0.23827	0.701008
a87	0.00724805	0.00279545	0.00177842	0.00520591	0.015277	0.0554713	0.196503	0.715721
</S>	0.00818475	0.00492107	0.00341985	0.00758768	0.0221024	0.10718	0.232937	0.613667
