 	il	arrive	aux	abords	du	village	</S>
a23	0.435837	0.320588	0.107878	0.0663937	0.0307177	0.0190221	0.0195636
a87	0.43496	0.356975	0.102182	0.0363553	0.0224411	0.0222781	0.0248091
a23	0.224	0.174481	0.142104	0.111326	0.106166	0.106098	0.135825
a53	0.28321	0.265594	0.13378	0.0770307	0.0700992	0.0784835	0.0918035
a20	0.44744	0.325479	0.118338	0.0516536	0.0254295	0.0194723	0.012188
a44	0.29213	0.268542	0.219817	0.117112	0.0592104	0.0286677	0.0145197
a57	0.256783	0.271606	0.220814	0.116426	0.06823	0.0395213	0.0266196
a38	0.249399	0.276827	0.204261	0.128604	0.0674477	0.041225	0.0322366
a41	0.234769	0.262068	0.218881	0.142253	0.0694331	0.0401358	0.0324602
a35	0.187078	0.189146	0.2404	0.191996	0.110157	0.0476743	0.0335486
a76	0.196081	0.210788	0.258236	0.172957	0.0871204	0.0409444	0.0338735
a44	0.163623	0.197362	0.281017	0.194701	0.0913218	0.0393101	0.0326641
a25	0.0971029	0.108262	0.213138	0.281237	0.163189	0.0743646	0.0627055
a38	0.0349895	0.0447365	0.125085	0.235109	0.228454	0.179482	0.152144
a41	0.0285723	0.0258614	0.0771237	0.167808	0.223792	0.240376	0.236466
a35	0.0332499	0.0340366	0.0700015	0.139718	0.203824	0.241999	0.277172
a14	0.0373702	0.0366094	0.0332041	0.0781579	0.163325	0.279604	0.371729
a2	0.020354	0.02201	0.0227133	0.0631122	0.174607	0.306708	0.390496
a57	0.013428	0.00972953	0.0101391	0.0225654	0.100247	0.316094	0.527797
a38	0.00743292	0.00519403	0.00583974	0.0157289	0.0747482	0.304367	0.586689
a53	0.0105748	0.00658511	0.00502607	0.0114787	0.0660453	0.272825	0.627465
a90	0.00680785	0.00420624	0.0028129	0.0102678	0.0535504	0.251451	0.670904
a4	0.00712374	0.00507023	0.00383376	0.011866	0.0534592	0.254637	0.66401
a13	0.0157781	0.0126949	0.00871341	0.0171276	0.0647941	0.271562	0.60933
a9	0.0269941	0.0223625	0.015263	0.023987	0.0744597	0.256103	0.580831
a87	0.048367	0.0282579	0.0259322	0.0327492	0.0805867	0.233056	0.551051
a23	0.0470071	0.0314875	0.0488025	0.0415704	0.0960612	0.24658	0.488491
a87	0.0425218	0.0508872	0.0821142	0.0657044	0.109819	0.23946	0.409493
a23	0.019499	0.0151342	0.0245487	0.0362881	0.140716	0.306745	0.457069
</S>	0.0327045	0.0323933	0.0572977	0.0578366	0.114673	0.272934	0.432161
