 	écrase-moi	bien	ces	feuilles	de	manioc	</S>
a23	0.444932	0.196777	0.101651	0.0768579	0.0636638	0.0589838	0.0571352
a87	0.518095	0.231165	0.113094	0.0498393	0.0305637	0.0282362	0.029007
a10	0.242228	0.181141	0.166759	0.110722	0.0731983	0.0897808	0.136171
a13	0.315773	0.211811	0.147276	0.0796226	0.0530779	0.0706268	0.121813
a53	0.475006	0.273102	0.116337	0.0388923	0.0232536	0.0302284	0.0431803
a90	0.278554	0.235165	0.149265	0.0929376	0.0728513	0.0811613	0.0900659
a56	0.132203	0.171684	0.16236	0.163629	0.118127	0.118029	0.133968
a43	0.21364	0.190632	0.144078	0.138162	0.101682	0.100445	0.11136
a75	0.129536	0.130203	0.127618	0.149093	0.14284	0.143198	0.177513
a25	0.0627026	0.0638001	0.077669	0.121566	0.172819	0.229924	0.271519
a56	0.0660412	0.0722149	0.104586	0.161556	0.188904	0.193415	0.213283
a98	0.0200043	0.0285889	0.0614159	0.146302	0.222666	0.245401	0.275622
a47	0.00932581	0.0137463	0.0324771	0.0947213	0.196034	0.286806	0.366889
a5	0.00392165	0.00494083	0.0103498	0.0345122	0.112826	0.292486	0.540964
a21	0.00252158	0.00348147	0.00734797	0.0233554	0.0799296	0.260682	0.622682
a5	0.00253365	0.00305541	0.00579728	0.0156676	0.0552987	0.22425	0.693397
a47	0.000981552	0.00104382	0.00232685	0.00837775	0.0393786	0.196403	0.751488
a37	0.00153746	0.00189329	0.00450335	0.0173317	0.0672149	0.221714	0.685805
a35	0.00116237	0.00142798	0.00350832	0.0143908	0.06098	0.219076	0.699454
a18	0.000882679	0.00115084	0.00329716	0.0143933	0.0629776	0.234461	0.682837
a25	0.00344652	0.00365223	0.00602725	0.0141827	0.051351	0.228163	0.693178
a87	0.0135629	0.0134022	0.0170212	0.0279481	0.0769272	0.260525	0.590613
a23	0.0421201	0.0353905	0.0383351	0.0534239	0.125288	0.290153	0.415289
a87	0.00780962	0.00961195	0.0164028	0.0419328	0.135097	0.342449	0.446696
</S>	0.011919	0.0122159	0.021288	0.0550202	0.13107	0.309202	0.459286
