 	ils	pourchassent	les	cabris	dans	la	savane	</S>
a66	0.31158	0.3515	0.128606	0.0904566	0.0517741	0.0317217	0.0200267	0.014335
a87	0.196508	0.136004	0.126468	0.136648	0.104201	0.101691	0.0894147	0.109065
a10	0.131146	0.245109	0.217199	0.167466	0.0833743	0.0571656	0.0463427	0.0521967
a9	0.13176	0.259052	0.205377	0.160046	0.0827557	0.06539	0.049033	0.0465854
a54	0.126142	0.256752	0.173345	0.148695	0.0943842	0.0789917	0.0642909	0.0573986
a47	0.19389	0.273903	0.127368	0.0905409	0.0615871	0.0644265	0.0836081	0.104677
a36	0.287831	0.31345	0.0963634	0.0690626	0.0475117	0.0429256	0.0576619	0.085194
a47	0.232606	0.256583	0.132303	0.107242	0.0861957	0.0600358	0.055627	0.0694075
a36	0.302957	0.294783	0.13566	0.099401	0.0605506	0.0371205	0.0304884	0.0390395
a93	0.223453	0.215638	0.148478	0.130917	0.0949804	0.0652465	0.0546819	0.0666045
a90	0.262326	0.326354	0.160226	0.103669	0.052558	0.0317891	0.0291309	0.0339476
a98	0.275332	0.296739	0.16603	0.10442	0.0545948	0.0330944	0.0303584	0.0394325
a47	0.22521	0.21377	0.184586	0.121504	0.0816247	0.0609264	0.0485438	0.0638353
a7	0.149995	0.145986	0.219912	0.163318	0.0962124	0.0633656	0.0620326	0.0991792
a44	0.129404	0.138543	0.197081	0.162694	0.112642	0.076125	0.0778615	0.10565
a43	0.120845	0.139612	0.198646	0.16979	0.131199	0.0811901	0.0717525	0.0869652
a0	0.0676905	0.0856232	0.143744	0.145351	0.159493	0.127522	0.122777	0.147799
a90	0.023423	0.0337998	0.0775084	0.0935746	0.142063	0.152297	0.186619	0.290715
a25	0.0220199	0.0239637	0.0647028	0.084061	0.147133	0.189961	0.219513	0.248645
a44	0.00621043	0.00867775	0.0306919	0.0436105	0.100856	0.184036	0.284908	0.341009
a69	0.00429587	0.00519652	0.0161108	0.0216673	0.0555479	0.143104	0.325594	0.428484
a94	0.00263508	0.00331102	0.0133417	0.0184253	0.0459472	0.115017	0.309141	0.492181
a53	0.000795457	0.000732035	0.00421599	0.00587523	0.0153191	0.0620221	0.271268	0.639772
a58	0.000811011	0.000774878	0.00380251	0.00571647	0.0154894	0.066401	0.263472	0.643532
a82	0.000581898	0.000566141	0.003278	0.00623341	0.0227458	0.085822	0.296546	0.584226
a10	0.0169955	0.0246859	0.0741649	0.072971	0.0939329	0.141475	0.253724	0.322051
a97	0.0494738	0.0601985	0.112441	0.0960313	0.107964	0.138365	0.217471	0.218055
</S>	0.0605668	0.0558994	0.111529	0.0937498	0.106552	0.141824	0.222125	0.207753
