 	cet	homme	ne	trouve	pas	de	femme	parce	qu'	il	est	un	voleur	</S>
a66	0.234315	0.106475	0.0682171	0.0635559	0.0818908	0.0883177	0.0805992	0.0711423	0.0570245	0.0376231	0.0315939	0.0284549	0.0260578	0.0247335
a87	0.159685	0.087951	0.0668136	0.0576357	0.0616856	0.0711986	0.066774	0.057987	0.053485	0.0441914	0.0516233	0.0647064	0.075112	0.0811514
a97	0.253617	0.152444	0.0947382	0.0564798	0.0465845	0.0500673	0.0502596	0.043459	0.0447831	0.0399798	0.0399831	0.0418807	0.0423044	0.0434196
a87	0.189918	0.114181	0.0805103	0.0582753	0.0548739	0.0623289	0.0619145	0.0570354	0.0591357	0.0526553	0.0572213	0.0580077	0.0501655	0.0437775
a97	0.184895	0.103964	0.067732	0.0465583	0.0439296	0.0520393	0.0576712	0.0595046	0.0664539	0.0636841	0.0707169	0.0712008	0.0598687	0.0517821
a99	0.13436	0.077194	0.0557048	0.0440539	0.0458587	0.0554034	0.0603278	0.0617328	0.0702678	0.0717907	0.0849626	0.092286	0.078599	0.0674581
a13	0.2424	0.12055	0.0752268	0.0449754	0.0427474	0.0411763	0.0414107	0.0385433	0.0425612	0.047041	0.0578755	0.0696702	0.0709991	0.064823
a83	0.252223	0.149221	0.0930306	0.0565497	0.0531397	0.0435017	0.0391717	0.0348911	0.0339415	0.0355077	0.0406053	0.0486938	0.059162	0.0603608
a54	0.276769	0.209755	0.136467	0.0730769	0.0495234	0.0344659	0.0283011	0.0246435	0.0232247	0.0233768	0.0240306	0.0263544	0.0327155	0.0372964
a6	0.201412	0.189394	0.141969	0.0863949	0.0725821	0.0533325	0.0412866	0.0364533	0.0336581	0.0303258	0.0301524	0.0288239	0.026695	0.0275212
a36	0.135711	0.17265	0.158866	0.117799	0.0884433	0.0613818	0.0441454	0.0383539	0.0323173	0.0282453	0.0271009	0.0276905	0.0317246	0.0355723
a61	0.0895776	0.13839	0.159671	0.136538	0.100862	0.0693533	0.0484045	0.0412676	0.0320542	0.0284434	0.0275895	0.0301675	0.0413727	0.056308
a62	0.064976	0.101097	0.127336	0.131007	0.106375	0.0805439	0.0629563	0.0548653	0.0440993	0.0374166	0.0346123	0.0351862	0.0501346	0.0693945
a96	0.050127	0.0699483	0.09228	0.122357	0.126636	0.112266	0.0940115	0.0783093	0.0583859	0.0423298	0.0351003	0.0319717	0.038697	0.0475804
a88	0.0279687	0.0405656	0.0588095	0.0978684	0.128622	0.132341	0.117565	0.0992174	0.0706678	0.0477447	0.0399183	0.0371098	0.0446557	0.0569462
a71	0.0192477	0.0274493	0.0430018	0.0847773	0.134785	0.155732	0.146105	0.124204	0.0814675	0.046248	0.0331628	0.0280552	0.0326501	0.0431151
a38	0.025768	0.0327341	0.0466291	0.076185	0.124256	0.148874	0.142551	0.1187	0.0810995	0.0473399	0.0317865	0.0273394	0.0387576	0.057979
a96	0.0356318	0.0386447	0.0474972	0.0647314	0.0995773	0.12252	0.128308	0.111279	0.0818694	0.0535109	0.040536	0.0388925	0.0567164	0.0802858
a54	0.0287845	0.0332476	0.0385914	0.0594796	0.0797492	0.101573	0.117151	0.11404	0.0950759	0.0684596	0.0532984	0.0482139	0.0671217	0.0952143
a7	0.00767944	0.00993632	0.0150352	0.0249341	0.0478771	0.0787653	0.110342	0.127349	0.111566	0.0909308	0.0844569	0.0802024	0.0950439	0.115881
a26	0.00743982	0.00855818	0.0127868	0.0263674	0.0535988	0.0900216	0.130856	0.144611	0.117081	0.0888426	0.0642131	0.0573554	0.0796209	0.118647
a11	0.012248	0.0111573	0.0136334	0.0250324	0.0461045	0.0717007	0.103266	0.111207	0.106255	0.0843796	0.0639134	0.0646688	0.106446	0.179988
a50	0.0102043	0.00956074	0.0118698	0.0240835	0.0420891	0.0686956	0.096349	0.104281	0.104013	0.0842023	0.0650509	0.0650021	0.115988	0.198611
a61	0.0088935	0.00879151	0.0108613	0.0214346	0.035234	0.0548361	0.0731471	0.0826722	0.0883373	0.0820379	0.0746726	0.078752	0.140924	0.239405
a5	0.00644866	0.00647654	0.00866705	0.0180398	0.0305252	0.0476523	0.0635616	0.0725743	0.0798695	0.0820637	0.0821688	0.0907673	0.157737	0.253448
a18	0.00595578	0.00568269	0.00713971	0.0120836	0.0200752	0.0305301	0.0415458	0.0523961	0.064881	0.0776947	0.0940602	0.117231	0.196982	0.273742
a61	0.00429351	0.00343946	0.00414053	0.00840895	0.0143845	0.0256248	0.0359777	0.0398719	0.0454426	0.0547607	0.0710668	0.106243	0.226148	0.360198
a62	0.00305919	0.00264359	0.00342869	0.00700111	0.0125404	0.0216738	0.0290318	0.0331639	0.0400602	0.0545035	0.0766123	0.11783	0.2387	0.359752
a31	0.00161861	0.00145892	0.00184633	0.00361805	0.00651887	0.0124454	0.0190987	0.0252874	0.0333101	0.0473981	0.0762806	0.131694	0.257395	0.38203
a88	0.00189247	0.00174823	0.00212917	0.00406669	0.00675779	0.0124431	0.019051	0.0247342	0.0317446	0.0438462	0.0690311	0.121205	0.24803	0.41332
a62	0.00132675	0.00115188	0.00149675	0.00305654	0.00561905	0.0108312	0.0159964	0.0197332	0.0244688	0.0353732	0.0603767	0.116964	0.25665	0.446955
a21	0.00124869	0.00112426	0.00146818	0.00297778	0.00542212	0.0106692	0.0167438	0.0217458	0.0280538	0.0401416	0.0669038	0.123258	0.249012	0.431231
a5	0.00111142	0.000952609	0.00125853	0.00238796	0.00465517	0.00964525	0.0153571	0.0207143	0.0283324	0.0417869	0.07417	0.136223	0.251996	0.41141
a18	0.00106413	0.000845308	0.001149	0.00244412	0.00513602	0.0102703	0.0149412	0.0180079	0.0234859	0.036652	0.0647184	0.122994	0.254386	0.443906
a88	0.00163441	0.00135943	0.00175704	0.00326732	0.00631327	0.0112501	0.0175834	0.0207704	0.026761	0.0431546	0.0653948	0.119589	0.250901	0.430264
a38	0.00341598	0.00285107	0.00360345	0.00628325	0.0115809	0.0188416	0.0259497	0.0281585	0.0351435	0.0570043	0.0790662	0.127096	0.231121	0.369884
a26	0.00422926	0.00366046	0.00463666	0.00774506	0.0125828	0.0190861	0.0251974	0.0276862	0.0347859	0.0589803	0.0819373	0.128328	0.230259	0.360886
a57	0.00769324	0.00661118	0.0082128	0.0128772	0.018607	0.0257157	0.031578	0.0345466	0.0421399	0.0664034	0.0881052	0.129839	0.214095	0.313576
a97	0.0407529	0.0282685	0.028577	0.0353915	0.0414016	0.047163	0.0512755	0.0526435	0.0612718	0.0789988	0.0922993	0.11643	0.14645	0.179076
a10	0.0796591	0.0448294	0.0357231	0.0382385	0.0393374	0.0428808	0.0453175	0.0480046	0.0596745	0.0764586	0.093934	0.119605	0.133906	0.142431
a97	0.0717013	0.0422227	0.0296597	0.0304974	0.0304099	0.0331895	0.0370727	0.0436083	0.0602399	0.0803091	0.101583	0.127925	0.148944	0.162638
a87	0.054072	0.030349	0.0227196	0.0242093	0.0322773	0.0468934	0.0619747	0.0720344	0.0895876	0.0995531	0.105655	0.114257	0.118082	0.128335
a97	0.0653527	0.0378389	0.0273322	0.0260329	0.0358144	0.0524549	0.0669838	0.0729275	0.0844288	0.0896323	0.0929028	0.101457	0.113572	0.133269
a87	0.0729064	0.0486341	0.0400147	0.0365735	0.0531157	0.0712133	0.0760012	0.0708486	0.0710542	0.0691321	0.0693493	0.0779524	0.102888	0.140317
</S>	0.108436	0.0718053	0.0584839	0.0459815	0.055098	0.0635301	0.0630848	0.0565982	0.056658	0.0557027	0.0550122	0.0646716	0.0971619	0.147776
