 	les	cigognes	font	des	tourelles	dans	le	ciel	</S>
a66	0.176124	0.227254	0.308136	0.204156	0.0515426	0.0140447	0.00868951	0.00555212	0.00450162
a87	0.445244	0.377	0.0926555	0.0459042	0.0150558	0.00606192	0.00615462	0.00622169	0.00570201
a23	0.461915	0.339657	0.0830693	0.0440305	0.0169761	0.010866	0.0113705	0.0146941	0.0174214
a40	0.445967	0.319755	0.0677357	0.0349497	0.0153924	0.0173717	0.024752	0.0314674	0.0426095
a7	0.256867	0.184848	0.16266	0.110955	0.0752522	0.0533415	0.060184	0.0527496	0.0431429
a84	0.288762	0.275829	0.139013	0.0991226	0.0875965	0.0372365	0.0297391	0.0241968	0.0185054
a53	0.138225	0.134427	0.105395	0.105354	0.158202	0.101926	0.100203	0.0812892	0.0749779
a56	0.129315	0.153034	0.127297	0.0949973	0.128806	0.122111	0.104497	0.0784789	0.0614629
a96	0.185093	0.18858	0.148812	0.102091	0.118773	0.0880595	0.061545	0.0550181	0.0520291
a93	0.15106	0.135694	0.127406	0.0905565	0.121278	0.10494	0.0801076	0.091877	0.0970818
a70	0.141597	0.143051	0.15628	0.111431	0.110784	0.0809347	0.068102	0.088496	0.0993248
a93	0.05568	0.062379	0.157021	0.170149	0.137252	0.111624	0.0916497	0.105469	0.108776
a98	0.0543485	0.0578878	0.136018	0.167084	0.127486	0.111594	0.0953865	0.115191	0.135004
a85	0.0135474	0.0146645	0.0569261	0.104193	0.171823	0.180247	0.16342	0.157546	0.137632
a6	0.00976925	0.0103051	0.0321601	0.0582309	0.121798	0.178997	0.176745	0.205601	0.206394
a56	0.0100308	0.0101029	0.0348487	0.066499	0.128061	0.187427	0.191904	0.190013	0.181113
a21	0.00681991	0.0057489	0.0143307	0.0222933	0.0596191	0.15262	0.206834	0.254167	0.277567
a12	0.00143894	0.00121947	0.00292619	0.00444467	0.0183331	0.0787013	0.189779	0.33617	0.366987
a18	0.000620157	0.000516068	0.00138057	0.00235617	0.0102678	0.0471084	0.1539	0.349938	0.433914
a62	0.000879593	0.00151297	0.00324826	0.00539497	0.020474	0.0375986	0.109647	0.30526	0.515984
a88	0.000614366	0.000715051	0.001996	0.00404575	0.01979	0.0411826	0.131411	0.320764	0.479482
a83	0.000211333	0.000281842	0.000919401	0.00226622	0.0151133	0.0370901	0.119266	0.324028	0.500823
a38	0.000167073	0.000214943	0.000939532	0.00247714	0.0151046	0.0359957	0.111523	0.312047	0.521531
a13	0.000466237	0.000897515	0.00340154	0.00821995	0.0413253	0.0778686	0.149003	0.29446	0.424357
a99	0.00608841	0.00889231	0.0204346	0.0370544	0.0959684	0.119274	0.174384	0.2485	0.289404
a87	0.0536665	0.0614254	0.0607374	0.0711554	0.0979091	0.11756	0.145326	0.191996	0.200223
a23	0.365786	0.278148	0.127443	0.096683	0.0435438	0.0261154	0.0213059	0.0193983	0.0215765
a87	0.156643	0.101256	0.0345948	0.0224808	0.0293981	0.0394956	0.073213	0.186634	0.356284
</S>	0.0188332	0.0116697	0.00442086	0.00376128	0.00822006	0.0206673	0.0767166	0.306582	0.549129
