 	il	transporte	le	sable	dans	un	panier	</S>
a66	0.525112	0.270773	0.0713386	0.0488218	0.0289224	0.0248373	0.0158446	0.0143498
a87	0.548769	0.306188	0.0666932	0.0398759	0.0149876	0.0108669	0.00708429	0.00553498
a23	0.561876	0.288605	0.0725197	0.0325447	0.0142747	0.0105031	0.010228	0.00944909
a79	0.421471	0.247601	0.0945825	0.0609437	0.0366531	0.0352562	0.0436436	0.0598491
a69	0.335823	0.352743	0.0916434	0.0797888	0.0386136	0.0328124	0.0332228	0.0353529
a90	0.328638	0.480202	0.100795	0.0503763	0.0162258	0.00991993	0.00682158	0.00702056
a98	0.164146	0.337778	0.253584	0.174183	0.0438503	0.0149718	0.00630959	0.00517665
a15	0.151655	0.278102	0.231624	0.161386	0.0773996	0.0462486	0.0297002	0.0238847
a92	0.0645419	0.2001	0.242143	0.232242	0.133719	0.0650161	0.034645	0.0275934
a21	0.0590272	0.111319	0.191631	0.240903	0.203936	0.097532	0.0542902	0.0413608
a85	0.0329836	0.0683232	0.114095	0.169868	0.247219	0.178964	0.116257	0.0722896
a36	0.0518272	0.110498	0.145534	0.163769	0.175925	0.140287	0.111497	0.100662
a5	0.0284595	0.0440529	0.0768688	0.116155	0.160125	0.204266	0.210674	0.159398
a18	0.0130984	0.0158123	0.0233343	0.04806	0.112727	0.215652	0.308392	0.262923
a12	0.00689118	0.0137257	0.0161874	0.016356	0.0355349	0.106439	0.309511	0.495354
a37	0.00510803	0.00784329	0.00865457	0.0116528	0.0327631	0.106496	0.31009	0.517391
a5	0.00492709	0.00801988	0.00824723	0.0100851	0.0256631	0.0814112	0.286927	0.574719
a23	0.00298401	0.0050552	0.00412675	0.00619479	0.017328	0.065039	0.26322	0.636052
a5	0.00166569	0.00264712	0.00216788	0.00418428	0.0143433	0.0615939	0.274869	0.638529
a18	0.00149112	0.00229781	0.00183751	0.00343515	0.0143027	0.0666219	0.296065	0.613949
a25	0.00645895	0.0106315	0.00494897	0.00687738	0.0171715	0.0680705	0.280139	0.605702
a97	0.076868	0.0802609	0.0425051	0.039853	0.0608073	0.123542	0.245208	0.330955
a3	0.405153	0.188307	0.0930489	0.0509683	0.0487769	0.0599831	0.0750447	0.0787175
a87	0.362657	0.278878	0.108601	0.0563787	0.0376347	0.0397938	0.0529043	0.0631524
a23	0.283612	0.253583	0.119225	0.0651887	0.0468017	0.0521252	0.080472	0.0989928
a99	0.030756	0.0287663	0.0294753	0.0216696	0.0339034	0.0903384	0.261063	0.504028
a26	0.0115046	0.0158801	0.0179223	0.0187787	0.0422565	0.116594	0.302802	0.474261
</S>	0.00739418	0.0106085	0.0129279	0.0223648	0.0602268	0.12773	0.306582	0.452167
