 	le	cabri	broute	l'	herbe	mais	moi	je	ne	mange	pas	les	cabris	</S>
a66	0.237987	0.150664	0.0652419	0.0563237	0.0664553	0.0663401	0.0737525	0.0815754	0.0716592	0.0477222	0.0314157	0.020016	0.0162547	0.0145925
a87	0.359721	0.213689	0.0832793	0.0680665	0.0641812	0.0387544	0.0348066	0.0397025	0.0250905	0.0163576	0.0137225	0.0147285	0.0138923	0.0140073
a23	0.394033	0.270502	0.110321	0.0718258	0.0485363	0.0283434	0.0195675	0.0139758	0.00863457	0.00589985	0.00469139	0.00597517	0.00733313	0.0103607
a99	0.235225	0.170587	0.109275	0.0917891	0.110493	0.0781048	0.0495263	0.035463	0.0221121	0.0177627	0.0159407	0.0177464	0.0207475	0.0252273
a53	0.1429	0.175889	0.112065	0.0979165	0.0793627	0.0554054	0.0462774	0.0383435	0.0279447	0.0293556	0.0337184	0.0450168	0.0552069	0.060598
a44	0.267211	0.194534	0.134404	0.0966919	0.0565195	0.0323507	0.0232948	0.0193935	0.0162883	0.0186408	0.0234714	0.0346853	0.0397838	0.0427309
a11	0.241509	0.241117	0.211754	0.11079	0.0410595	0.0191807	0.0132887	0.00968425	0.00662889	0.00913991	0.0134323	0.0226433	0.0283103	0.0314623
a43	0.150021	0.209374	0.250672	0.14374	0.0663463	0.0345567	0.0274522	0.0215921	0.0137782	0.0147914	0.0153358	0.0158939	0.0168717	0.0195741
a61	0.0934846	0.155672	0.229655	0.155337	0.0940737	0.0557272	0.0501202	0.0428587	0.028521	0.0236657	0.0187012	0.0161807	0.0161451	0.0198576
a75	0.0964458	0.166142	0.235889	0.164583	0.0946063	0.0533695	0.0482125	0.0418378	0.0255274	0.0183847	0.0132081	0.0114893	0.0126504	0.0176546
a85	0.0529557	0.0899202	0.169523	0.130373	0.115194	0.0847463	0.0770364	0.0654362	0.041442	0.0338603	0.0271572	0.0295815	0.0358974	0.0468768
a6	0.0246371	0.0371298	0.101123	0.0855195	0.110533	0.110172	0.0975311	0.08365	0.0686383	0.0609937	0.0465099	0.0494037	0.0578845	0.0662742
a36	0.0495427	0.0672814	0.112301	0.0900314	0.11184	0.103608	0.0968894	0.0849963	0.0682375	0.0527443	0.0372115	0.0369709	0.041805	0.0465413
a75	0.0242598	0.0401606	0.0872248	0.0881995	0.128304	0.13382	0.117345	0.0976785	0.081393	0.0525584	0.0353789	0.0324059	0.0372181	0.0440529
a85	0.0138494	0.0215559	0.0517392	0.0496538	0.0844625	0.127176	0.117712	0.0949863	0.0896735	0.0723464	0.0582764	0.0619284	0.0711147	0.0855251
a47	0.00668745	0.0104526	0.0315371	0.0382893	0.0751843	0.121777	0.119047	0.0999	0.106136	0.0946578	0.0730832	0.0672968	0.0735752	0.0823768
a36	0.0166679	0.014725	0.0288276	0.0399976	0.0950981	0.189348	0.13867	0.0863293	0.0857261	0.0567243	0.0468884	0.0522808	0.0662858	0.082432
a0	0.0244916	0.0230485	0.0411641	0.0540891	0.102	0.154467	0.12223	0.0886257	0.0819527	0.0543541	0.042597	0.0506015	0.0653796	0.0949997
a43	0.0156044	0.0143182	0.0292539	0.0399974	0.10134	0.17701	0.134191	0.0879515	0.0958217	0.0589778	0.041694	0.0457416	0.0619392	0.0961591
a11	0.0179015	0.0189571	0.0285971	0.0472565	0.120598	0.177632	0.162398	0.110567	0.111128	0.0605227	0.0345476	0.0276152	0.0324588	0.04982
a90	0.0281958	0.0299632	0.038235	0.0627163	0.126596	0.155442	0.147982	0.102521	0.0971015	0.0579913	0.0377519	0.0313871	0.0330076	0.0511094
a94	0.00960222	0.0097324	0.0175325	0.0283268	0.0776848	0.123612	0.114011	0.0886339	0.119553	0.110431	0.0825487	0.0605111	0.0661524	0.0916678
a57	0.00894619	0.00990468	0.0183405	0.0313929	0.0877552	0.133312	0.120326	0.0856128	0.101675	0.100698	0.0857761	0.0653901	0.064982	0.0858888
a3	0.0351058	0.03517	0.0466763	0.0628304	0.121169	0.147989	0.117066	0.082427	0.0896067	0.0736838	0.0515661	0.0386689	0.0401129	0.0579274
a87	0.0639443	0.0629354	0.0632379	0.0688194	0.0860708	0.0869694	0.0753588	0.07078	0.0819482	0.0818869	0.0599735	0.047401	0.0572343	0.09344
a99	0.0685172	0.0502302	0.0456691	0.0494109	0.0574718	0.0575001	0.0515833	0.0562837	0.0695894	0.106807	0.094913	0.0867264	0.0933841	0.111914
a54	0.0125627	0.00803778	0.0101381	0.0144257	0.0423577	0.0753327	0.0734685	0.0757366	0.0950315	0.136433	0.113543	0.106559	0.111848	0.124526
a30	0.00511594	0.00766546	0.0181241	0.0222285	0.0323192	0.0446081	0.0423725	0.0411379	0.0445748	0.0663918	0.0734662	0.136516	0.189092	0.276388
a6	0.0014982	0.003139	0.0125044	0.018537	0.0391788	0.0595213	0.0507506	0.0416844	0.0507849	0.0786053	0.0904971	0.14379	0.181668	0.227841
