 	celui-ci	est	mon	panier	celui-là	est	à	toi	</S>
a66	0.160836	0.151253	0.121743	0.113865	0.120945	0.0893859	0.0987552	0.0848094	0.0584067
a87	0.326186	0.207929	0.103169	0.0949977	0.0855315	0.061257	0.0577249	0.0450003	0.0182056
a23	0.248958	0.188394	0.112144	0.123921	0.152109	0.0771793	0.0509079	0.0317219	0.0146651
a99	0.214051	0.148236	0.106648	0.12148	0.181031	0.0853477	0.0664119	0.045618	0.0311762
a94	0.226418	0.161332	0.0935761	0.112796	0.162575	0.0767415	0.064348	0.0579075	0.044306
a35	0.198359	0.152404	0.108498	0.127365	0.159029	0.0827447	0.0713783	0.058922	0.0413002
a76	0.156492	0.137619	0.12458	0.148278	0.180866	0.101082	0.062966	0.0546716	0.0334462
a98	0.202588	0.182915	0.161632	0.131238	0.0983046	0.0650395	0.049451	0.0620101	0.0468214
a47	0.148098	0.154216	0.16912	0.141827	0.111867	0.074675	0.0558178	0.0791629	0.0652165
a37	0.130431	0.142544	0.157813	0.122616	0.0748284	0.0589274	0.062066	0.126169	0.124605
a47	0.0530726	0.065337	0.0962768	0.0903659	0.0797485	0.0952173	0.120294	0.234125	0.165562
a36	0.0420081	0.0535042	0.0784742	0.0712711	0.0621457	0.0904958	0.138716	0.258883	0.204501
a2	0.0180205	0.022417	0.0403196	0.0449253	0.0536922	0.0842818	0.192913	0.283744	0.259686
a57	0.0125805	0.0191823	0.0348299	0.0436296	0.0560811	0.0766491	0.181431	0.265438	0.310179
a87	0.0283413	0.037551	0.0555133	0.0720092	0.0853795	0.0935815	0.163535	0.206653	0.257437
a23	0.150022	0.167301	0.184873	0.178232	0.123231	0.0585481	0.0475244	0.0433839	0.0468839
a99	0.112683	0.145591	0.161321	0.181093	0.114662	0.0648923	0.0753551	0.0649	0.0795014
a38	0.107529	0.127868	0.126955	0.133474	0.108772	0.0841902	0.0987552	0.10135	0.111105
a94	0.038633	0.0504577	0.0574914	0.07717	0.101295	0.116515	0.17252	0.192517	0.193401
a35	0.0152304	0.0207488	0.0302341	0.040039	0.0569872	0.0853822	0.178991	0.287223	0.285164
a98	0.0149783	0.0235676	0.0379495	0.0508797	0.0575979	0.0657911	0.132874	0.290081	0.326281
a85	0.0321663	0.0388894	0.0446798	0.0589424	0.0550461	0.056308	0.107837	0.278149	0.327982
a6	0.0235163	0.0330719	0.0513714	0.0633906	0.0524266	0.0569104	0.0972733	0.231077	0.390962
a37	0.0239365	0.0306182	0.0576719	0.062563	0.0383581	0.0477461	0.0939007	0.199768	0.445438
a7	0.0128078	0.0141638	0.0238536	0.0296098	0.020231	0.0362124	0.102085	0.225838	0.535199
a26	0.0194483	0.0225199	0.0373255	0.0479658	0.0346241	0.0678821	0.174899	0.207241	0.388094
a82	0.0362804	0.0431378	0.0595248	0.0752176	0.086276	0.102088	0.173337	0.154174	0.269964
a87	0.151221	0.125807	0.131652	0.12599	0.124333	0.115439	0.0999955	0.0661275	0.0594345
a23	0.229221	0.177991	0.151672	0.120994	0.0772139	0.0636728	0.0662963	0.0635953	0.0493437
a87	0.178145	0.156142	0.135641	0.14722	0.117413	0.0819329	0.0818746	0.0535374	0.0480942
</S>	0.146169	0.153221	0.162769	0.158588	0.106579	0.0675871	0.07452	0.064117	0.0664499
