 	la	femme	se	tord	de	douleurs	d'	accouchement	</S>
a23	0.220006	0.131214	0.14906	0.194083	0.132954	0.0942338	0.0436288	0.0201833	0.0146373
a87	0.331285	0.194473	0.149805	0.118863	0.0680395	0.0573893	0.032326	0.0232832	0.0245357
a23	0.23068	0.203665	0.148513	0.109182	0.0666966	0.0551783	0.0419725	0.0539892	0.0901245
a30	0.328328	0.231886	0.151788	0.0840934	0.0333411	0.0293389	0.0287351	0.0382496	0.0742387
a93	0.356048	0.194497	0.151076	0.112038	0.0396322	0.0314438	0.0386823	0.0349852	0.041598
a62	0.392706	0.249376	0.184327	0.0904312	0.0341905	0.0166674	0.0119649	0.00948415	0.0108537
a34	0.435777	0.263485	0.173359	0.0755452	0.0239511	0.0100583	0.00630899	0.00526291	0.00625308
a75	0.380568	0.261793	0.189293	0.0843621	0.030702	0.0154583	0.0120339	0.0118407	0.0139488
a85	0.268311	0.223201	0.211535	0.123042	0.0537392	0.0325342	0.028089	0.0270893	0.032459
a37	0.252702	0.219165	0.215258	0.12375	0.0617169	0.0383496	0.029933	0.0281304	0.0309959
a66	0.213815	0.224675	0.232578	0.152481	0.0684762	0.0386749	0.0273748	0.0206254	0.0212995
a62	0.1372	0.180971	0.209059	0.185585	0.101298	0.0636701	0.0475296	0.0358343	0.0388534
a96	0.101006	0.141064	0.172744	0.173019	0.124546	0.0988914	0.0731581	0.0577478	0.0578235
a21	0.0861389	0.124407	0.153988	0.175019	0.128959	0.0977814	0.0783338	0.0761611	0.0792122
a85	0.101906	0.123361	0.151407	0.169146	0.139542	0.125417	0.0828461	0.057868	0.0485057
a5	0.0785181	0.0820804	0.0960533	0.110383	0.0933954	0.105886	0.125462	0.149364	0.158858
a18	0.102078	0.0988933	0.11531	0.134409	0.118961	0.129706	0.107999	0.101568	0.0910763
a27	0.0543002	0.057675	0.0563308	0.0780041	0.0890489	0.146301	0.175396	0.171015	0.17193
a75	0.0362189	0.0398576	0.0394205	0.054296	0.0503248	0.0820223	0.141185	0.226383	0.330292
a92	0.0151416	0.0140479	0.014398	0.0224429	0.0286592	0.0700389	0.162328	0.287193	0.38575
a47	0.0136206	0.0132048	0.0141426	0.0207647	0.0256843	0.063576	0.152876	0.299483	0.396648
a62	0.0157792	0.0143064	0.0136744	0.0201651	0.0266166	0.0611302	0.144412	0.316493	0.387424
a88	0.00595178	0.00588785	0.00626332	0.00955084	0.0172122	0.0534072	0.1279	0.31997	0.453857
a83	0.0023917	0.00262403	0.00299268	0.00522916	0.0111655	0.042292	0.116024	0.316596	0.500685
a93	0.0022581	0.002664	0.0030883	0.00554536	0.0108518	0.0420374	0.110234	0.291696	0.531624
a56	0.000855241	0.00114413	0.00160609	0.00334837	0.00821844	0.0392802	0.117444	0.29433	0.533774
a75	0.000788144	0.00100194	0.00127949	0.00230381	0.00485307	0.0182372	0.0547758	0.236523	0.680238
a36	0.00136507	0.00177342	0.00253795	0.0045413	0.00897757	0.0277626	0.0701806	0.253633	0.629229
a26	0.00206426	0.00271817	0.00311748	0.00554229	0.0101358	0.0327814	0.0848272	0.240411	0.618403
a82	0.0327449	0.0250372	0.0222598	0.032632	0.0317283	0.0518953	0.0908979	0.220207	0.492598
a10	0.135631	0.0877883	0.0672395	0.0598582	0.0470926	0.0627067	0.0831399	0.160059	0.296485
a87	0.173536	0.12787	0.105798	0.0937711	0.0654378	0.0835126	0.09535	0.122176	0.132548
a23	0.119662	0.113256	0.105941	0.121149	0.09534	0.125139	0.122881	0.104228	0.0924031
a87	0.0326057	0.0282809	0.0291008	0.0426941	0.060594	0.0923123	0.160547	0.252179	0.301686
</S>	0.016904	0.0165278	0.0182436	0.0269838	0.0391755	0.0691407	0.134905	0.263597	0.414523
