 	le	feu	a	brûlé	toute	la	savane	</S>
a23	0.49679	0.174681	0.0901217	0.0673856	0.0576807	0.0485186	0.0342955	0.0305275
a83	0.535005	0.207855	0.0839067	0.0370702	0.0358399	0.0361779	0.0302771	0.0338672
a11	0.403517	0.240924	0.120454	0.0505609	0.0405051	0.0419466	0.0442023	0.0578899
a66	0.420928	0.315372	0.163258	0.0515145	0.0227119	0.0124401	0.00791381	0.00586071
a90	0.340929	0.289449	0.2206	0.093797	0.0257549	0.0121596	0.00959313	0.00771742
a56	0.203488	0.204011	0.22203	0.167793	0.0722568	0.0425898	0.0439956	0.0438358
a70	0.169145	0.214848	0.233502	0.185189	0.0758435	0.0442321	0.0399357	0.0373048
a11	0.10867	0.164697	0.219471	0.222532	0.105979	0.0657941	0.0588483	0.0540083
a75	0.080327	0.128264	0.208431	0.250047	0.123209	0.0761942	0.069163	0.0643645
a25	0.0777523	0.0931695	0.140187	0.150673	0.13	0.129058	0.146802	0.132359
a79	0.0748278	0.0913569	0.143439	0.162492	0.135481	0.131092	0.142862	0.118449
a25	0.0378909	0.0453779	0.102289	0.194658	0.209138	0.163298	0.133824	0.113524
a56	0.0250133	0.0285835	0.0716732	0.166159	0.250228	0.199589	0.138052	0.120703
a90	0.0316358	0.0306143	0.0582675	0.125462	0.2142	0.20457	0.172563	0.162688
a15	0.0197997	0.0196525	0.035961	0.0738309	0.152846	0.204364	0.242501	0.251045
a44	0.0101828	0.0113332	0.0231078	0.0516959	0.111741	0.198609	0.282371	0.31096
a84	0.00846947	0.00776409	0.0147803	0.0354614	0.0826579	0.174307	0.298693	0.377866
a11	0.00297849	0.00192007	0.00312394	0.00811022	0.0316779	0.0823217	0.263445	0.606423
a53	0.00129017	0.000679051	0.000907947	0.00239067	0.0175441	0.0641989	0.256201	0.656789
a69	0.000517643	0.000379239	0.000791811	0.00269135	0.0153486	0.0571008	0.266874	0.656296
a58	0.000522672	0.000460803	0.00109163	0.00366605	0.0180507	0.062996	0.264065	0.649147
a82	0.000486667	0.000290486	0.000506008	0.00156519	0.0111428	0.0542189	0.284873	0.646917
a87	0.0322805	0.0173623	0.0138614	0.019618	0.0487136	0.109772	0.258327	0.500065
a23	0.247462	0.1657	0.109513	0.0776425	0.0719427	0.0890149	0.107513	0.131213
a87	0.113693	0.0637558	0.0481251	0.0505748	0.0841523	0.12904	0.228933	0.281726
</S>	0.0119154	0.00924928	0.0100811	0.0164248	0.0457283	0.137939	0.323334	0.445328
