 	le	guérisseur	a	cueilli	du	dzoa	pour	soigner	le	malade	</S>
a87	0.0800485	0.0580366	0.0579639	0.0784263	0.149623	0.288318	0.167242	0.0741268	0.0244747	0.0120999	0.00964023
a10	0.198375	0.0826171	0.0504265	0.0384778	0.036593	0.0832174	0.205744	0.108062	0.0601708	0.0608808	0.0754365
a9	0.168828	0.105513	0.0682591	0.0535105	0.0649625	0.11318	0.113597	0.105678	0.0565955	0.0565877	0.0932891
a10	0.254793	0.13857	0.0956466	0.0725008	0.0747341	0.086627	0.0951771	0.0917503	0.0369559	0.0243603	0.0288846
a87	0.246963	0.110368	0.0822023	0.0644614	0.0588462	0.0777373	0.107967	0.110485	0.0567938	0.0446036	0.0395728
a83	0.248476	0.107969	0.0715635	0.0500124	0.0397356	0.0658013	0.113192	0.140461	0.0644685	0.0514092	0.0469115
a75	0.258746	0.159004	0.125666	0.105693	0.0925875	0.0458703	0.0235545	0.022603	0.0320769	0.0508249	0.0833739
a47	0.410773	0.20178	0.131908	0.0955992	0.0516414	0.0292622	0.0144242	0.00955759	0.0110592	0.0153566	0.0286387
a37	0.241266	0.200616	0.178391	0.131566	0.0892329	0.0506527	0.0226901	0.018777	0.0190006	0.0196837	0.028125
a56	0.179405	0.178336	0.203746	0.151787	0.130105	0.0708166	0.027477	0.0164913	0.0135259	0.0129081	0.0154026
a75	0.197501	0.154013	0.192092	0.177942	0.137909	0.0855039	0.0183253	0.00831711	0.00759361	0.00904062	0.011762
a85	0.142203	0.139068	0.17674	0.191144	0.160363	0.101189	0.0256664	0.0120736	0.0128205	0.0174855	0.0212469
a37	0.109684	0.118541	0.163662	0.207517	0.168365	0.106069	0.0397386	0.0206431	0.0183924	0.021532	0.0258562
a26	0.087773	0.118797	0.160744	0.205188	0.234669	0.101239	0.0269618	0.0111188	0.012724	0.018727	0.0220578
a38	0.0432522	0.0700675	0.0943766	0.11939	0.244342	0.164523	0.0621758	0.0326912	0.0439969	0.0583243	0.0668607
a75	0.0377759	0.0565688	0.0799832	0.114288	0.267844	0.148575	0.0508574	0.0278284	0.0483546	0.0766927	0.0912322
a85	0.0480709	0.0586365	0.0804786	0.106777	0.215988	0.101773	0.0427	0.039084	0.0687466	0.112951	0.124795
a21	0.0614128	0.0797565	0.104467	0.154676	0.225136	0.108034	0.0419566	0.034667	0.0487694	0.0658147	0.0753108
a61	0.074162	0.080288	0.101749	0.137306	0.246903	0.155341	0.0537023	0.0297874	0.0366621	0.0430846	0.0410143
a88	0.0459583	0.052589	0.059906	0.0807158	0.199425	0.203811	0.0939655	0.0546763	0.0622242	0.0712218	0.0755066
a38	0.0283644	0.036664	0.0385427	0.0473047	0.138371	0.169217	0.111405	0.0801322	0.106006	0.122998	0.120995
a75	0.017415	0.0208113	0.0219016	0.0263628	0.0822838	0.118714	0.0999942	0.113965	0.150796	0.1728	0.174956
a98	0.0340076	0.035289	0.0333064	0.0358269	0.077087	0.0696647	0.0425624	0.0494787	0.125708	0.245434	0.251635
a92	0.0218918	0.0234206	0.0219962	0.0242616	0.0473683	0.0488021	0.0382541	0.0793155	0.175025	0.262505	0.25716
a61	0.0308163	0.0327404	0.0349707	0.0395417	0.0792604	0.0763431	0.0478871	0.0723786	0.139022	0.222724	0.224316
a12	0.0284211	0.0312216	0.0361465	0.0442905	0.0774236	0.0941958	0.0780101	0.106016	0.166688	0.175347	0.16224
a47	0.0199216	0.0215255	0.0234569	0.0288233	0.0529989	0.0678276	0.0605467	0.0968001	0.193084	0.237456	0.197559
a88	0.0157136	0.018296	0.019566	0.0258713	0.0577575	0.0748833	0.065289	0.113	0.19969	0.220881	0.189053
a9	0.00530893	0.00580723	0.00610591	0.00819138	0.0159092	0.0271296	0.0344	0.09173	0.21116	0.313546	0.280711
a38	0.00142604	0.00161293	0.00195569	0.00284199	0.00762652	0.0148755	0.0256237	0.111544	0.215281	0.286278	0.330934
a76	0.00125605	0.00115045	0.0012336	0.00163391	0.00357106	0.00839569	0.0186915	0.0972045	0.227781	0.297853	0.34123
